taxa_clean,wm_g,dm_g
Simplisetia,0.2702,0.0206
Simplisetia,0.2371,0.0233
Simplisetia,0.1273,0.0074
Simplisetia,0.0678,0.0015
Simplisetia,0.2576,0.0157
Simplisetia,0.0119,0.0027
Simplisetia,0.0276,0.0026
Simplisetia,0.0163,0.0018
Simplisetia,0.0311,0.0052
Simplisetia,0.8089,0.066
Simplisetia,0.956,0.0558
Simplisetia,0.9201,0.0804
Simplisetia,1.3104,0.124
Simplisetia,0.614,0.0437
Simplisetia,0.5418,0.0688
Simplisetia,0.6025,0.0483
Simplisetia,0.2993,0.0291
Simplisetia,0.2254,0.0266
Simplisetia,0.5407,0.0666
Simplisetia,1.2772,0.1226
Simplisetia,0.3294,0.023
Simplisetia,1.1412,0.0789
Simplisetia,0.5744,0.0343
Simplisetia,0.482,0.0574
Simplisetia,0.2999,0.0278
Simplisetia,0.2691,0.0254
Simplisetia,0.335,0.0313
Simplisetia,0.0279,0.0094
Simplisetia,0.1025,0.0051
Simplisetia,0.1237,0.005
Simplisetia,0.0728,0.0051
Simplisetia,0.0275,0.0019
Simplisetia,0.0394,0.0025
Simplisetia,0.0788,0.0057
Simplisetia,0.0768,0.0045
Simplisetia,1.0665,0.0879
Simplisetia,1.3585,0.1094
Simplisetia,0.3943,0.0284
Simplisetia,0.1293,0.0135
Simplisetia,0.8228,0.043
Simplisetia,0.2883,0.0193
Simplisetia,0.57,0.0268
Simplisetia,0.0298,0.0013
Simplisetia,0.4255,0.0334
Simplisetia,0.2176,0.0147
Simplisetia,0.0297,0.0045
Simplisetia,0.2914,0.0217
Simplisetia,0.2783,0.018
Simplisetia,0.0188,0.0015
Simplisetia,0.3553,0.0216
Simplisetia,0.0473,0.0019
Simplisetia,0.1824,0.0082
Simplisetia,0.1795,0.0114
Simplisetia,0.2536,0.0139
Simplisetia,0.0293,0.0025
Simplisetia,0.2408,0.0204
Simplisetia,0.0315,0.0016
Simplisetia,0.1263,0.0101
Simplisetia,0.0287,0.0024
Simplisetia,0.0746,0.009
Simplisetia,0.0167,0.0015
Simplisetia,0.04,0.0027
Simplisetia,0.0577,0.0031
Simplisetia,0.9822,0.102
Simplisetia,0.7722,0.0734
Simplisetia,0.5848,0.0381
Simplisetia,0.9883,0.1048
Simplisetia,0.9861,0.1063
Simplisetia,0.3491,0.0266
Simplisetia,0.2707,0.0169
Simplisetia,0.3754,0.0264
Simplisetia,0.3399,0.0244
Simplisetia,0.575,0.0556
Simplisetia,0.0296,0.0047
Simplisetia,1.186,0.0981
Simplisetia,0.4249,0.0342
Simplisetia,0.6141,0.0577
Simplisetia,0.0664,0.004
Simplisetia,0.08,0.0049
Simplisetia,0.209,0.0132
Simplisetia,0.1278,0.0109
Simplisetia,0.1543,0.0107
Simplisetia,0.2604,0.0135
Simplisetia,0.377,0.0187
Simplisetia,0.6088,0.064
Simplisetia,0.7083,0.0597
Simplisetia,0.3555,0.053
Simplisetia,0.3959,0.0514
Simplisetia,0.3171,0.0512
Simplisetia,0.0591,0.0036
Simplisetia,0.492,0.0399
Simplisetia,0.0269,0.0024
Simplisetia,0.0467,0.0035
Simplisetia,0.0467,0.0035
Simplisetia,0.0757,0.0069
Simplisetia,0.191,0.0159
Simplisetia,0.2392,0.0194
Simplisetia,0.5014,0.06
Simplisetia,0.1324,0.0042
Simplisetia,0.3949,0.051
Simplisetia,0.386,0.0217
Simplisetia,0.6458,0.0394
Simplisetia,0.9192,0.0933
Simplisetia,0.9995,0.0672
Simplisetia,0.9706,0.0584
Simplisetia,0.1282,0.0095
Simplisetia,0.1053,0.0063
Simplisetia,0.0344,0.0015
Simplisetia,0.1822,0.0143
Simplisetia,0.2708,0.0302
Simplisetia,0.2222,0.012
Simplisetia,0.2632,0.0231
Simplisetia,0.145,0.0095
Simplisetia,0.3407,0.0252
Simplisetia,0.4342,0.0397
Simplisetia,0.5298,0.0428
Simplisetia,0.6291,0.0258
Simplisetia,0.48,0.049
Simplisetia,0.0678,0.0041
Simplisetia,0.0686,0.0025
Simplisetia,0.1286,0.0154
Simplisetia,0.399,0.0211
Simplisetia,0.6101,0.0479
Simplisetia,0.4232,0.0236
Simplisetia,0.0861,0.0097
Simplisetia,0.4013,0.0233
Simplisetia,0.16,0.0145
Simplisetia,0.4238,0.0599
Simplisetia,0.6435,0.0928
Simplisetia,0.4882,0.0443
Simplisetia,0.2968,0.0376
Simplisetia,0.3952,0.0328
Simplisetia,0.364,0.0301
Simplisetia,0.3807,0.0224
Simplisetia,0.1789,0.0242
Simplisetia,0.3564,0.0514
Simplisetia,0.2977,0.0195
Simplisetia,0.0756,0.0048
Simplisetia,0.3072,0.0218
Simplisetia,0.0656,0.0044
Simplisetia,0.0108,0.0032
Simplisetia,0.0382,0.0028
Simplisetia,1.2297,0.1001
Simplisetia,1.0456,0.0679
Simplisetia,0.6384,0.0274
Simplisetia,0.1622,0.0089
Simplisetia,0.0366,0.0016
Simplisetia,0.1268,0.0087
Simplisetia,0.3353,0.0383
Simplisetia,0.1751,0.0063
Simplisetia,0.1582,0.0099
Simplisetia,0.2329,0.0174
Simplisetia,0.1959,0.0135
Simplisetia,0.2346,0.0137
Simplisetia,0.0896,0.0074
Simplisetia,0.3249,0.0209
Simplisetia,0.2481,0.0273
Simplisetia,0.069,0.0043
Simplisetia,0.2086,0.0064
Simplisetia,0.473,0.0753
Simplisetia,1.05,0.113
Simplisetia,0.4396,0.0463
Simplisetia,0.4549,0.049
Chironomidae,0.0854,0.0307
Chironomidae,0.0393,0.0066
Chironomidae,0.047,0.008
Chironomidae,0.0389,0.0069
Chironomidae,0.0254,0.0048
Chironomidae,0.0052,0.0013
Chironomidae,0.0058,0.0031
Chironomidae,0.0039,0.0027
Chironomidae,0.082,0.015
Chironomidae,0.0343,0.0061
Chironomidae,0.035,0.0073
Chironomidae,0.03,0.0051
Chironomidae,0.0278,0.0046
Chironomidae,0.0084,0.0012
Chironomidae,0.0581,0.0091
Chironomidae,0.0125,0.0024
Chironomidae,0.007,0.0011
Chironomidae,0.0056,0.0012
Chironomidae,0.0585,0.0108
Chironomidae,0.0529,0.0093
Chironomidae,0.0174,0.002
Chironomidae,0.03,0.0055
Chironomidae,0.0127,0.0017
Chironomidae,0.0311,0.0064
Chironomidae,0.0035,0.0014
Chironomidae,0.0056,0.002
Chironomidae,0.0857,0.0175
Chironomidae,0.0541,0.0131
Chironomidae,0.0791,0.0166
Chironomidae,0.057,0.0103
Chironomidae,0.0566,0.0098
Chironomidae,0.0753,0.0181
Chironomidae,0.13,0.029
Chironomidae,0.105,0.0181
Chironomidae,0.0163,0.0033
Chironomidae,0.0131,0.0013
Chironomidae,0.0241,0.0046
Chironomidae,0.0612,0.0045
Chironomidae,0.0302,0.0017
Chironomidae,0.0082,0.0015
Chironomidae,0.0479,0.0081
Chironomidae,0.0033,0.0024
Chironomidae,0.0401,0.0071
Chironomidae,0.0265,0.0053
Chironomidae,0.0285,0.0043
Chironomidae,0.017,0.0045
Chironomidae,0.0071,0.0012
Chironomidae,0.0489,0.0115
Chironomidae,0.0049,0.0014
Chironomidae,0.0064,0.0012
Chironomidae,0.0069,0.0011
Chironomidae,0.0392,0.0069
Chironomidae,0.0083,0.0024
Chironomidae,0.0131,0.0024
Chironomidae,0.0052,0.0012
Chironomidae,0.0206,0.0056
Chironomidae,0.0045,0.0013
Chironomidae,0.0053,0.0014
Chironomidae,0.0036,0.0011
Chironomidae,0.0059,0.0012
Chironomidae,0.0291,0.0048
Chironomidae,0.013,0.0026
Chironomidae,0.0148,0.0031
Chironomidae,0.0234,0.0042
Chironomidae,0.0481,0.0102
Chironomidae,0.0089,0.0015
Chironomidae,0.0316,0.009
Chironomidae,0.0247,0.0058
Chironomidae,0.0987,0.0187
Chironomidae,0.0773,0.0167
Chironomidae,0.0093,0.0025
Chironomidae,0.0117,0.0035
Chironomidae,0.0148,0.0033
Chironomidae,0.0054,0.0019
Chironomidae,0.0029,0.0022
Chironomidae,0.1065,0.0151
Chironomidae,0.0045,0.0012
Chironomidae,0.0051,0.0013
Chironomidae,0.0076,0.0022
Chironomidae,0.0742,0.0099
Chironomidae,0.0351,0.0125
Chironomidae,0.0854,0.0248
Chironomidae,0.0055,0.0015
Chironomidae,0.0037,0.0018
Chironomidae,0.0081,0.0015
Chironomidae,0.0053,0.0014
Chironomidae,0.0145,0.0048
Chironomidae,0.0188,0.0026
Chironomidae,0.0206,0.0049
Chironomidae,0.0386,0.01
Chironomidae,0.0701,0.0043
Chironomidae,0.012,0.0025
Chironomidae,0.0391,0.0168
Chironomidae,0.0186,0.0035
Chironomidae,0.0133,0.0032
Chironomidae,0.0549,0.0128
Chironomidae,0.0849,0.0211
Chironomidae,0.0039,0.0011
Chironomidae,0.0052,0.0012
Chironomidae,0.0671,0.0115
Chironomidae,0.0424,0.0078
Chironomidae,0.0484,0.0092
Chironomidae,0.0425,0.0048
Chironomidae,0.0393,0.0078
Chironomidae,0.0116,0.0025
Chironomidae,0.0128,0.0021
Chironomidae,0.0479,0.0099
Chironomidae,0.0203,0.0048
Chironomidae,0.0106,0.0055
Chironomidae,0.011,0.0036
Chironomidae,0.0099,0.002
Chironomidae,0.054,0.0151
Chironomidae,0.0266,0.0045
Chironomidae,0.0041,0.0011
Chironomidae,0.012,0.0046
Chironomidae,0.0146,0.0018
Amphipoda,0.0302,0.0053
Amphipoda,0.0173,0.0025
Amphipoda,0.0188,0.0039
Amphipoda,0.0143,0.0026
Amphipoda,0.2021,0.0297
Amphipoda,0.1501,0.0192
Amphipoda,0.1235,0.0232
Amphipoda,0.1107,0.0142
Amphipoda,0.1868,0.0243
Amphipoda,0.1079,0.0157
Amphipoda,0.0513,0.0098
Amphipoda,0.092,0.0146
Amphipoda,0.0464,0.0075
Amphipoda,0.1298,0.0183
Amphipoda,0.0504,0.0097
Amphipoda,0.0267,0.0024
Amphipoda,0.1276,0.0193
Amphipoda,0.0747,0.0127
Amphipoda,0.2432,0.0291
Amphipoda,0.1279,0.0178
Amphipoda,0.0289,0.0038
Amphipoda,0.0925,0.0135
Amphipoda,0.0417,0.0066
Amphipoda,0.122,0.0186
Amphipoda,0.076,0.0109
Amphipoda,0.3296,0.0402
Amphipoda,0.2255,0.0323
Amphipoda,0.2606,0.0328
Amphipoda,0.0898,0.018
Amphipoda,0.0468,0.0083
