source,year,month,region,site,zone,replicate,preservation_method,taxa,individual_count,wm_shell_on_g,wm_g,dm_g,afdm_g,dm_wm,afdm_dm,afdm_wm,mesh_size_um,taxa_clean
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Simplisetia,607,NA,0.2702,0.0206,NA,0.076239822,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Capitella,3,NA,2e-4,1e-4,NA,0.5,0,0,500,Capitella
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Chironomidae,221,NA,0.0854,0.0307,NA,0.359484778,0,0,500,Chironomidae
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Amphipoda,91,NA,0.0302,0.0053,NA,0.175496689,0,0,500,Amphipoda
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Arthritica,1214,NA,1.1183,0.5609,NA,0.501564875,0,0,500,Arthritica
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Hydrobiidae,160,NA,0.8027,0.4704,NA,0.586022175,0,0,500,Hydrobiidae
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Salinator,23,NA,0.0222,0.0084,NA,0.378378378,0,0,500,Salinator
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Phyllodoce,3,NA,0.23,0.0122,NA,0.053043478,0,0,500,Phyllodoce
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Nephtys,1,NA,0.1104,0.0061,NA,0.055253623,0,0,500,Nephtys
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Boccardiella,4,NA,0.0015,7e-4,NA,0.466666667,0,0,500,Boccardiella
Flinders-HCHB,2020,Feb,MM,B19,P,rep2,Frozen,Simplisetia,406,NA,0.2371,0.0233,NA,0.098270772,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,P,rep3,Frozen,Simplisetia,320,NA,0.1273,0.0074,NA,0.058130401,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,P,rep4,Frozen,Simplisetia,174,NA,0.0678,0.0015,NA,0.022123894,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,P,rep5,Frozen,Simplisetia,339,NA,0.2576,0.0157,NA,0.060947205,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,S,rep1,Frozen,Simplisetia,4,NA,3e-4,0,NA,0,NA,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,S,rep2,Frozen,Simplisetia,10,NA,0.0119,0.0027,NA,0.226890756,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,S,rep3,Frozen,Simplisetia,10,NA,0.0276,0.0026,NA,0.094202899,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,S,rep4,Frozen,Simplisetia,10,NA,0.0163,0.0018,NA,0.110429448,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,S,rep5,Frozen,Simplisetia,3,NA,5e-4,2e-4,NA,0.4,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,S,J1,Frozen,Simplisetia,3,NA,0.0311,0.0052,NA,0.167202572,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,rep1,Frozen,Simplisetia,476,NA,1.1005,0.0699,NA,0.063516583,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,rep2,Frozen,Simplisetia,525,NA,0.8089,0.066,NA,0.081592286,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,rep3,Frozen,Simplisetia,707,NA,1.6536,0.1066,NA,0.064465409,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,rep4,Frozen,Simplisetia,488,NA,0.956,0.0558,NA,0.058368201,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,rep5,Frozen,Simplisetia,504,NA,1.3716,0.0901,NA,0.065689705,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,J1,Frozen,Simplisetia,723,NA,0.9201,0.0804,NA,0.087381806,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,J4,Frozen,Simplisetia,738,NA,1.443,0.124,NA,0.085932086,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,B19,I,J5,Frozen,Simplisetia,595,NA,1.3104,0.124,NA,0.094627595,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,I,rep1,Frozen,Simplisetia,347,NA,0.614,0.0437,NA,0.071172638,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,I,rep2,Frozen,Simplisetia,391,NA,0.5418,0.0688,NA,0.126984127,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,I,rep3,Frozen,Simplisetia,252,NA,1.6333,0.1797,NA,0.110022654,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,I,rep4,Frozen,Simplisetia,594,NA,0.6025,0.0483,NA,0.080165975,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,I,rep5,Frozen,Simplisetia,527,NA,0.2993,0.0291,NA,0.097226863,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,I,J1,Frozen,Simplisetia,283,NA,0.2254,0.0266,NA,0.118012422,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,I,J5,Frozen,Simplisetia,682,NA,0.5407,0.0666,NA,0.123173664,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,S,rep1,Frozen,Simplisetia,329,NA,2.8844,0.2941,NA,0.10196228,0,0,500,Simplisetia
Flinders-HCHB,2020,Feb,MM,PP,S,rep2,Frozen,Simplisetia,241,NA,1.9939,0.1811,NA,0.090827022,0,0,500,Simplisetia
