taxa_clean,wm_g,dm_g,keep_data
Simplisetia,0.2702,0.0206,TRUE
Simplisetia,0.2371,0.0233,TRUE
Simplisetia,0.1273,0.0074,TRUE
Simplisetia,0.0678,0.0015,TRUE
Simplisetia,0.2576,0.0157,TRUE
Simplisetia,0.0119,0.0027,TRUE
Simplisetia,0.0276,0.0026,TRUE
Simplisetia,0.0163,0.0018,TRUE
Simplisetia,0.0311,0.0052,TRUE
Simplisetia,1.1005,0.0699,FALSE
Simplisetia,0.8089,0.066,TRUE
Simplisetia,1.6536,0.1066,FALSE
Simplisetia,0.956,0.0558,TRUE
Simplisetia,1.3716,0.0901,FALSE
Simplisetia,0.9201,0.0804,TRUE
Simplisetia,1.443,0.124,FALSE
Simplisetia,1.3104,0.124,TRUE
Simplisetia,0.614,0.0437,TRUE
Simplisetia,0.5418,0.0688,TRUE
Simplisetia,1.6333,0.1797,FALSE
Simplisetia,0.6025,0.0483,TRUE
Simplisetia,0.2993,0.0291,TRUE
Simplisetia,0.2254,0.0266,TRUE
Simplisetia,0.5407,0.0666,TRUE
Simplisetia,2.8844,0.2941,FALSE
Simplisetia,1.9939,0.1811,FALSE
Simplisetia,2.4232,0.2462,FALSE
Simplisetia,1.5933,0.1825,FALSE
Simplisetia,1.2772,0.1226,TRUE
Simplisetia,2.4156,0.2318,FALSE
Simplisetia,1.9861,0.192,FALSE
Simplisetia,0.3294,0.023,TRUE
Simplisetia,1.1412,0.0789,TRUE
Simplisetia,0.5744,0.0343,TRUE
Simplisetia,1.1355,0.0714,FALSE
Simplisetia,1.0154,0.059,FALSE
Simplisetia,0.482,0.0574,TRUE
Simplisetia,0.2999,0.0278,TRUE
Simplisetia,0.2691,0.0254,TRUE
Simplisetia,0.335,0.0313,TRUE
Simplisetia,0.0279,0.0094,TRUE
Simplisetia,0.0134,0.001,FALSE
Simplisetia,0.1025,0.0051,TRUE
Simplisetia,0.1237,0.005,TRUE
Simplisetia,0.0728,0.0051,TRUE
Simplisetia,0.0275,0.0019,TRUE
Simplisetia,0.0394,0.0025,TRUE
Simplisetia,0.0788,0.0057,TRUE
Simplisetia,0.0768,0.0045,TRUE
Simplisetia,1.2169,0.0716,FALSE
Simplisetia,1.0665,0.0879,TRUE
Simplisetia,1.3585,0.1094,TRUE
Simplisetia,1.4694,0.1091,FALSE
Simplisetia,1.0434,0.0587,FALSE
Simplisetia,0.3943,0.0284,TRUE
Simplisetia,0.1293,0.0135,TRUE
Simplisetia,0.8228,0.043,TRUE
Simplisetia,0.2883,0.0193,TRUE
Simplisetia,0.57,0.0268,TRUE
Simplisetia,0.0298,0.0013,TRUE
Simplisetia,0.4255,0.0334,TRUE
Simplisetia,0.2176,0.0147,TRUE
Simplisetia,0.0297,0.0045,TRUE
Simplisetia,0.2914,0.0217,TRUE
Simplisetia,0.2783,0.018,TRUE
Simplisetia,0.0188,0.0015,TRUE
Simplisetia,0.3553,0.0216,TRUE
Simplisetia,0.0473,0.0019,TRUE
Simplisetia,0.1824,0.0082,TRUE
Simplisetia,0.1795,0.0114,TRUE
Simplisetia,0.2536,0.0139,TRUE
Simplisetia,0.0293,0.0025,TRUE
Simplisetia,0.2408,0.0204,TRUE
Simplisetia,0.0315,0.0016,TRUE
Simplisetia,0.1263,0.0101,TRUE
Simplisetia,0.0287,0.0024,TRUE
Simplisetia,0.0746,0.009,TRUE
Simplisetia,0.0167,0.0015,TRUE
Simplisetia,0.04,0.0027,TRUE
Simplisetia,0.0577,0.0031,TRUE
Simplisetia,0.9822,0.102,TRUE
Simplisetia,0.7722,0.0734,TRUE
Simplisetia,0.5848,0.0381,TRUE
Simplisetia,0.9883,0.1048,TRUE
Simplisetia,0.9861,0.1063,TRUE
Simplisetia,0.3491,0.0266,TRUE
Simplisetia,0.2707,0.0169,TRUE
Simplisetia,0.3754,0.0264,TRUE
Simplisetia,0.3399,0.0244,TRUE
Simplisetia,0.575,0.0556,TRUE
Simplisetia,0.0296,0.0047,TRUE
Simplisetia,0.01,0.0011,FALSE
Simplisetia,1.186,0.0981,TRUE
Simplisetia,0.4249,0.0342,TRUE
Simplisetia,0.6141,0.0577,TRUE
Simplisetia,0.0664,0.004,TRUE
Simplisetia,0.08,0.0049,TRUE
Simplisetia,0.209,0.0132,TRUE
Simplisetia,0.1278,0.0109,TRUE
Simplisetia,0.1543,0.0107,TRUE
Simplisetia,0.2604,0.0135,TRUE
Simplisetia,0.377,0.0187,TRUE
Simplisetia,0.6088,0.064,TRUE
Simplisetia,0.7083,0.0597,TRUE
Simplisetia,0.3555,0.053,TRUE
Simplisetia,0.3959,0.0514,TRUE
Simplisetia,0.3171,0.0512,TRUE
Simplisetia,0.0052,0.0048,FALSE
Simplisetia,1.7684,0.1959,FALSE
Simplisetia,2.3145,0.1795,FALSE
Simplisetia,0.0167,0.0012,FALSE
Simplisetia,0.0591,0.0036,TRUE
Simplisetia,0.0239,0.0012,FALSE
Simplisetia,0.492,0.0399,TRUE
Simplisetia,0.0269,0.0024,TRUE
Simplisetia,0.0467,0.0035,TRUE
Simplisetia,0.0467,0.0035,TRUE
Simplisetia,0.0757,0.0069,TRUE
Simplisetia,0.191,0.0159,TRUE
Simplisetia,0.2392,0.0194,TRUE
Simplisetia,0.5014,0.06,TRUE
Simplisetia,0.1324,0.0042,TRUE
Simplisetia,0.3949,0.051,TRUE
Simplisetia,0.386,0.0217,TRUE
Simplisetia,0.6458,0.0394,TRUE
Simplisetia,0.9192,0.0933,TRUE
Simplisetia,0.9995,0.0672,TRUE
Simplisetia,1.2462,0.0792,FALSE
Simplisetia,0.9706,0.0584,TRUE
Simplisetia,0.1282,0.0095,TRUE
Simplisetia,0.1053,0.0063,TRUE
Simplisetia,0.0344,0.0015,TRUE
Simplisetia,0.1822,0.0143,TRUE
Simplisetia,0.2708,0.0302,TRUE
Simplisetia,0.2222,0.012,TRUE
Simplisetia,0.2632,0.0231,TRUE
Simplisetia,0.145,0.0095,TRUE
Simplisetia,0.3407,0.0252,TRUE
Simplisetia,0.4342,0.0397,TRUE
Simplisetia,0.5298,0.0428,TRUE
Simplisetia,0.6291,0.0258,TRUE
Simplisetia,0.48,0.049,TRUE
Simplisetia,0.0678,0.0041,TRUE
Simplisetia,0.0686,0.0025,TRUE
Simplisetia,0.1286,0.0154,TRUE
Simplisetia,0.0049,0.0026,FALSE
Simplisetia,0.399,0.0211,TRUE
Simplisetia,0.6101,0.0479,TRUE
Simplisetia,0.4232,0.0236,TRUE
Simplisetia,1.1673,0.0802,FALSE
Simplisetia,0.005,0.0045,FALSE
Simplisetia,0.0861,0.0097,TRUE
Simplisetia,0.4013,0.0233,TRUE
Simplisetia,0.16,0.0145,TRUE
Simplisetia,0.4238,0.0599,TRUE
Simplisetia,0.6435,0.0928,TRUE
Simplisetia,0.4882,0.0443,TRUE
Simplisetia,0.2968,0.0376,TRUE
Simplisetia,0.3952,0.0328,TRUE
Simplisetia,0.364,0.0301,TRUE
Simplisetia,0.3807,0.0224,TRUE
Simplisetia,0.0422,0.001,FALSE
Simplisetia,0.1789,0.0242,TRUE
Simplisetia,0.3564,0.0514,TRUE
Simplisetia,0.9387,0.1326,FALSE
Simplisetia,0.8502,0.1182,FALSE
Simplisetia,0.2977,0.0195,TRUE
Simplisetia,0.0756,0.0048,TRUE
Simplisetia,0.3072,0.0218,TRUE
Simplisetia,0.0656,0.0044,TRUE
Simplisetia,0.0108,0.0032,FALSE
Simplisetia,0.0382,0.0028,TRUE
