taxa_clean,individual_count,afdm_g,keep_data
Amphipoda,1,0.001,FALSE
Amphipoda,33,0.001,TRUE
Amphipoda,27,0.003,TRUE
Amphipoda,32,0.002,TRUE
Amphipoda,19,0.001,TRUE
Amphipoda,65,0.004,TRUE
Amphipoda,45,0.001,TRUE
Amphipoda,29,0.001,TRUE
Amphipoda,6,0.001,TRUE
Amphipoda,37,0.001,TRUE
Amphipoda,18,0.001,TRUE
Amphipoda,16,0.001,TRUE
Amphipoda,84,0.003,TRUE
Amphipoda,113,0.003,TRUE
Amphipoda,476,0.016,FALSE
Amphipoda,525,0.015,FALSE
Amphipoda,563,0.015,FALSE
Amphipoda,31,0.001,TRUE
Amphipoda,30,0.001,TRUE
Amphipoda,49,0.003,TRUE
Amphipoda,58,0.003,TRUE
Amphipoda,82,0.005,TRUE
Amphipoda,50,0.005,TRUE
Amphipoda,46,0.006,TRUE
Amphipoda,36,0.005,TRUE
Amphipoda,42,0.004,TRUE
Amphipoda,45,0.007,FALSE
Amphipoda,51,0.005,TRUE
Amphipoda,41,0.008,FALSE
Amphipoda,66,0.004,TRUE
Amphipoda,123,0.006,TRUE
Amphipoda,71,0.004,TRUE
Simplisetia,1,0.002,TRUE
Simplisetia,1,0.001,TRUE
Simplisetia,1,0.002,TRUE
Simplisetia,1,0.002,TRUE
Simplisetia,1,0.002,TRUE
Simplisetia,1,0.001,TRUE
Simplisetia,1,0.002,TRUE
Simplisetia,4,0.003,TRUE
Simplisetia,8,0.003,TRUE
Simplisetia,5,0.001,TRUE
Simplisetia,38,0.008,TRUE
Simplisetia,16,0.001,TRUE
Simplisetia,9,0.004,TRUE
Simplisetia,4,0.003,TRUE
Simplisetia,8,0.004,TRUE
Simplisetia,2,0.001,TRUE
Simplisetia,23,0.002,TRUE
Simplisetia,43,0.009,TRUE
Simplisetia,40,0.008,TRUE
Simplisetia,32,0.006,TRUE
Simplisetia,57,0.007,TRUE
Simplisetia,53,0.014,TRUE
Simplisetia,36,0.009,TRUE
Simplisetia,65,0.01,TRUE
Simplisetia,43,0.008,TRUE
Simplisetia,27,0.004,TRUE
Simplisetia,51,0.03,TRUE
Simplisetia,10,0.003,TRUE
Simplisetia,12,0.001,TRUE
Simplisetia,6,0.002,TRUE
Simplisetia,7,0.002,TRUE
Simplisetia,3,0.002,TRUE
Simplisetia,18,0.003,TRUE
Simplisetia,16,0.004,TRUE
Simplisetia,43,0.011,TRUE
Simplisetia,43,0.036,FALSE
Simplisetia,90,0.025,TRUE
Simplisetia,70,0.026,TRUE
Simplisetia,44,0.007,TRUE
Simplisetia,72,0.023,TRUE
Simplisetia,110,0.056,TRUE
Simplisetia,128,0.061,TRUE
Simplisetia,172,0.069,FALSE
Simplisetia,125,0.048,TRUE
Simplisetia,108,0.054,TRUE
Simplisetia,153,0.095,FALSE
Simplisetia,194,0.063,FALSE
Simplisetia,200,0.089,FALSE
Simplisetia,154,0.059,TRUE
Simplisetia,231,0.072,FALSE
Simplisetia,86,0.032,TRUE
Simplisetia,170,0.049,FALSE
Simplisetia,114,0.051,TRUE
Simplisetia,89,0.038,TRUE
Simplisetia,140,0.056,TRUE
Simplisetia,1,0.001,TRUE
Hydrobiidae,1,0.001,TRUE
Hydrobiidae,7,0.001,TRUE
Hydrobiidae,1,0.001,TRUE
Hydrobiidae,2,0.001,TRUE
Hydrobiidae,13,0.001,TRUE
Hydrobiidae,12,0.002,TRUE
Hydrobiidae,16,0.002,TRUE
Hydrobiidae,46,0.009,FALSE
Hydrobiidae,49,0.012,FALSE
Hydrobiidae,45,0.01,FALSE
Hydrobiidae,11,0.001,TRUE
Hydrobiidae,21,0.003,TRUE
Hydrobiidae,10,0.001,TRUE
Hydrobiidae,7,0.001,TRUE
Hydrobiidae,29,0.003,FALSE
Hydrobiidae,9,0.001,TRUE
Arthritica,2,0.001,FALSE
Arthritica,35,0.001,TRUE
Arthritica,11,0.001,TRUE
Arthritica,17,0.001,TRUE
Arthritica,11,0.003,TRUE
Arthritica,17,0.002,TRUE
Arthritica,28,0.002,TRUE
Arthritica,21,0.001,TRUE
Arthritica,3,0.001,FALSE
Arthritica,270,0.049,FALSE
Arthritica,190,0.012,TRUE
Arthritica,48,0.005,TRUE
Arthritica,130,0.007,TRUE
Arthritica,242,0.016,TRUE
Arthritica,418,0.078,FALSE
Arthritica,230,0.018,TRUE
Arthritica,145,0.016,TRUE
Arthritica,168,0.013,TRUE
Arthritica,242,0.022,TRUE
