taxa_clean,individual_count,dm_g,keep_data
Amphipoda,1,0.002,TRUE
Amphipoda,2,0.001,TRUE
Amphipoda,1,0.001,TRUE
Amphipoda,33,0.002,TRUE
Amphipoda,27,0.004,TRUE
Amphipoda,32,0.003,TRUE
Amphipoda,19,0.001,TRUE
Amphipoda,5,0.001,TRUE
Amphipoda,1,0.001,TRUE
Amphipoda,65,0.011,TRUE
Amphipoda,45,0.004,TRUE
Amphipoda,29,0.003,TRUE
Amphipoda,6,0.001,TRUE
Amphipoda,37,0.003,TRUE
Amphipoda,18,0.003,TRUE
Amphipoda,16,0.001,TRUE
Amphipoda,84,0.006,TRUE
Amphipoda,51,0.004,TRUE
Amphipoda,113,0.009,TRUE
Amphipoda,476,0.033,FALSE
Amphipoda,525,0.031,FALSE
Amphipoda,563,0.027,FALSE
Amphipoda,31,0.001,TRUE
Amphipoda,30,0.002,TRUE
Amphipoda,49,0.009,TRUE
Amphipoda,58,0.005,TRUE
Amphipoda,82,0.01,TRUE
Amphipoda,50,0.009,TRUE
Amphipoda,46,0.013,TRUE
Amphipoda,36,0.009,TRUE
Amphipoda,42,0.008,TRUE
Amphipoda,45,0.013,TRUE
Amphipoda,51,0.008,TRUE
Amphipoda,41,0.019,FALSE
Amphipoda,66,0.007,TRUE
Amphipoda,123,0.013,TRUE
Amphipoda,71,0.004,TRUE
Simplisetia,1,0.002,TRUE
Simplisetia,1,0.002,TRUE
Simplisetia,1,0.001,TRUE
Simplisetia,1,0.004,TRUE
Simplisetia,1,0.006,TRUE
Simplisetia,1,0.005,TRUE
Simplisetia,1,0.006,TRUE
Simplisetia,4,0.005,TRUE
Simplisetia,8,0.004,TRUE
Simplisetia,5,0.007,TRUE
Simplisetia,38,0.022,TRUE
Simplisetia,16,0.001,TRUE
Simplisetia,9,0.01,TRUE
Simplisetia,4,0.007,TRUE
Simplisetia,8,0.006,TRUE
Simplisetia,3,0.002,TRUE
Simplisetia,2,0.002,TRUE
Simplisetia,23,0.003,TRUE
Simplisetia,43,0.019,TRUE
Simplisetia,40,0.018,TRUE
Simplisetia,32,0.022,TRUE
Simplisetia,57,0.019,TRUE
Simplisetia,53,0.044,TRUE
Simplisetia,36,0.035,TRUE
Simplisetia,65,0.042,TRUE
Simplisetia,43,0.019,TRUE
Simplisetia,27,0.012,TRUE
Simplisetia,51,0.055,TRUE
Simplisetia,10,0.003,TRUE
Simplisetia,12,0.004,TRUE
Simplisetia,6,0.002,TRUE
Simplisetia,7,0.004,TRUE
Simplisetia,3,0.005,TRUE
Simplisetia,18,0.012,TRUE
Simplisetia,16,0.012,TRUE
Simplisetia,43,0.035,TRUE
Simplisetia,43,0.088,FALSE
Simplisetia,90,0.055,TRUE
Simplisetia,70,0.066,TRUE
Simplisetia,44,0.025,TRUE
Simplisetia,72,0.083,TRUE
Simplisetia,110,0.124,TRUE
Simplisetia,128,0.132,TRUE
Simplisetia,172,0.141,FALSE
Simplisetia,125,0.083,FALSE
