taxa_clean,individual_count,wm_g,keep_data
Chironomidae,8,0.001,TRUE
Chironomidae,3,0.001,TRUE
Chironomidae,4,0.002,TRUE
Chironomidae,1,0.001,TRUE
Chironomidae,2,0.002,TRUE
Chironomidae,2,0.002,TRUE
Chironomidae,2,0.002,TRUE
Chironomidae,1,0.001,TRUE
Chironomidae,1,0.002,TRUE
Chironomidae,4,0.003,TRUE
Chironomidae,1,0.002,TRUE
Chironomidae,1,0.004,TRUE
Chironomidae,1,0.002,TRUE
Chironomidae,1,0.002,TRUE
Chironomidae,1,0.001,TRUE
Chironomidae,3,0.002,TRUE
Chironomidae,3,0.002,TRUE
Chironomidae,24,0.003,TRUE
Chironomidae,1,0.005,TRUE
Chironomidae,3,0.001,TRUE
Chironomidae,1,0.001,TRUE
Chironomidae,7,0.004,TRUE
Chironomidae,5,0.004,TRUE
Chironomidae,1,0.001,TRUE
Chironomidae,2,0.002,TRUE
Chironomidae,1,0.002,TRUE
Chironomidae,3,0.001,TRUE
Chironomidae,1,0.001,TRUE
Chironomidae,3,0.002,TRUE
Chironomidae,42,0.03,TRUE
Chironomidae,51,0.056,FALSE
Chironomidae,12,0.013,TRUE
Chironomidae,3,0.004,TRUE
Chironomidae,21,0.017,TRUE
Chironomidae,2,0.005,TRUE
Chironomidae,11,0.009,TRUE
Chironomidae,35,0.03,TRUE
Chironomidae,8,0.007,TRUE
Chironomidae,19,0.007,TRUE
Chironomidae,3,0.003,TRUE
Chironomidae,56,0.023,TRUE
Chironomidae,40,0.021,TRUE
Chironomidae,17,0.009,TRUE
Chironomidae,15,0.01,TRUE
Chironomidae,153,0.078,FALSE
Chironomidae,183,0.116,FALSE
Chironomidae,1,0.002,TRUE
Chironomidae,7,0.008,TRUE
Chironomidae,11,0.004,TRUE
Chironomidae,3,0.002,TRUE
Chironomidae,5,0.001,TRUE
Chironomidae,7,0.002,TRUE
Chironomidae,9,0.003,TRUE
Chironomidae,6,0.002,TRUE
Chironomidae,15,0.005,TRUE
Chironomidae,1,0.003,TRUE
Chironomidae,8,0.003,TRUE
Chironomidae,42,0.006,TRUE
Chironomidae,24,0.015,TRUE
Chironomidae,101,0.041,FALSE
Chironomidae,48,0.018,TRUE
Chironomidae,68,0.019,FALSE
Chironomidae,48,0.014,TRUE
Chironomidae,29,0.008,TRUE
Chironomidae,152,0.045,FALSE
Chironomidae,80,0.025,FALSE
Chironomidae,74,0.024,FALSE
Chironomidae,17,0.005,TRUE
Chironomidae,13,0.005,TRUE
Chironomidae,10,0.004,TRUE
Chironomidae,39,0.01,TRUE
Chironomidae,17,0.006,TRUE
Chironomidae,29,0.006,TRUE
Chironomidae,52,0.011,TRUE
Chironomidae,5,0.005,TRUE
Chironomidae,18,0.007,TRUE
Chironomidae,31,0.004,TRUE
Chironomidae,18,0.003,TRUE
Chironomidae,21,0.006,TRUE
Chironomidae,14,0.005,TRUE
Chironomidae,42,0.038,FALSE
Chironomidae,7,0.007,TRUE
Chironomidae,19,0.012,TRUE
Chironomidae,23,0.017,TRUE
Chironomidae,50,0.022,TRUE
Chironomidae,38,0.024,TRUE
Chironomidae,40,0.023,TRUE
Chironomidae,28,0.017,TRUE
Chironomidae,27,0.02,TRUE
Chironomidae,44,0.026,TRUE
Chironomidae,5,0.008,TRUE
Chironomidae,18,0.011,TRUE
Chironomidae,8,0.006,TRUE
Amphipoda,2,0.003,TRUE
Amphipoda,1,0.003,TRUE
Amphipoda,1,0.002,TRUE
Amphipoda,2,0.003,TRUE
Amphipoda,2,0.001,TRUE
Amphipoda,1,0.003,TRUE
Amphipoda,1,0.002,TRUE
Amphipoda,2,0.003,TRUE
Amphipoda,3,0.002,TRUE
Amphipoda,4,0.003,TRUE
Amphipoda,2,0.001,TRUE
Amphipoda,2,0.001,TRUE
Amphipoda,2,0.001,TRUE
Amphipoda,6,0.002,TRUE
Amphipoda,4,0.001,TRUE
Amphipoda,33,0.015,TRUE
Amphipoda,27,0.019,TRUE
Amphipoda,32,0.022,TRUE
Amphipoda,19,0.01,TRUE
Amphipoda,13,0.001,TRUE
Amphipoda,15,0.001,TRUE
Amphipoda,1,0.001,TRUE
Amphipoda,4,0.001,TRUE
Amphipoda,1,0.002,TRUE
Amphipoda,5,0.003,TRUE
Amphipoda,1,0.002,TRUE
Amphipoda,65,0.036,TRUE
Amphipoda,45,0.022,TRUE
Amphipoda,29,0.016,TRUE
Amphipoda,6,0.004,TRUE
Amphipoda,37,0.013,TRUE
Amphipoda,18,0.009,TRUE
Amphipoda,16,0.011,TRUE
Amphipoda,84,0.02,TRUE
Amphipoda,51,0.014,TRUE
Amphipoda,113,0.045,TRUE
Amphipoda,476,0.256,FALSE
Amphipoda,525,0.227,FALSE
Amphipoda,563,0.194,FALSE
Amphipoda,31,0.002,TRUE
Amphipoda,30,0.008,TRUE
Amphipoda,49,0.029,TRUE
Amphipoda,58,0.031,TRUE
Amphipoda,82,0.046,TRUE
Amphipoda,50,0.044,TRUE
Amphipoda,46,0.062,FALSE
Amphipoda,36,0.049,TRUE
Amphipoda,42,0.03,TRUE
Amphipoda,45,0.073,FALSE
Amphipoda,51,0.048,TRUE
Amphipoda,41,0.073,FALSE
Amphipoda,66,0.05,TRUE
Amphipoda,123,0.07,TRUE
Amphipoda,71,0.022,TRUE
Simplisetia,1,0.003,TRUE
Simplisetia,1,0.011,TRUE
Simplisetia,1,0.009,TRUE
Simplisetia,1,0.008,TRUE
Simplisetia,1,0.017,TRUE
Simplisetia,1,0.017,TRUE
Simplisetia,1,0.01,TRUE
Simplisetia,1,0.014,TRUE
Simplisetia,4,0.028,TRUE
Simplisetia,8,0.021,TRUE
Simplisetia,5,0.017,TRUE
Simplisetia,38,0.069,TRUE
Simplisetia,16,0.004,TRUE
Simplisetia,9,0.034,TRUE
Simplisetia,4,0.021,TRUE
Simplisetia,8,0.031,TRUE
Simplisetia,3,0.005,TRUE
Simplisetia,2,0.006,TRUE
Simplisetia,23,0.009,TRUE
Simplisetia,43,0.078,TRUE
Simplisetia,40,0.059,TRUE
Simplisetia,32,0.057,TRUE
Simplisetia,57,0.053,TRUE
Simplisetia,53,0.131,TRUE
Simplisetia,36,0.08,TRUE
Simplisetia,65,0.109,TRUE
Simplisetia,43,0.055,TRUE
Simplisetia,27,0.034,TRUE
Simplisetia,1,0.001,FALSE
Simplisetia,1,0.002,FALSE
Simplisetia,51,0.251,TRUE
Simplisetia,10,0.013,TRUE
Simplisetia,12,0.017,TRUE
Simplisetia,6,0.008,TRUE
Simplisetia,7,0.012,TRUE
Simplisetia,3,0.01,TRUE
Simplisetia,18,0.044,TRUE
Simplisetia,16,0.036,TRUE
Simplisetia,43,0.123,TRUE
Simplisetia,43,0.359,FALSE
Simplisetia,90,0.249,TRUE
Simplisetia,70,0.242,TRUE
Simplisetia,44,0.078,TRUE
Simplisetia,72,0.279,TRUE
Simplisetia,110,0.498,TRUE
Simplisetia,128,0.462,TRUE
Simplisetia,172,0.675,FALSE
Simplisetia,125,0.399,TRUE
Simplisetia,108,0.511,TRUE
Simplisetia,153,0.935,FALSE
Simplisetia,194,0.684,FALSE
Simplisetia,200,0.797,FALSE
Simplisetia,154,0.619,TRUE
Simplisetia,231,0.697,FALSE
Simplisetia,86,0.305,TRUE
Simplisetia,170,0.463,FALSE
Simplisetia,114,0.46,TRUE
Simplisetia,89,0.356,TRUE
Simplisetia,140,0.547,TRUE
Simplisetia,1,0.006,TRUE
Hydrobiidae,3,0.03,FALSE
Hydrobiidae,1,0.013,TRUE
Hydrobiidae,14,0.067,TRUE
Hydrobiidae,1,0.011,TRUE
Hydrobiidae,2,0.013,TRUE
Hydrobiidae,1,0.004,TRUE
Hydrobiidae,1,0.003,TRUE
Hydrobiidae,1,0.001,TRUE
Hydrobiidae,2,0.003,TRUE
