taxa_clean,dm_g,afdm_g,keep_data
Amphipoda,0.001,0.001,TRUE
Amphipoda,0.002,0.001,TRUE
Amphipoda,0.004,0.003,TRUE
Amphipoda,0.003,0.002,TRUE
Amphipoda,0.001,0.001,TRUE
Amphipoda,0.011,0.004,TRUE
Amphipoda,0.004,0.001,TRUE
Amphipoda,0.003,0.001,TRUE
Amphipoda,0.001,0.001,TRUE
Amphipoda,0.003,0.001,TRUE
Amphipoda,0.003,0.001,TRUE
Amphipoda,0.001,0.001,TRUE
Amphipoda,0.006,0.003,TRUE
Amphipoda,0.009,0.003,TRUE
Amphipoda,0.033,0.016,FALSE
Amphipoda,0.031,0.015,FALSE
Amphipoda,0.027,0.015,FALSE
Amphipoda,0.001,0.001,TRUE
Amphipoda,0.002,0.001,TRUE
Amphipoda,0.009,0.003,TRUE
Amphipoda,0.005,0.003,TRUE
Amphipoda,0.01,0.005,TRUE
Amphipoda,0.009,0.005,TRUE
Amphipoda,0.013,0.006,TRUE
Amphipoda,0.009,0.005,TRUE
Amphipoda,0.008,0.004,TRUE
Amphipoda,0.013,0.007,TRUE
Amphipoda,0.008,0.005,TRUE
Amphipoda,0.019,0.008,FALSE
Amphipoda,0.007,0.004,TRUE
Amphipoda,0.013,0.006,TRUE
Amphipoda,0.004,0.004,FALSE
Simplisetia,0.002,0.002,TRUE
Simplisetia,0.002,0.001,TRUE
Simplisetia,0.004,0.002,TRUE
Simplisetia,0.006,0.002,TRUE
Simplisetia,0.005,0.001,TRUE
Simplisetia,0.006,0.002,TRUE
Simplisetia,0.005,0.003,TRUE
Simplisetia,0.004,0.003,TRUE
Simplisetia,0.007,0.001,TRUE
Simplisetia,0.022,0.008,TRUE
Simplisetia,0.001,0.001,FALSE
Simplisetia,0.01,0.004,TRUE
Simplisetia,0.007,0.003,TRUE
Simplisetia,0.006,0.004,TRUE
Simplisetia,0.002,0.001,TRUE
Simplisetia,0.003,0.002,TRUE
Simplisetia,0.019,0.009,TRUE
