taxa_clean,wm_g,afdm_g,keep_data
Amphipoda,0.003,0.001,TRUE
Amphipoda,0.015,0.001,TRUE
Amphipoda,0.019,0.003,TRUE
Amphipoda,0.022,0.002,TRUE
Amphipoda,0.01,0.001,TRUE
Amphipoda,0.036,0.004,TRUE
Amphipoda,0.022,0.001,TRUE
Amphipoda,0.016,0.001,TRUE
Amphipoda,0.004,0.001,TRUE
Amphipoda,0.013,0.001,TRUE
Amphipoda,0.009,0.001,TRUE
Amphipoda,0.011,0.001,TRUE
Amphipoda,0.02,0.003,TRUE
Amphipoda,0.045,0.003,TRUE
Amphipoda,0.256,0.016,FALSE
Amphipoda,0.227,0.015,FALSE
Amphipoda,0.194,0.015,FALSE
Amphipoda,0.002,0.001,FALSE
Amphipoda,0.008,0.001,TRUE
Amphipoda,0.029,0.003,TRUE
Amphipoda,0.031,0.003,TRUE
Amphipoda,0.046,0.005,TRUE
Amphipoda,0.044,0.005,TRUE
Amphipoda,0.062,0.006,TRUE
Amphipoda,0.049,0.005,TRUE
Amphipoda,0.03,0.004,TRUE
Amphipoda,0.073,0.007,TRUE
Amphipoda,0.048,0.005,TRUE
Amphipoda,0.073,0.008,TRUE
Amphipoda,0.05,0.004,TRUE
Amphipoda,0.07,0.006,TRUE
Amphipoda,0.022,0.004,TRUE
Simplisetia,0.011,0.002,TRUE
Simplisetia,0.009,0.001,TRUE
Simplisetia,0.008,0.002,TRUE
Simplisetia,0.017,0.002,TRUE
Simplisetia,0.017,0.002,TRUE
Simplisetia,0.01,0.001,TRUE
Simplisetia,0.014,0.002,TRUE
Simplisetia,0.028,0.003,TRUE
Simplisetia,0.021,0.003,TRUE
Simplisetia,0.017,0.001,TRUE
Simplisetia,0.069,0.008,TRUE
Simplisetia,0.004,0.001,FALSE
Simplisetia,0.034,0.004,TRUE
Simplisetia,0.021,0.003,TRUE
Simplisetia,0.031,0.004,TRUE
Simplisetia,0.006,0.001,TRUE
Simplisetia,0.009,0.002,TRUE
Simplisetia,0.078,0.009,TRUE
Simplisetia,0.059,0.008,TRUE
Simplisetia,0.057,0.006,TRUE
Simplisetia,0.053,0.007,TRUE
Simplisetia,0.131,0.014,TRUE
Simplisetia,0.08,0.009,TRUE
Simplisetia,0.109,0.01,TRUE
Simplisetia,0.055,0.008,TRUE
Simplisetia,0.034,0.004,TRUE
Simplisetia,0.251,0.03,TRUE
Simplisetia,0.013,0.003,TRUE
Simplisetia,0.017,0.001,TRUE
Simplisetia,0.008,0.002,TRUE
Simplisetia,0.012,0.002,TRUE
Simplisetia,0.01,0.002,TRUE
Simplisetia,0.044,0.003,TRUE
Simplisetia,0.036,0.004,TRUE
Simplisetia,0.123,0.011,TRUE
Simplisetia,0.359,0.036,TRUE
Simplisetia,0.249,0.025,TRUE
Simplisetia,0.242,0.026,TRUE
Simplisetia,0.078,0.007,TRUE
Simplisetia,0.279,0.023,TRUE
Simplisetia,0.498,0.056,TRUE
Simplisetia,0.462,0.061,FALSE
Simplisetia,0.675,0.069,FALSE
Simplisetia,0.399,0.048,FALSE
Simplisetia,0.511,0.054,TRUE
Simplisetia,0.935,0.095,FALSE
Simplisetia,0.684,0.063,FALSE
Simplisetia,0.797,0.089,FALSE
Simplisetia,0.619,0.059,FALSE
Simplisetia,0.697,0.072,FALSE
Simplisetia,0.305,0.032,TRUE
Simplisetia,0.463,0.049,TRUE
Simplisetia,0.46,0.051,TRUE
Simplisetia,0.356,0.038,TRUE
Simplisetia,0.547,0.056,TRUE
Simplisetia,0.006,0.001,TRUE
Hydrobiidae,0.004,0.001,TRUE
Hydrobiidae,0.006,0.001,TRUE
Hydrobiidae,0.004,0.001,TRUE
Hydrobiidae,0.004,0.001,TRUE
Hydrobiidae,0.017,0.001,TRUE
Hydrobiidae,0.023,0.002,TRUE
Hydrobiidae,0.036,0.002,TRUE
Hydrobiidae,0.13,0.009,FALSE
Hydrobiidae,0.146,0.012,FALSE
Hydrobiidae,0.137,0.01,FALSE
Hydrobiidae,0.027,0.001,TRUE
Hydrobiidae,0.027,0.003,TRUE
Hydrobiidae,0.013,0.001,TRUE
Hydrobiidae,0.014,0.001,TRUE
Hydrobiidae,0.043,0.003,TRUE
Hydrobiidae,0.019,0.001,TRUE
Arthritica,0.006,0.001,FALSE
Arthritica,0.03,0.001,TRUE
Arthritica,0.017,0.001,TRUE
Arthritica,0.012,0.001,FALSE
Arthritica,0.025,0.003,TRUE
Arthritica,0.021,0.002,TRUE
Arthritica,0.024,0.002,TRUE
Arthritica,0.025,0.001,TRUE
Arthritica,0.019,0.001,TRUE
Arthritica,0.433,0.049,FALSE
Arthritica,0.355,0.012,TRUE
Arthritica,0.086,0.005,TRUE
Arthritica,0.172,0.007,TRUE
Arthritica,0.315,0.016,TRUE
Arthritica,0.693,0.078,FALSE
Arthritica,0.35,0.018,TRUE
Arthritica,0.227,0.016,TRUE
Arthritica,0.251,0.013,TRUE
Arthritica,0.478,0.022,TRUE
Arthritica,0.289,0.022,TRUE
Arthritica,0.455,0.051,FALSE
Arthritica,0.142,0.008,TRUE
Arthritica,0.063,0.002,TRUE
Arthritica,0.262,0.037,TRUE
Arthritica,0.38,0.028,TRUE
Arthritica,0.467,0.039,TRUE
Arthritica,0.578,0.041,TRUE
Arthritica,0.109,0.009,TRUE
Arthritica,0.054,0.004,TRUE
Arthritica,0.486,0.023,TRUE
Arthritica,1.231,0.037,FALSE
Arthritica,0.459,0.022,TRUE
Arthritica,0.304,0.012,TRUE
Arthritica,0.583,0.03,TRUE
Arthritica,0.109,0.006,TRUE
Arthritica,0.174,0.01,TRUE
Arthritica,0.198,0.014,TRUE
Arthritica,0.221,0.013,TRUE
Arthritica,0.156,0.008,TRUE
Arthritica,0.018,0.001,TRUE
Arthritica,0.019,0.001,TRUE
Arthritica,0.013,0.001,TRUE
Arthritica,0.028,0.001,TRUE
Capitella,0.027,0.004,TRUE
Capitella,0.034,0.005,TRUE
Capitella,0.009,0.001,TRUE
Capitella,0.016,0.002,TRUE
Capitella,0.009,0.001,TRUE
Capitella,0.015,0.002,TRUE
Capitella,0.015,0.002,TRUE
Capitella,0.017,0.002,TRUE
Capitella,0.014,0.002,TRUE
Capitella,0.052,0.008,TRUE
Capitella,0.012,0.003,TRUE
Capitella,0.009,0.002,TRUE
Capitella,0.017,0.002,TRUE
Capitella,0.023,0.003,TRUE
Capitella,0.027,0.005,TRUE
Capitella,0.016,0.001,TRUE
Capitella,0.021,0.004,TRUE
Capitella,0.031,0.005,TRUE
Capitella,0.023,0.004,TRUE
Capitella,0.046,0.008,TRUE
Capitella,0.016,0.003,TRUE
Capitella,0.058,0.008,TRUE
Capitella,0.129,0.016,TRUE
Capitella,0.056,0.009,TRUE
Capitella,0.085,0.012,TRUE
Capitella,0.119,0.017,FALSE
Capitella,0.061,0.007,TRUE
Capitella,0.04,0.005,TRUE
Capitella,0.057,0.008,TRUE
Capitella,0.008,0.002,TRUE
Capitella,0.008,0.002,TRUE
Capitella,0.011,0.002,TRUE
Capitella,0.008,0.002,TRUE
Capitella,0.019,0.003,TRUE
Capitella,0.007,0.002,FALSE
Capitella,0.003,0.001,FALSE
Capitella,0.013,0.001,TRUE
Capitella,0.023,0.003,TRUE
Capitella,0.09,0.011,TRUE
Capitella,0.032,0.005,TRUE
Capitella,0.043,0.006,TRUE
Capitella,0.04,0.003,TRUE
Capitella,0.025,0.004,TRUE
Capitella,0.02,0.003,TRUE
Capitella,0.024,0.004,TRUE
Capitella,0.161,0.017,TRUE
Capitella,0.047,0.005,TRUE
Capitella,0.092,0.008,TRUE
Capitella,0.024,0.002,TRUE
Capitella,0.015,0.001,TRUE
Capitella,0.019,0.002,TRUE
Capitella,0.021,0.003,TRUE
Capitella,0.029,0.003,TRUE
Capitella,0.1,0.009,TRUE
Capitella,0.02,0.003,TRUE
Capitella,0.049,0.006,TRUE
Capitella,0.025,0.004,TRUE
Capitella,0.022,0.003,TRUE
Capitella,0.031,0.004,TRUE
Capitella,0.039,0.005,TRUE
Capitella,0.021,0.002,TRUE
Capitella,0.009,0.001,TRUE
Capitella,0.18,0.016,TRUE
Capitella,0.163,0.017,TRUE
Capitella,0.289,0.023,FALSE
Capitella,0.207,0.019,FALSE
Capitella,0.239,0.022,FALSE
Capitella,0.145,0.016,TRUE
Capitella,0.244,0.024,FALSE
Capitella,0.109,0.012,TRUE
Capitella,0.184,0.019,TRUE
Capitella,0.291,0.028,FALSE
Capitella,0.101,0.01,TRUE
Capitella,0.402,0.033,FALSE
Capitella,0.095,0.012,TRUE
Capitella,0.133,0.014,TRUE
Capitella,0.21,0.024,FALSE
Salinator,0.015,0.002,TRUE
Salinator,0.004,0.001,TRUE
Salinator,0.011,0.001,TRUE
Salinator,0.047,0.021,TRUE
Salinator,0.276,0.093,FALSE
Salinator,0.291,0.121,FALSE
Salinator,0.034,0.003,TRUE
Salinator,0.029,0.003,TRUE
Salinator,0.177,0.011,FALSE
Salinator,0.178,0.016,TRUE
Salinator,0.024,0.003,TRUE
Salinator,0.061,0.004,TRUE
Salinator,0.176,0.023,TRUE
Salinator,0.004,0.001,TRUE
Chironomidae,0.03,0.005,TRUE
Chironomidae,0.056,0.009,FALSE
Chironomidae,0.013,0.001,TRUE
Chironomidae,0.004,0.001,FALSE
Chironomidae,0.017,0.002,TRUE
Chironomidae,0.009,0.001,TRUE
Chironomidae,0.03,0.005,TRUE
Chironomidae,0.007,0.001,TRUE
Chironomidae,0.023,0.003,TRUE
Chironomidae,0.021,0.003,TRUE
Chironomidae,0.009,0.001,TRUE
Chironomidae,0.01,0.001,TRUE
Chironomidae,0.078,0.01,FALSE
Chironomidae,0.116,0.014,FALSE
Chironomidae,0.008,0.001,TRUE
Chironomidae,0.005,0.001,TRUE
Chironomidae,0.015,0.002,TRUE
Chironomidae,0.041,0.005,TRUE
Chironomidae,0.018,0.003,TRUE
Chironomidae,0.019,0.003,TRUE
Chironomidae,0.014,0.002,TRUE
Chironomidae,0.008,0.001,TRUE
Chironomidae,0.045,0.006,TRUE
Chironomidae,0.025,0.003,TRUE
Chironomidae,0.024,0.004,TRUE
Chironomidae,0.01,0.002,TRUE
Chironomidae,0.006,0.001,TRUE
Chironomidae,0.011,0.002,TRUE
Chironomidae,0.007,0.001,TRUE
Chironomidae,0.006,0.001,TRUE
Chironomidae,0.038,0.005,TRUE
Chironomidae,0.007,0.001,TRUE
Chironomidae,0.012,0.002,TRUE
Chironomidae,0.017,0.001,TRUE
Chironomidae,0.022,0.003,TRUE
Chironomidae,0.024,0.002,TRUE
Chironomidae,0.023,0.004,TRUE
Chironomidae,0.017,0.001,TRUE
Chironomidae,0.02,0.002,TRUE
Chironomidae,0.026,0.003,TRUE
Chironomidae,0.011,0.001,TRUE
Spisula,0.168,0.022,TRUE
Spisula,0.11,0.014,TRUE
Spisula,0.006,0.001,FALSE
Spisula,0.066,0.009,TRUE
Spisula,0.021,0.004,TRUE
Spisula,0.073,0.01,TRUE
Spisula,0.101,0.01,TRUE
Spisula,0.057,0.007,TRUE
Spisula,0.306,0.042,TRUE
Spisula,0.464,0.06,FALSE
Spisula,0.077,0.008,TRUE
Spisula,0.365,0.036,FALSE
Spisula,0.161,0.018,TRUE
Spisula,0.079,0.017,TRUE
Spisula,0.161,0.02,TRUE
Spisula,0.136,0.018,TRUE
Spisula,0.095,0.016,TRUE
Spisula,0.135,0.021,TRUE
Spisula,0.138,0.018,TRUE
Spisula,0.124,0.021,TRUE
Spisula,0.155,0.028,TRUE
Spisula,0.116,0.019,TRUE
Spisula,0.008,0.002,TRUE
Salinator (shell removed),0.921,0.133,TRUE
Salinator (shell removed),0.378,0.053,TRUE
Salinator (shell removed),1.271,0.204,FALSE
Salinator (shell removed),0.259,0.04,TRUE
Salinator (shell removed),0.999,0.138,FALSE
Salinator (shell removed),0.201,0.029,TRUE
Salinator (shell removed),0.217,0.031,TRUE
Salinator (shell removed),0.141,0.018,TRUE
Salinator (shell removed),0.161,0.021,TRUE
Salinator (shell removed),0.219,0.036,TRUE
Salinator (shell removed),0.172,0.026,TRUE
Salinator (shell removed),0.146,0.031,TRUE
Salinator (shell removed),0.157,0.028,TRUE
Salinator (shell removed),0.211,0.042,TRUE
Salinator (shell removed),0.096,0.013,FALSE
