taxa_clean,wm_g,dm_g,keep_data
Amphipoda,0.003,0.002,TRUE
Amphipoda,0.003,0.001,TRUE
Amphipoda,0.003,0.001,TRUE
Amphipoda,0.015,0.002,TRUE
Amphipoda,0.019,0.004,TRUE
Amphipoda,0.022,0.003,TRUE
Amphipoda,0.01,0.001,TRUE
Amphipoda,0.003,0.001,TRUE
Amphipoda,0.002,0.001,TRUE
Amphipoda,0.036,0.011,TRUE
Amphipoda,0.022,0.004,TRUE
Amphipoda,0.016,0.003,TRUE
Amphipoda,0.004,0.001,TRUE
Amphipoda,0.013,0.003,TRUE
Amphipoda,0.009,0.003,TRUE
Amphipoda,0.011,0.001,TRUE
Amphipoda,0.02,0.006,TRUE
Amphipoda,0.014,0.004,TRUE
Amphipoda,0.045,0.009,TRUE
Amphipoda,0.256,0.033,FALSE
Amphipoda,0.227,0.031,FALSE
Amphipoda,0.194,0.027,FALSE
Amphipoda,0.002,0.001,TRUE
Amphipoda,0.008,0.002,TRUE
Amphipoda,0.029,0.009,TRUE
Amphipoda,0.031,0.005,TRUE
Amphipoda,0.046,0.01,TRUE
Amphipoda,0.044,0.009,TRUE
Amphipoda,0.062,0.013,TRUE
Amphipoda,0.049,0.009,TRUE
Amphipoda,0.03,0.008,TRUE
Amphipoda,0.073,0.013,TRUE
Amphipoda,0.048,0.008,TRUE
Amphipoda,0.073,0.019,FALSE
Amphipoda,0.05,0.007,TRUE
Amphipoda,0.07,0.013,TRUE
Amphipoda,0.022,0.004,TRUE
Simplisetia,0.011,0.002,TRUE
Simplisetia,0.009,0.002,TRUE
Simplisetia,0.008,0.001,TRUE
Simplisetia,0.017,0.004,TRUE
Simplisetia,0.017,0.006,TRUE
Simplisetia,0.01,0.005,TRUE
Simplisetia,0.014,0.006,TRUE
Simplisetia,0.028,0.005,TRUE
Simplisetia,0.021,0.004,TRUE
Simplisetia,0.017,0.007,TRUE
Simplisetia,0.069,0.022,TRUE
Simplisetia,0.004,0.001,FALSE
Simplisetia,0.034,0.01,TRUE
Simplisetia,0.021,0.007,TRUE
Simplisetia,0.031,0.006,TRUE
Simplisetia,0.005,0.002,FALSE
Simplisetia,0.006,0.002,TRUE
Simplisetia,0.009,0.003,TRUE
Simplisetia,0.078,0.019,TRUE
Simplisetia,0.059,0.018,TRUE
Simplisetia,0.057,0.022,TRUE
Simplisetia,0.053,0.019,TRUE
Simplisetia,0.131,0.044,TRUE
Simplisetia,0.08,0.035,TRUE
Simplisetia,0.109,0.042,TRUE
Simplisetia,0.055,0.019,TRUE
