taxa_clean,wm_shell_on_g,dm_g,keep_data
Spisula,1.129,0.028,TRUE
Spisula,0.914,0.017,TRUE
Spisula,0.049,0.001,FALSE
Spisula,0.606,0.01,TRUE
Spisula,0.287,0.007,TRUE
Spisula,0.597,0.016,TRUE
Spisula,0.768,0.017,TRUE
Spisula,0.456,0.016,TRUE
Spisula,2.146,0.051,TRUE
Spisula,4.035,0.072,FALSE
Spisula,0.603,0.017,TRUE
Spisula,2.513,0.103,FALSE
Spisula,1.305,0.035,TRUE
Spisula,0.9,0.021,TRUE
Spisula,1.564,0.052,TRUE
Spisula,1.082,0.031,TRUE
Spisula,0.856,0.019,TRUE
Spisula,0.99,0.026,TRUE
Spisula,1.212,0.043,TRUE
Spisula,0.907,0.031,TRUE
Spisula,1.389,0.04,TRUE
Spisula,0.941,0.03,TRUE
Spisula,0.046,0.003,FALSE
Salinator (shell removed),2.1,0.291,FALSE
Salinator (shell removed),0.723,0.128,TRUE
Salinator (shell removed),2.558,0.408,FALSE
Salinator (shell removed),0.503,0.073,TRUE
Salinator (shell removed),1.919,0.311,FALSE
Salinator (shell removed),0.392,0.059,TRUE
Salinator (shell removed),0.488,0.064,TRUE
Salinator (shell removed),0.31,0.045,TRUE
Salinator (shell removed),0.329,0.049,TRUE
Salinator (shell removed),0.445,0.064,TRUE
Salinator (shell removed),0.376,0.068,TRUE
Salinator (shell removed),0.412,0.057,TRUE
Salinator (shell removed),0.327,0.054,TRUE
Salinator (shell removed),0.534,0.09,TRUE
Salinator (shell removed),0.198,0.035,FALSE
