taxa_clean,wm_shell_on_g,wm_g,keep_data
Spisula,0.009,0.001,FALSE
Spisula,1.129,0.168,TRUE
Spisula,0.914,0.11,TRUE
Spisula,0.049,0.006,TRUE
Spisula,0.606,0.066,TRUE
Spisula,0.287,0.021,TRUE
Spisula,0.597,0.073,TRUE
Spisula,0.768,0.101,TRUE
Spisula,0.456,0.057,TRUE
Spisula,2.146,0.306,FALSE
Spisula,4.035,0.464,FALSE
Spisula,0.603,0.077,TRUE
Spisula,2.513,0.365,FALSE
Spisula,1.305,0.161,TRUE
Spisula,0.9,0.079,TRUE
Spisula,1.564,0.161,TRUE
Spisula,1.082,0.136,TRUE
Spisula,0.856,0.095,TRUE
Spisula,0.99,0.135,TRUE
Spisula,1.212,0.138,TRUE
Spisula,0.907,0.124,TRUE
Spisula,1.389,0.155,TRUE
Spisula,0.941,0.116,TRUE
Spisula,0.046,0.008,TRUE
Salinator (shell removed),2.1,0.921,FALSE
Salinator (shell removed),0.723,0.378,TRUE
Salinator (shell removed),2.558,1.271,FALSE
Salinator (shell removed),0.503,0.259,TRUE
Salinator (shell removed),1.919,0.999,FALSE
Salinator (shell removed),0.392,0.201,TRUE
Salinator (shell removed),0.488,0.217,TRUE
Salinator (shell removed),0.31,0.141,TRUE
Salinator (shell removed),0.329,0.161,TRUE
Salinator (shell removed),0.445,0.219,TRUE
Salinator (shell removed),0.376,0.172,TRUE
Salinator (shell removed),0.412,0.146,TRUE
Salinator (shell removed),0.327,0.157,TRUE
Salinator (shell removed),0.534,0.211,TRUE
Salinator (shell removed),0.198,0.096,FALSE
