taxa_clean,individual_count,afdm_g,keep_data
Arthritica,88,0.0157,TRUE
Arthritica,63,0.0042,TRUE
Arthritica,171,0.0226,TRUE
Arthritica,106,0.0246,TRUE
Arthritica,119,0.0196,TRUE
Arthritica,3,0.0037,TRUE
Arthritica,3,0.0022,TRUE
Arthritica,2,0.0033,TRUE
Arthritica,11,0.0085,TRUE
Arthritica,1,0.001,FALSE
Arthritica,173,0.0582,FALSE
Arthritica,148,0.0563,FALSE
Arthritica,206,0.0228,FALSE
Arthritica,147,0.0213,TRUE
Hydrobiidae,1,0.0027,FALSE
Hydrobiidae,2,0.0047,TRUE
Hydrobiidae,6,0.0098,TRUE
Hydrobiidae,5,0.0088,TRUE
Hydrobiidae,2,0.0076,TRUE
Hydrobiidae,44,0.1074,FALSE
Hydrobiidae,3,0.0104,TRUE
Hydrobiidae,23,0.0626,TRUE
Hydrobiidae,4,0.025,TRUE
Hydrobiidae,2,0.0012,FALSE
Hydrobiidae,48,0.0279,FALSE
Hydrobiidae,11,0.0014,TRUE
Salinator,4,0.003,TRUE
Salinator,7,0.068,TRUE
Salinator,1,0.0015,TRUE
Salinator,1,0.0024,TRUE
Salinator,21,0.2812,TRUE
Salinator,35,0.4564,TRUE
Salinator,80,0.019,FALSE
Salinator,32,0.5189,TRUE
Salinator,11,0.058,TRUE
Salinator,1,0.005,TRUE
Salinator,4,0.008,TRUE
Salinator,2,0.0078,TRUE
Salinator,1,0.0039,TRUE
Salinator,1,0.0019,TRUE
Salinator,1,0.0011,TRUE
Salinator,12,0.1783,TRUE
Salinator,5,0.0011,TRUE
Salinator,5,0.1442,TRUE
Salinator,22,1.0238,FALSE
Salinator,3,0.117,TRUE
Salinator,8,0.3181,TRUE
Salinator,15,0.5024,TRUE
Capitella,1,0.0014,FALSE
Capitella,325,0.0227,TRUE
Capitella,239,0.0228,TRUE
Capitella,363,0.0387,FALSE
Capitella,472,0.0336,FALSE
Capitella,343,0.0294,TRUE
Capitella,39,0.0038,TRUE
Capitella,9,0.0017,TRUE
Capitella,17,0.0012,TRUE
Capitella,161,0.0364,FALSE
Capitella,139,0.0238,TRUE
Capitella,162,0.0091,TRUE
Capitella,168,0.0248,TRUE
Capitella,116,0.0156,TRUE
Capitella,3,0.0012,TRUE
Capitella,14,0.01,TRUE
Capitella,5,0.001,FALSE
Capitella,11,0.003,TRUE
Simplisetia,1,0.0173,TRUE
Simplisetia,3,0.0106,TRUE
Simplisetia,1,0.0105,TRUE
Simplisetia,2,0.0089,TRUE
Simplisetia,1,0.0023,TRUE
Simplisetia,1,0.0045,TRUE
Simplisetia,1,0.0011,FALSE
Simplisetia,129,0.0561,TRUE
Simplisetia,273,0.2743,FALSE
Simplisetia,93,0.0777,TRUE
Simplisetia,283,0.2049,FALSE
Simplisetia,285,0.223,FALSE
Simplisetia,44,0.1027,TRUE
Simplisetia,72,0.1284,TRUE
Simplisetia,79,0.1464,TRUE
Simplisetia,71,0.1398,TRUE
Simplisetia,71,0.1364,TRUE
