taxa_clean,individual_count,dm_g,keep_data
Arthritica,88,0.1103,TRUE
Arthritica,63,0.082,TRUE
Arthritica,171,0.15505,TRUE
Arthritica,106,0.13475,TRUE
Arthritica,119,0.12845,TRUE
Arthritica,3,0.0128,TRUE
Arthritica,3,0.0103,TRUE
Arthritica,2,0.00655,TRUE
Arthritica,11,0.03205,TRUE
Arthritica,1,0.00225,TRUE
Arthritica,24,0.0227,TRUE
Arthritica,173,0.1644,TRUE
Arthritica,148,0.177,FALSE
Arthritica,206,0.1192,FALSE
Arthritica,147,0.1189,TRUE
Arthritica,3,0.00195,FALSE
Arthritica,1,0.0024,TRUE
Hydrobiidae,1,0.0066,FALSE
Hydrobiidae,2,0.01355,TRUE
Hydrobiidae,6,0.04355,TRUE
Hydrobiidae,5,0.0236,TRUE
Hydrobiidae,2,0.021,TRUE
Hydrobiidae,44,0.32795,FALSE
Hydrobiidae,3,0.03425,TRUE
Hydrobiidae,11,0.0869,TRUE
Hydrobiidae,23,0.17525,TRUE
Hydrobiidae,4,0.0283,TRUE
Hydrobiidae,2,0.0126,TRUE
Hydrobiidae,48,0.0828,FALSE
Hydrobiidae,11,0.005,FALSE
Salinator,4,0.017,TRUE
Salinator,2,0.0014,FALSE
Salinator,7,0.3671,TRUE
Salinator,1,0.00735,TRUE
Salinator,1,0.0069,TRUE
Salinator,21,1.2135,TRUE
Salinator,35,2.1568,TRUE
Salinator,80,6.7065,FALSE
Salinator,32,2.3115,TRUE
Salinator,11,0.2808,TRUE
Salinator,1,0.00955,TRUE
Salinator,4,0.03345,TRUE
Salinator,2,0.0208,TRUE
Salinator,1,0.00855,TRUE
Salinator,1,0.00525,TRUE
Salinator,12,0.4218,TRUE
Salinator,5,0.002,TRUE
Salinator,5,0.6058,TRUE
Salinator,22,3.8961,FALSE
Salinator,3,0.46405,TRUE
Salinator,8,1.50615,TRUE
Salinator,15,2.308,TRUE
Capitella,325,0.0287,TRUE
Capitella,239,0.0277,TRUE
Capitella,363,0.0534,FALSE
Capitella,472,0.03905,FALSE
Capitella,343,0.0345,TRUE
Capitella,39,0.0045,TRUE
Capitella,9,0.00225,TRUE
Capitella,17,0.0012,FALSE
Capitella,161,0.0532,FALSE
Capitella,139,0.0339,TRUE
Capitella,162,0.0178,TRUE
Capitella,168,0.0387,TRUE
Capitella,116,0.0254,TRUE
Capitella,3,0.0027,FALSE
Capitella,14,0.02,TRUE
Capitella,5,0.00175,TRUE
Capitella,11,0.00665,TRUE
Simplisetia,1,0.0158,TRUE
Simplisetia,3,0.0121,TRUE
Simplisetia,1,0.01105,TRUE
Simplisetia,2,0.0096,TRUE
Simplisetia,1,0.00265,TRUE
Simplisetia,1,0.00505,TRUE
Simplisetia,1,0.00115,FALSE
Simplisetia,129,0.1084,FALSE
Simplisetia,273,0.4581,FALSE
Simplisetia,93,0.1881,TRUE
Simplisetia,283,0.4238,FALSE
Simplisetia,285,0.4728,FALSE
Simplisetia,44,0.1418,TRUE
Simplisetia,72,0.1775,TRUE
Simplisetia,79,0.22505,TRUE
Simplisetia,71,0.20025,TRUE
Simplisetia,71,0.2496,FALSE
