taxa_clean,individual_count,wm_g,keep_data
Hydrobiidae,1,0.0076,FALSE
Hydrobiidae,2,0.018,TRUE
Hydrobiidae,6,0.0608,TRUE
Hydrobiidae,5,0.034,TRUE
Hydrobiidae,2,0.0269,TRUE
Hydrobiidae,44,0.3973,FALSE
Hydrobiidae,3,0.0431,TRUE
Hydrobiidae,11,0.1009,TRUE
Hydrobiidae,23,0.2016,TRUE
Hydrobiidae,4,0.0399,TRUE
Hydrobiidae,2,0.0198,TRUE
Hydrobiidae,48,0.1205,FALSE
Hydrobiidae,11,0.0149,TRUE
Hydrobiidae,2,0.0015,FALSE
Arthritica,88,0.1833,TRUE
Arthritica,63,0.1477,TRUE
Arthritica,171,0.3033,FALSE
Arthritica,106,0.2115,TRUE
Arthritica,119,0.2539,TRUE
Arthritica,3,0.0165,TRUE
Arthritica,3,0.0151,TRUE
Arthritica,1,0.001,TRUE
Arthritica,2,0.0084,TRUE
Arthritica,11,0.0376,TRUE
Arthritica,1,0.0021,TRUE
Arthritica,24,0.0417,TRUE
Arthritica,173,0.2274,TRUE
Arthritica,148,0.2328,TRUE
Arthritica,206,0.233,FALSE
Arthritica,147,0.2116,TRUE
Arthritica,3,0.0038,TRUE
Arthritica,2,0.001,TRUE
Arthritica,1,0.0041,TRUE
Capitella,2,0.001,FALSE
Capitella,1,0.0033,FALSE
Capitella,2,0.0034,TRUE
Capitella,325,0.1625,TRUE
Capitella,239,0.1708,TRUE
Capitella,363,0.3106,FALSE
Capitella,472,0.2564,FALSE
Capitella,343,0.2294,TRUE
Capitella,39,0.0253,TRUE
Capitella,9,0.005,TRUE
Capitella,17,0.0072,TRUE
Capitella,2,0.0011,TRUE
Capitella,2,0.0011,TRUE
Capitella,161,0.3373,FALSE
Capitella,139,0.3269,FALSE
Capitella,162,0.1072,TRUE
Capitella,168,0.2267,TRUE
Capitella,116,0.1417,TRUE
Capitella,3,0.022,TRUE
Capitella,14,0.122,TRUE
Capitella,5,0.0081,TRUE
Capitella,11,0.0404,TRUE
Capitella,3,0.0078,TRUE
Salinator,4,0.0335,TRUE
Salinator,2,0.0055,TRUE
Salinator,7,0.7241,TRUE
Salinator,1,0.0167,TRUE
Salinator,1,0.0134,TRUE
Salinator,21,2.1905,TRUE
Salinator,35,3.9257,TRUE
Salinator,80,12.661,FALSE
Salinator,32,4.1836,TRUE
Salinator,11,0.5256,TRUE
Salinator,1,0.011,TRUE
Salinator,4,0.0591,TRUE
Salinator,2,0.0286,TRUE
Salinator,1,0.0113,TRUE
Salinator,1,0.0095,TRUE
Salinator,12,0.6109,TRUE
Salinator,5,0.0043,TRUE
Salinator,1,0.0011,FALSE
Salinator,5,1.1528,TRUE
Salinator,22,7.1876,FALSE
Salinator,3,0.8949,TRUE
Salinator,8,2.8313,TRUE
Salinator,15,4.5958,TRUE
Simplisetia,1,0.104,TRUE
Simplisetia,3,0.074,TRUE
Simplisetia,2,0.0022,FALSE
Simplisetia,1,0.0929,TRUE
Simplisetia,2,0.0708,TRUE
Simplisetia,1,0.0155,TRUE
Simplisetia,1,0.0247,TRUE
Simplisetia,1,0.0113,TRUE
Simplisetia,129,0.5939,TRUE
Simplisetia,273,1.7846,FALSE
Simplisetia,93,0.9213,TRUE
Simplisetia,283,2.1809,FALSE
Simplisetia,285,2.4187,FALSE
Simplisetia,44,1.1001,TRUE
Simplisetia,72,1.2664,TRUE
Simplisetia,79,1.3703,TRUE
Simplisetia,71,1.3261,TRUE
Simplisetia,71,1.6624,FALSE
Amphipoda,4,0.0016,TRUE
Amphipoda,55,0.0169,FALSE
Amphipoda,9,0.0014,FALSE
Amphipoda,21,0.0062,TRUE
Amphipoda,4,0.0055,TRUE
Amphipoda,5,0.0031,TRUE
Amphipoda,5,0.0022,TRUE
Amphipoda,38,0.0185,TRUE
Amphipoda,43,0.0213,TRUE
Amphipoda,8,0.0026,TRUE
Amphipoda,61,0.0315,TRUE
Amphipoda,65,0.0356,FALSE
Chironomidae,1,0.0078,FALSE
Chironomidae,10,0.0112,TRUE
Chironomidae,8,0.0015,TRUE
Chironomidae,10,0.0039,TRUE
Chironomidae,51,0.034,FALSE
Chironomidae,26,0.0223,TRUE
Chironomidae,21,0.0074,TRUE
Chironomidae,2,0.0015,TRUE
Chironomidae,3,0.0014,TRUE
Chironomidae,9,0.0116,TRUE
Chironomidae,26,0.0165,TRUE
Chironomidae,2,0.0011,FALSE
Chironomidae,6,0.0027,TRUE
