taxa_clean,dm_g,afdm_g,keep_data
Salinator,0.017,0.003,TRUE
Salinator,0.3671,0.0098,TRUE
Salinator,0.00735,0.0015,TRUE
Salinator,1.2135,0.0014,TRUE
Salinator,2.1568,0.0104,TRUE
Salinator,2.3115,0.0022,FALSE
Salinator,0.03345,0.008,TRUE
Salinator,0.0208,0.0101,TRUE
Salinator,0.00855,0.0039,TRUE
Salinator,0.4218,0.0235,TRUE
Salinator,0.002,0.0011,FALSE
Salinator,0.6058,0.1027,TRUE
Salinator,3.8961,0.1284,FALSE
Salinator,0.46405,0.117,FALSE
Salinator,1.50615,0.1398,FALSE
Salinator,2.308,0.1364,TRUE
Capitella,0.0287,0.0033,TRUE
Capitella,0.0277,0.0228,TRUE
Capitella,0.0534,0.005,FALSE
Capitella,0.03905,0.0085,TRUE
Capitella,0.0345,0.001,FALSE
Capitella,0.0045,0.0038,TRUE
Capitella,0.00225,0.0017,TRUE
Capitella,0.0012,0.0012,FALSE
Capitella,0.0339,0.0238,FALSE
Capitella,0.0178,0.0091,TRUE
Capitella,0.0254,0.0156,TRUE
Simplisetia,0.0096,0.0078,TRUE
Simplisetia,0.00265,0.0023,TRUE
Simplisetia,0.00505,0.0019,TRUE
Simplisetia,0.00115,0.0011,FALSE
Simplisetia,0.4581,0.0582,FALSE
Simplisetia,0.1881,0.0563,FALSE
Simplisetia,0.4238,0.0228,TRUE
Simplisetia,0.4728,0.0213,FALSE
Simplisetia,0.1418,0.0012,TRUE
Simplisetia,0.1775,0.01,TRUE
Simplisetia,0.22505,0.001,FALSE
Simplisetia,0.20025,0.003,TRUE
