taxa_clean,wm_g,dm_g,keep_data
Arthritica,0.1833,0.1103,TRUE
Arthritica,0.1477,0.082,TRUE
Arthritica,0.3033,0.15505,FALSE
Arthritica,0.2115,0.13475,TRUE
Arthritica,0.2539,0.12845,TRUE
Arthritica,0.0165,0.0128,TRUE
Arthritica,0.0151,0.0103,TRUE
Arthritica,0.0084,0.00655,TRUE
Arthritica,0.0376,0.03205,TRUE
Arthritica,0.0417,0.0227,TRUE
Arthritica,0.2274,0.1644,FALSE
Arthritica,0.2328,0.177,FALSE
Arthritica,0.233,0.1192,TRUE
Arthritica,0.2116,0.1189,TRUE
Arthritica,0.0038,0.00195,FALSE
Arthritica,0.0041,0.0024,TRUE
Truncatelloidea,0.0076,0.0066,FALSE
Truncatelloidea,0.018,0.01355,TRUE
Truncatelloidea,0.0608,0.04355,TRUE
Truncatelloidea,0.034,0.0236,TRUE
Truncatelloidea,0.0269,0.021,TRUE
Truncatelloidea,0.3973,0.32795,FALSE
Truncatelloidea,0.0431,0.03425,TRUE
Truncatelloidea,0.1009,0.0869,TRUE
Truncatelloidea,0.2016,0.17525,FALSE
Truncatelloidea,0.0399,0.0283,TRUE
Truncatelloidea,0.0198,0.0126,TRUE
Truncatelloidea,0.1205,0.0828,FALSE
Truncatelloidea,0.0149,0.005,FALSE
Salinator,0.0335,0.017,TRUE
Salinator,0.0055,0.0014,FALSE
Salinator,0.7241,0.3671,TRUE
Salinator,0.0167,0.00735,TRUE
Salinator,0.0134,0.0069,TRUE
Salinator,2.1905,1.2135,TRUE
Salinator,3.9257,2.1568,TRUE
Salinator,12.661,6.7065,FALSE
Salinator,4.1836,2.3115,TRUE
Salinator,0.5256,0.2808,TRUE
Salinator,0.011,0.00955,TRUE
Salinator,0.0591,0.03345,TRUE
Salinator,0.0286,0.0208,TRUE
Salinator,0.0113,0.00855,TRUE
Salinator,0.0095,0.00525,TRUE
Salinator,0.6109,0.4218,FALSE
Salinator,0.0043,0.002,FALSE
Salinator,1.1528,0.6058,TRUE
Salinator,7.1876,3.8961,FALSE
Salinator,0.8949,0.46405,TRUE
Salinator,2.8313,1.50615,TRUE
Salinator,4.5958,2.308,FALSE
Capitella,0.1625,0.0287,TRUE
Capitella,0.1708,0.0277,TRUE
Capitella,0.3106,0.0534,FALSE
Capitella,0.2564,0.03905,TRUE
Capitella,0.2294,0.0345,TRUE
Capitella,0.0253,0.0045,TRUE
Capitella,0.005,0.00225,FALSE
Capitella,0.0072,0.0012,FALSE
Capitella,0.3373,0.0532,FALSE
Capitella,0.3269,0.0339,FALSE
Capitella,0.1072,0.0178,TRUE
Capitella,0.2267,0.0387,TRUE
Capitella,0.1417,0.0254,TRUE
Capitella,0.022,0.0027,TRUE
Capitella,0.122,0.02,TRUE
Capitella,0.0081,0.00175,TRUE
Capitella,0.0404,0.00665,TRUE
Simplisetia,0.104,0.0158,TRUE
Simplisetia,0.074,0.0121,TRUE
Simplisetia,0.0929,0.01105,TRUE
Simplisetia,0.0708,0.0096,TRUE
Simplisetia,0.0155,0.00265,TRUE
Simplisetia,0.0247,0.00505,TRUE
Simplisetia,0.0113,0.00115,FALSE
Simplisetia,0.5939,0.1084,TRUE
Simplisetia,1.7846,0.4581,FALSE
Simplisetia,0.9213,0.1881,TRUE
Simplisetia,2.1809,0.4238,TRUE
Simplisetia,2.4187,0.4728,FALSE
Simplisetia,1.1001,0.1418,TRUE
Simplisetia,1.2664,0.1775,TRUE
Simplisetia,1.3703,0.22505,TRUE
Simplisetia,1.3261,0.20025,TRUE
Simplisetia,1.6624,0.2496,TRUE
