taxa_clean,individual_count,dm_g,keep_data
Simplisetia,607,0.0206,FALSE
Simplisetia,406,0.0233,FALSE
Simplisetia,320,0.0074,TRUE
Simplisetia,174,0.0015,TRUE
Simplisetia,339,0.0157,TRUE
Simplisetia,10,0.0027,TRUE
Simplisetia,10,0.0026,TRUE
Simplisetia,10,0.0018,TRUE
Simplisetia,3,0.0052,TRUE
Simplisetia,476,0.0699,FALSE
Simplisetia,525,0.066,FALSE
Simplisetia,707,0.1066,FALSE
Simplisetia,488,0.0558,FALSE
Simplisetia,504,0.0901,FALSE
Simplisetia,723,0.0804,FALSE
Simplisetia,738,0.124,FALSE
Simplisetia,595,0.124,FALSE
Simplisetia,347,0.0437,TRUE
Simplisetia,391,0.0688,TRUE
Simplisetia,252,0.1797,FALSE
Simplisetia,594,0.0483,FALSE
Simplisetia,527,0.0291,FALSE
Simplisetia,283,0.0266,TRUE
Simplisetia,682,0.0666,FALSE
Simplisetia,329,0.2941,FALSE
Simplisetia,241,0.1811,FALSE
Simplisetia,289,0.2462,FALSE
Simplisetia,162,0.1825,FALSE
Simplisetia,88,0.1226,FALSE
Simplisetia,585,0.2318,FALSE
Simplisetia,637,0.192,FALSE
Simplisetia,308,0.023,TRUE
Simplisetia,543,0.0789,FALSE
Simplisetia,255,0.0343,TRUE
Simplisetia,703,0.0714,FALSE
Simplisetia,519,0.059,FALSE
Simplisetia,49,0.0574,TRUE
Simplisetia,42,0.0278,TRUE
Simplisetia,40,0.0254,TRUE
Simplisetia,55,0.0313,TRUE
Simplisetia,2,0.0094,TRUE
Simplisetia,4,0.001,FALSE
Simplisetia,5,0.0051,TRUE
Simplisetia,4,0.005,TRUE
Simplisetia,8,0.0051,TRUE
Simplisetia,72,0.0019,TRUE
Simplisetia,67,0.0025,TRUE
Simplisetia,30,0.0057,TRUE
Simplisetia,122,0.0045,TRUE
Simplisetia,342,0.0716,TRUE
Simplisetia,189,0.0879,TRUE
Simplisetia,341,0.1094,TRUE
Simplisetia,278,0.1091,TRUE
Simplisetia,332,0.0587,TRUE
Simplisetia,108,0.0284,TRUE
Simplisetia,60,0.0135,TRUE
Simplisetia,172,0.043,TRUE
Simplisetia,136,0.0193,TRUE
Simplisetia,133,0.0268,TRUE
Simplisetia,9,0.0013,FALSE
Simplisetia,77,0.0334,TRUE
Simplisetia,65,0.0147,TRUE
Simplisetia,18,0.0045,TRUE
Simplisetia,98,0.0217,TRUE
Simplisetia,98,0.018,TRUE
Simplisetia,4,0.0015,TRUE
Simplisetia,93,0.0216,TRUE
Simplisetia,54,0.0019,TRUE
Simplisetia,46,0.0082,TRUE
Simplisetia,90,0.0114,TRUE
Simplisetia,77,0.0139,TRUE
Simplisetia,1,0.0025,FALSE
Simplisetia,3,0.0204,TRUE
Simplisetia,80,0.0016,TRUE
Simplisetia,141,0.0101,TRUE
Simplisetia,51,0.0024,TRUE
Simplisetia,135,0.009,TRUE
Simplisetia,44,0.0015,TRUE
Simplisetia,7,0.0027,TRUE
Simplisetia,36,0.0031,TRUE
Simplisetia,113,0.102,TRUE
Simplisetia,149,0.0734,TRUE
Simplisetia,131,0.0381,TRUE
Simplisetia,205,0.1048,TRUE
Simplisetia,274,0.1063,TRUE
Simplisetia,33,0.0266,TRUE
Simplisetia,51,0.0169,TRUE
Simplisetia,57,0.0264,TRUE
Simplisetia,56,0.0244,TRUE
Simplisetia,62,0.0556,TRUE
Simplisetia,22,0.0047,TRUE
Simplisetia,11,0.0011,FALSE
Simplisetia,83,0.0981,TRUE
Simplisetia,66,0.0342,TRUE
Simplisetia,64,0.0577,TRUE
Simplisetia,42,0.004,TRUE
Simplisetia,66,0.0049,TRUE
Simplisetia,19,0.0132,TRUE
Simplisetia,23,0.0109,TRUE
Simplisetia,11,0.0107,TRUE
Simplisetia,21,0.0135,TRUE
Simplisetia,42,0.0187,TRUE
Simplisetia,89,0.064,TRUE
Simplisetia,146,0.0597,TRUE
Simplisetia,73,0.053,TRUE
Simplisetia,87,0.0514,TRUE
Simplisetia,90,0.0512,TRUE
Simplisetia,1,0.0048,FALSE
Simplisetia,363,0.1959,FALSE
Simplisetia,360,0.1795,FALSE
Simplisetia,1,0.0012,FALSE
Simplisetia,47,0.0036,TRUE
Simplisetia,15,0.0012,FALSE
Simplisetia,140,0.0399,TRUE
Simplisetia,7,0.0024,TRUE
Simplisetia,8,0.0035,TRUE
Simplisetia,6,0.0035,TRUE
Simplisetia,44,0.0069,TRUE
Simplisetia,56,0.0159,TRUE
Simplisetia,61,0.0194,TRUE
Simplisetia,65,0.06,TRUE
Simplisetia,135,0.0042,TRUE
Simplisetia,74,0.051,TRUE
Simplisetia,77,0.0217,TRUE
Simplisetia,72,0.0394,TRUE
Simplisetia,80,0.0933,TRUE
Simplisetia,83,0.0672,TRUE
Simplisetia,68,0.0792,TRUE
Simplisetia,56,0.0584,TRUE
Simplisetia,6,0.0095,TRUE
Simplisetia,2,0.0063,TRUE
Simplisetia,2,0.0015,TRUE
Simplisetia,17,0.0143,TRUE
Simplisetia,19,0.0302,TRUE
Simplisetia,37,0.012,TRUE
Simplisetia,28,0.0231,TRUE
Simplisetia,28,0.0095,TRUE
Simplisetia,47,0.0252,TRUE
Simplisetia,35,0.0397,TRUE
Simplisetia,55,0.0428,TRUE
Simplisetia,51,0.0258,TRUE
Simplisetia,51,0.049,TRUE
Simplisetia,10,0.0041,TRUE
Simplisetia,7,0.0025,TRUE
Simplisetia,28,0.0154,TRUE
Simplisetia,14,0.0026,TRUE
Simplisetia,26,0.0211,TRUE
Simplisetia,38,0.0479,TRUE
Simplisetia,44,0.0236,TRUE
Simplisetia,52,0.0802,TRUE
Simplisetia,3,0.0045,TRUE
Simplisetia,18,0.0097,TRUE
Simplisetia,67,0.0233,TRUE
Simplisetia,15,0.0145,TRUE
Simplisetia,87,0.0599,TRUE
Simplisetia,125,0.0928,TRUE
Simplisetia,32,0.0443,TRUE
Simplisetia,39,0.0376,TRUE
Simplisetia,67,0.0328,TRUE
Simplisetia,52,0.0301,TRUE
Simplisetia,23,0.0224,TRUE
Simplisetia,1,0.001,FALSE
Simplisetia,7,0.0242,TRUE
Simplisetia,40,0.0514,TRUE
Simplisetia,203,0.1326,TRUE
Simplisetia,72,0.1182,FALSE
Simplisetia,10,0.0195,TRUE
Simplisetia,20,0.0048,TRUE
Simplisetia,15,0.0218,TRUE
Simplisetia,34,0.0044,TRUE
Simplisetia,3,0.0032,TRUE
Simplisetia,5,0.0028,TRUE
Simplisetia,10,0.1001,FALSE
Simplisetia,15,0.0679,TRUE
Simplisetia,9,0.0274,TRUE
Simplisetia,14,0.0089,TRUE
Simplisetia,10,0.0016,TRUE
Simplisetia,5,0.0175,TRUE
Simplisetia,19,0.0087,TRUE
Simplisetia,99,0.0824,TRUE
Simplisetia,68,0.0383,TRUE
Simplisetia,6,0.0063,TRUE
Simplisetia,13,0.0099,TRUE
Simplisetia,80,0.0174,TRUE
Simplisetia,42,0.0135,TRUE
Simplisetia,36,0.0137,TRUE
Simplisetia,1,0.0074,FALSE
Simplisetia,31,0.0209,TRUE
Simplisetia,50,0.0273,TRUE
Simplisetia,1,0.0043,FALSE
Simplisetia,15,0.0064,TRUE
Simplisetia,103,0.0753,TRUE
Simplisetia,75,0.113,TRUE
Simplisetia,93,0.0463,TRUE
Simplisetia,28,0.049,TRUE
Simplisetia,65,0.0147,TRUE
Simplisetia,41,0.009,TRUE
Simplisetia,34,0.0021,TRUE
Simplisetia,84,0.0226,TRUE
Simplisetia,66,0.0139,TRUE
Simplisetia,64,0.0231,TRUE
Simplisetia,55,0.0505,TRUE
Simplisetia,69,0.0369,TRUE
Simplisetia,86,0.0452,TRUE
Simplisetia,3,0.0016,TRUE
Simplisetia,59,0.0385,TRUE
Chironomidae,221,0.0307,TRUE
Chironomidae,128,0.0066,TRUE
Chironomidae,164,0.008,TRUE
Chironomidae,119,0.0069,TRUE
Chironomidae,82,0.0048,TRUE
Chironomidae,28,0.0013,TRUE
Chironomidae,5,0.0031,TRUE
Chironomidae,2,0.0027,TRUE
Chironomidae,99,0.015,TRUE
Chironomidae,233,0.0309,TRUE
Chironomidae,55,0.0061,TRUE
Chironomidae,63,0.0073,TRUE
Chironomidae,169,0.0274,TRUE
Chironomidae,71,0.0051,TRUE
Chironomidae,75,0.0046,TRUE
Chironomidae,33,0.0012,TRUE
Chironomidae,113,0.0091,TRUE
Chironomidae,31,0.0024,TRUE
Chironomidae,25,0.001,FALSE
Chironomidae,21,0.0011,TRUE
Chironomidae,21,0.0012,TRUE
Chironomidae,83,0.0108,TRUE
Chironomidae,4,0.001,FALSE
Chironomidae,175,0.0093,TRUE
Chironomidae,47,0.002,TRUE
Chironomidae,73,0.0055,TRUE
Chironomidae,60,0.0017,TRUE
Chironomidae,101,0.0064,TRUE
Chironomidae,2,0.0011,TRUE
Chironomidae,5,0.0014,TRUE
Chironomidae,5,0.002,TRUE
Chironomidae,254,0.0175,TRUE
Chironomidae,124,0.0131,TRUE
Chironomidae,209,0.0166,TRUE
Chironomidae,174,0.0103,TRUE
Chironomidae,158,0.0098,TRUE
Chironomidae,209,0.0181,TRUE
Chironomidae,330,0.029,FALSE
Chironomidae,456,0.0181,FALSE
Chironomidae,39,0.0033,TRUE
Chironomidae,118,0.0013,TRUE
Chironomidae,67,0.0046,TRUE
Chironomidae,124,0.0045,TRUE
Chironomidae,75,0.0017,TRUE
Chironomidae,109,0.0015,TRUE
Chironomidae,188,0.0081,TRUE
Chironomidae,3,0.0024,TRUE
Chironomidae,1,0.0011,FALSE
Chironomidae,70,0.0071,TRUE
Chironomidae,91,0.0053,TRUE
Chironomidae,107,0.0043,TRUE
Chironomidae,76,0.0045,TRUE
Chironomidae,23,0.0012,TRUE
Chironomidae,203,0.0115,TRUE
Chironomidae,16,0.0014,TRUE
Chironomidae,19,0.0012,TRUE
Chironomidae,18,0.0011,TRUE
Chironomidae,118,0.0069,TRUE
Chironomidae,23,0.0024,TRUE
Chironomidae,46,0.0024,TRUE
Chironomidae,10,0.0012,TRUE
Chironomidae,34,0.0056,TRUE
Chironomidae,7,0.0013,TRUE
Chironomidae,11,0.0014,TRUE
Chironomidae,3,0.0011,TRUE
Chironomidae,4,0.0012,TRUE
Chironomidae,29,0.0048,TRUE
Chironomidae,6,0.0026,TRUE
Chironomidae,14,0.0031,TRUE
Chironomidae,17,0.0042,TRUE
Chironomidae,33,0.0102,TRUE
Chironomidae,9,0.0015,TRUE
Chironomidae,68,0.009,TRUE
Chironomidae,48,0.0058,TRUE
Chironomidae,262,0.0187,FALSE
Chironomidae,320,0.0167,FALSE
Chironomidae,53,0.0025,TRUE
Chironomidae,38,0.0035,TRUE
Chironomidae,37,0.0033,TRUE
Chironomidae,1,0.0019,FALSE
Chironomidae,1,0.0022,FALSE
Chironomidae,123,0.0151,TRUE
Chironomidae,26,0.0012,TRUE
Chironomidae,3,0.0013,TRUE
Chironomidae,2,0.0012,TRUE
Chironomidae,51,0.0022,TRUE
Chironomidae,218,0.0099,TRUE
Chironomidae,401,0.0184,FALSE
Chironomidae,89,0.0125,TRUE
Chironomidae,277,0.0248,FALSE
Chironomidae,29,0.0015,TRUE
Chironomidae,6,0.0018,TRUE
Chironomidae,36,0.0015,TRUE
Chironomidae,5,0.0023,TRUE
Chironomidae,9,0.0014,TRUE
Chironomidae,18,0.0048,TRUE
Chironomidae,10,0.0026,TRUE
Chironomidae,18,0.0049,TRUE
Chironomidae,171,0.023,TRUE
Chironomidae,44,0.01,TRUE
Chironomidae,473,0.0352,FALSE
Chironomidae,283,0.0393,FALSE
Chironomidae,99,0.0043,TRUE
Chironomidae,148,0.0258,TRUE
Chironomidae,28,0.0025,TRUE
Chironomidae,90,0.0168,TRUE
Chironomidae,5,0.0018,TRUE
Chironomidae,7,0.0778,FALSE
Chironomidae,37,0.0035,TRUE
Chironomidae,42,0.0032,TRUE
Chironomidae,201,0.0691,FALSE
Chironomidae,250,0.0444,FALSE
Chironomidae,108,0.0128,TRUE
Chironomidae,185,0.0211,TRUE
Chironomidae,6,0.0011,TRUE
Chironomidae,6,0.0286,FALSE
Chironomidae,3,0.0012,TRUE
Chironomidae,80,0.0115,TRUE
Chironomidae,70,0.0078,TRUE
Chironomidae,209,0.0341,TRUE
Chironomidae,46,0.0092,TRUE
Chironomidae,110,0.0048,TRUE
Chironomidae,114,0.0078,TRUE
Chironomidae,526,0.0515,FALSE
Chironomidae,66,0.0025,TRUE
Chironomidae,121,0.0021,TRUE
Chironomidae,169,0.0099,TRUE
Chironomidae,62,0.0048,TRUE
Chironomidae,47,0.0055,TRUE
Chironomidae,10,0.0036,TRUE
Chironomidae,14,0.0015,TRUE
Chironomidae,10,0.002,TRUE
Chironomidae,197,0.0511,FALSE
Chironomidae,35,0.0151,TRUE
Chironomidae,13,0.0045,TRUE
Chironomidae,11,0.001,FALSE
Chironomidae,7,0.0011,TRUE
Chironomidae,2,0.0046,TRUE
Chironomidae,5,0.0018,TRUE
Chironomidae,2,0.0013,TRUE
Chironomidae,76,0.004,TRUE
Chironomidae,64,0.0053,TRUE
Chironomidae,58,0.0046,TRUE
Chironomidae,44,0.0021,TRUE
Chironomidae,52,0.0043,TRUE
Chironomidae,23,0.0012,TRUE
Chironomidae,7,0.0015,TRUE
Chironomidae,10,0.0014,TRUE
Chironomidae,14,0.001,FALSE
Chironomidae,8,0.0025,TRUE
Chironomidae,7,0.0014,TRUE
Chironomidae,6,0.0016,TRUE
Chironomidae,20,0.0033,TRUE
Chironomidae,9,0.0016,TRUE
Chironomidae,31,0.008,TRUE
Chironomidae,352,0.0446,FALSE
Chironomidae,221,0.0258,TRUE
Amphipoda,91,0.0053,TRUE
Amphipoda,61,0.0025,TRUE
Amphipoda,72,0.0039,TRUE
Amphipoda,56,0.0026,TRUE
Amphipoda,692,0.0297,TRUE
Amphipoda,630,0.0192,TRUE
Amphipoda,603,0.0232,TRUE
Amphipoda,433,0.0142,TRUE
Amphipoda,722,0.0243,TRUE
Amphipoda,573,0.0157,TRUE
Amphipoda,147,0.0098,TRUE
Amphipoda,356,0.0146,TRUE
Amphipoda,224,0.0075,TRUE
Amphipoda,346,0.0183,TRUE
Amphipoda,205,0.0097,TRUE
Amphipoda,101,0.0024,TRUE
Amphipoda,345,0.0193,TRUE
Amphipoda,409,0.0127,TRUE
Amphipoda,580,0.0291,TRUE
Amphipoda,313,0.0178,TRUE
Amphipoda,106,0.0038,TRUE
Amphipoda,248,0.0135,TRUE
Amphipoda,118,0.0066,TRUE
Amphipoda,412,0.0186,TRUE
Amphipoda,245,0.0109,TRUE
Amphipoda,2617,0.1036,FALSE
Amphipoda,1481,0.0633,TRUE
Amphipoda,2189,0.09,FALSE
Amphipoda,1092,0.0402,TRUE
Amphipoda,722,0.0323,TRUE
Amphipoda,2961,0.0965,FALSE
Amphipoda,1067,0.0328,TRUE
Amphipoda,410,0.018,TRUE
Amphipoda,286,0.0083,TRUE
Amphipoda,805,0.0362,TRUE
Amphipoda,1163,0.053900000000000003,TRUE
Amphipoda,652,0.0309,TRUE
Amphipoda,2439,0.0807,FALSE
Amphipoda,3962,0.1139,FALSE
Amphipoda,3384,0.1166,FALSE
Amphipoda,3465,0.1094,FALSE
Amphipoda,25,0.0012,FALSE
Amphipoda,515,0.0272,TRUE
