taxa_clean,individual_count,wm_g,keep_data
Simplisetia,607,0.2702,FALSE
Simplisetia,406,0.2371,FALSE
Simplisetia,320,0.1273,FALSE
Simplisetia,174,0.0678,TRUE
Simplisetia,339,0.2576,FALSE
Simplisetia,10,0.0119,TRUE
Simplisetia,10,0.0276,TRUE
Simplisetia,10,0.0163,TRUE
Simplisetia,3,0.0311,TRUE
Simplisetia,476,1.1005,FALSE
Simplisetia,525,0.8089,FALSE
Simplisetia,707,1.6536,FALSE
Simplisetia,488,0.956,FALSE
Simplisetia,504,1.3716,FALSE
Simplisetia,723,0.9201,FALSE
Simplisetia,738,1.443,FALSE
Simplisetia,595,1.3104,FALSE
Simplisetia,347,0.614,TRUE
Simplisetia,391,0.5418,FALSE
Simplisetia,252,1.6333,FALSE
Simplisetia,594,0.6025,FALSE
Simplisetia,527,0.2993,FALSE
Simplisetia,283,0.2254,TRUE
Simplisetia,682,0.5407,FALSE
Simplisetia,329,2.8844,FALSE
Simplisetia,241,1.9939,FALSE
Simplisetia,289,2.4232,FALSE
Simplisetia,162,1.5933,FALSE
Simplisetia,88,1.2772,FALSE
Simplisetia,585,2.4156,FALSE
Simplisetia,637,1.9861,FALSE
Simplisetia,308,0.3294,TRUE
Simplisetia,543,1.1412,FALSE
Simplisetia,255,0.5744,TRUE
Simplisetia,703,1.1355,FALSE
Simplisetia,519,1.0154,FALSE
Simplisetia,49,0.482,TRUE
Simplisetia,42,0.2999,TRUE
Simplisetia,40,0.2691,TRUE
Simplisetia,55,0.335,TRUE
Simplisetia,2,0.0279,TRUE
Simplisetia,2,0.002,FALSE
Simplisetia,4,0.0134,TRUE
Simplisetia,5,0.1025,TRUE
Simplisetia,3,0.0182,TRUE
Simplisetia,4,0.1237,TRUE
Simplisetia,8,0.0728,TRUE
Simplisetia,72,0.0275,TRUE
Simplisetia,67,0.0394,TRUE
Simplisetia,39,0.0138,TRUE
Simplisetia,30,0.0788,TRUE
Simplisetia,122,0.0768,TRUE
Simplisetia,2,0.0076,TRUE
Simplisetia,1,0.0026,TRUE
Simplisetia,342,1.2169,TRUE
Simplisetia,189,1.0665,TRUE
Simplisetia,341,1.3585,TRUE
Simplisetia,278,1.4694,FALSE
Simplisetia,332,1.0434,TRUE
Simplisetia,108,0.3943,TRUE
