taxa_clean,wm_g,dm_g,keep_data
Capitella,0.076842684,0.035308526,TRUE
Capitella,0.09153825,0.038808774,TRUE
Capitella,0.117961925,0.046070587,TRUE
Capitella,0.138986007,0.047720481,FALSE
Capitella,0.089322022,0.045188075,TRUE
Capitella,0.125572953,0.042201702,TRUE
Capitella,0.113080883,0.047143781,TRUE
Capitella,0.114823652,0.046530933,TRUE
Capitella,0.091630074,0.039590618,TRUE
Capitella,0.083484438,0.037917324,TRUE
Capitella,0.129858516,0.04145689,TRUE
Capitella,0.126299407,0.053350699,FALSE
Capitella,0.092069567,0.040092243,TRUE
Capitella,0.080275577,0.035160987,TRUE
Capitella,0.123644621,0.04469625,TRUE
Capitella,0.107041132,0.032730873,TRUE
Capitella,0.157520257,0.053008819,FALSE
Capitella,0.087372603,0.046066188,TRUE
Capitella,0.086880404,0.037425188,TRUE
Capitella,0.12719979,0.051142448,TRUE
Capitella,0.108364106,0.030250289,TRUE
Capitella,0.123709585,0.036819455,TRUE
Capitella,0.103113888,0.057686947,FALSE
Capitella,0.106240723,0.04291783,TRUE
Capitella,0.10698531,0.04947753,TRUE
Capitella,0.066676805,0.030049951,TRUE
Capitella,0.115158173,0.034834533,TRUE
Capitella,0.073685785,0.040160533,TRUE
Capitella,0.100790015,0.046014519,TRUE
Capitella,0.08032681,0.031803259,TRUE
Capitella,0.050453393,0.034505517,FALSE
Capitella,0.106938352,0.041994033,TRUE
Capitella,0.07795775,0.036133788,TRUE
Capitella,0.087231526,0.041651028,TRUE
Capitella,0.06117197,0.039801049,FALSE
Capitella,0.105102131,0.042160386,TRUE
Capitella,0.09401725,0.045968024,TRUE
Capitella,0.101794969,0.035425951,TRUE
Capitella,0.103982402,0.038370533,TRUE
Capitella,0.104130106,0.036379838,TRUE
Capitella,0.097682496,0.041157979,TRUE
Capitella,0.12019898,0.043400244,TRUE
Capitella,0.078049162,0.030622019,TRUE
Capitella,0.101931638,0.044565229,TRUE
Capitella,0.106448706,0.041843137,TRUE
Capitella,0.090956476,0.04461149,TRUE
Capitella,0.117247585,0.037398257,TRUE
Capitella,0.103393937,0.049800582,TRUE
Capitella,0.108834292,0.042539129,TRUE
Capitella,0.100467322,0.0288233,TRUE
