taxa_clean,wm_shell_on_g,dm_g,keep_data
Hiatula alba,0.0618,0.0045,TRUE
Hiatula alba,6.3148,0.4797,FALSE
Hiatula alba,1.0791,0.1273,TRUE
Hiatula alba,6.018,0.3562,FALSE
Hiatula alba,0.8361,0.1202,TRUE
Hiatula alba,0.0713,0.0057,TRUE
Hiatula alba,0.0414,0.0022,TRUE
Hiatula alba,0.1288,0.0052,TRUE
Hiatula alba,0.0267,0.0011,FALSE
Hiatula alba,0.0449,0.0058,TRUE
Hiatula alba,0.0243,0.003,FALSE
Hiatula alba,0.7429,0.0417,TRUE
Hiatula alba,0.2036,0.0118,TRUE
Hiatula alba,2.8865,0.238,TRUE
Hiatula alba,1.741,0.1051,TRUE
Hiatula alba,0.5431,0.0359,TRUE
Hiatula alba,0.2485,0.0186,TRUE
Hiatula alba,3.4604,0.332,TRUE
Hiatula alba,2.8173,0.3561,FALSE
Hiatula alba,0.3818,0.0276,TRUE
Hiatula alba,1.5053,0.1272,TRUE
Hiatula alba,2.718,0.4554,FALSE
Hiatula alba,4.0476,0.2605,FALSE
Hiatula alba,2.4988,0.2029,TRUE
Hiatula alba,3.4528,0.2915,TRUE
Hiatula alba,2.0105,0.2097,TRUE
Hiatula alba,0.7051,0.0453,TRUE
Hiatula alba,0.3474,0.0382,TRUE
Hiatula alba,0.3892,0.0389,TRUE
Hiatula alba,0.1167,0.0095,TRUE
Hiatula alba,0.5747,0.0593,TRUE
Hiatula alba,0.1269,0.0116,TRUE
Hiatula alba,0.53,0.0281,TRUE
Hiatula alba,2.2974,0.3296,TRUE
Hiatula alba,3.2091,0.2396,TRUE
Hiatula alba,1.4891,0.1449,TRUE
Hiatula alba,0.0365,0.0015,TRUE
Hiatula alba,2.6939,0.2631,TRUE
Spisula,1.7199,0.0626,TRUE
Spisula,2.8345,0.0613,TRUE
Spisula,0.5022,0.0289,TRUE
Spisula,3.7114,0.1101,TRUE
Spisula,3.2829,0.1869,TRUE
Spisula,3.6603,0.1699,TRUE
Spisula,0.0771,0.0022,FALSE
Spisula,1.6108,0.1081,TRUE
Spisula,2.6708,0.1258,TRUE
Spisula,0.3935,0.0075,TRUE
Spisula,3.3408,0.278,FALSE
Spisula,4.3511,0.3496,FALSE
Spisula,2.3988,0.0835,TRUE
Spisula,4.1458,0.0975,TRUE
Spisula,2.8417,0.0714,TRUE
Spisula,0.2644,0.0041,TRUE
Spisula,0.5554,0.007,TRUE
Spisula,2.2053,0.0414,TRUE
Spisula,0.2866,0.0068,TRUE
Spisula,41.8125,0.7866,FALSE
Spisula,15.7663,0.4079,TRUE
Spisula,8.373,0.1732,TRUE
Spisula,3.7616,0.1171,TRUE
Spisula,19.9184,0.5099,FALSE
Spisula,1.7173,0.0247,TRUE
Spisula,0.2106,0.0043,TRUE
