taxa_clean,wm_shell_on_g,wm_g,keep_data
Hiatula alba,0.0618,0.0482,TRUE
Hiatula alba,6.3148,3.9624,FALSE
Hiatula alba,1.0791,0.7017,TRUE
Hiatula alba,6.018,3.0916,FALSE
Hiatula alba,0.8361,0.5483,TRUE
Hiatula alba,0.0713,0.0453,TRUE
Hiatula alba,0.0414,0.0216,TRUE
Hiatula alba,0.1288,0.0715,TRUE
Hiatula alba,0.0155,0.0088,FALSE
Hiatula alba,0.0267,0.0161,TRUE
Hiatula alba,0.0449,0.0172,TRUE
Hiatula alba,0.0243,0.0157,TRUE
Hiatula alba,0.7429,0.2349,TRUE
Hiatula alba,0.2036,0.1226,TRUE
Hiatula alba,2.8865,1.6241,TRUE
Hiatula alba,1.741,1.0929,TRUE
Hiatula alba,0.5431,0.3294,TRUE
Hiatula alba,0.2485,0.1595,TRUE
Hiatula alba,3.4604,2.2,TRUE
Hiatula alba,2.8173,2.0391,FALSE
Hiatula alba,0.3818,0.1805,TRUE
Hiatula alba,1.5053,1.0084,TRUE
Hiatula alba,2.718,1.6575,TRUE
Hiatula alba,4.0476,1.6231,FALSE
Hiatula alba,2.4988,1.5227,TRUE
Hiatula alba,3.4528,2.1026,TRUE
Hiatula alba,2.0105,1.2017,TRUE
Hiatula alba,0.7051,0.4661,TRUE
Hiatula alba,0.3474,0.2153,TRUE
Hiatula alba,0.3892,0.246,TRUE
Hiatula alba,0.1167,0.0721,TRUE
Hiatula alba,0.5747,0.3382,TRUE
Hiatula alba,0.1269,0.0761,TRUE
Hiatula alba,0.53,0.3,TRUE
Hiatula alba,2.2974,1.5665,TRUE
Hiatula alba,3.2091,1.9817,TRUE
Hiatula alba,1.4891,1.0287,TRUE
Hiatula alba,0.0365,0.0213,TRUE
Hiatula alba,2.6939,1.9317,TRUE
Spisula,1.7199,0.4231,TRUE
Spisula,2.8345,0.6251,TRUE
Spisula,0.5022,0.1697,TRUE
Spisula,3.7114,0.6106,TRUE
Spisula,3.2829,0.7517,TRUE
Spisula,3.6603,0.6516,TRUE
Spisula,0.0771,0.0114,FALSE
Spisula,1.6108,0.8555,FALSE
Spisula,2.6708,0.5502,TRUE
Spisula,0.3935,0.106,TRUE
Spisula,3.3408,0.7727,TRUE
Spisula,4.3511,1.1696,TRUE
Spisula,2.3988,0.5133,TRUE
Spisula,4.1458,0.8432,TRUE
Spisula,2.8417,0.6821,TRUE
Spisula,0.2644,0.0727,TRUE
Spisula,0.5554,0.1001,TRUE
Spisula,2.2053,0.3419,TRUE
Spisula,0.2866,0.0351,TRUE
Spisula,41.8125,6.2562,FALSE
Spisula,15.7663,2.9886,FALSE
Spisula,8.373,1.3162,TRUE
Spisula,3.7616,0.599,TRUE
Spisula,0.4213,0.094,TRUE
Spisula,1.7173,0.3423,TRUE
Spisula,0.2106,0.0509,TRUE
