Source,Year,Month,Region,Site,Zone,Replicate,Preservation Method,Taxa,raw individual count,WM shell on (g),WM (g),DM (g),AFDM (g),DM/WM,AFDM/DM,AFDM/WM,mesh size (um)
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Simplisetia,607,,0.2702,0.0206,,0.076239822,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Capitella,3,,0.0002,0.0001,,0.5,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Chironomidae,221,,0.0854,0.0307,,0.359484778,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Amphipoda,91,,0.0302,0.0053,,0.175496689,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Arthritica,1214,,1.1183,0.5609,,0.501564875,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Hydrobiidae,160,,0.8027,0.4704,,0.586022175,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Salinator,23,,0.0222,0.0084,,0.378378378,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Phyllodoce,3,,0.23,0.0122,,0.053043478,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Nephtys,1,,0.1104,0.0061,,0.055253623,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep1,Frozen,Boccardiella,4,,0.0015,0.0007,,0.466666667,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep2,Frozen,Simplisetia,406,,0.2371,0.0233,,0.098270772,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep3,Frozen,Simplisetia,320,,0.1273,0.0074,,0.058130401,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep4,Frozen,Simplisetia,174,,0.0678,0.0015,,0.022123894,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,P,rep5,Frozen,Simplisetia,339,,0.2576,0.0157,,0.060947205,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,S,rep1,Frozen,Simplisetia,4,,0.0003,0,,0,#DIV/0!,0,500
Flinders-HCHB,2020,Feb,MM,B19,S,rep2,Frozen,Simplisetia,10,,0.0119,0.0027,,0.226890756,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,S,rep3,Frozen,Simplisetia,10,,0.0276,0.0026,,0.094202899,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,S,rep4,Frozen,Simplisetia,10,,0.0163,0.0018,,0.110429448,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,S,rep5,Frozen,Simplisetia,3,,0.0005,0.0002,,0.4,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,S,J1,Frozen,Simplisetia,3,,0.0311,0.0052,,0.167202572,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,I,rep1,Frozen,Simplisetia,476,,1.1005,0.0699,,0.063516583,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,I,rep2,Frozen,Simplisetia,525,,0.8089,0.066,,0.081592286,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,I,rep3,Frozen,Simplisetia,707,,1.6536,0.1066,,0.064465409,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,I,rep4,Frozen,Simplisetia,488,,0.956,0.0558,,0.058368201,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,I,rep5,Frozen,Simplisetia,504,,1.3716,0.0901,,0.065689705,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,I,J1,Frozen,Simplisetia,723,,0.9201,0.0804,,0.087381806,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,I,J4,Frozen,Simplisetia,738,,1.443,0.124,,0.085932086,0,0,500
Flinders-HCHB,2020,Feb,MM,B19,I,J5,Frozen,Simplisetia,595,,1.3104,0.124,,0.094627595,0,0,500
Flinders-HCHB,2020,Feb,MM,PP,I,rep1,Frozen,Simplisetia,347,,0.614,0.0437,,0.071172638,0,0,500
Flinders-HCHB,2020,Feb,MM,PP,I,rep2,Frozen,Simplisetia,391,,0.5418,0.0688,,0.126984127,0,0,500
