taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_afdm_count,sd_afdm_count,lower_ci_mean_afdm_count,upper_ci_mean_afdm_count,geom_mean,min_afdm_count,median_afdm_count,max_afdm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,32,0.5414128704485807,9.651701706902405e-7,0.5702324268923797,0.09299597631018976,0.3803093059272368,0.7601555478575227,-8.029384540515927,0.3721497035415526,-8.789415629679512,-7.269353451352344,3.2574863232305616e-4,1.52336962879509e-4,6.965622095556086e-4,1.186161354572428,9.862962279206459e-5,1.7067544728940006e-4,6.996675332897388e-5,1.272924922551553e-4,6.285281670558379e-5,2.2222222222222223e-5,5.8472044387537345e-5,0.001,1,563,-0.5982826140477406,41.01331971480902,64.89120097389264,109.49795790139265,96.68500689488222,114.37132995736005
Amphipoda_outliers_removed,26,0.4422832899407474,1.2600931981593722e-4,0.7457040978443337,0.16340581583088157,0.4084510695893232,1.0829571260993442,-8.83099625290232,0.6137742589709124,-10.097764063156694,-7.564228442647947,1.461325819317316e-4,4.117150927975502e-5,5.186774027867584e-4,1.136360726217842,6.602471402335423e-5,3.797686523108457e-5,5.894923179125944e-5,7.310019625544901e-5,5.7017297432210087e-05,2.2222222222222223e-5,5.8472044387537345e-5,1.6666666666666666e-4,6,123,0.7719309592853787,29.3400444126995,53.08116268644498,10.83348660720396,32.887434032389486,55.97284290920111
Arthritica,43,0.8534904880065011,6.463277837436698e-19,0.860675244724082,0.05491140243263184,0.7497794177669878,0.9715710716811762,-8.576784298908617,0.2475032592445964,-9.076627271270853,-8.07694132654638,1.8842993855699267e-4,1.1430648281036803e-4,3.106196680331373e-4,1.1464239691952756,1.243292363067081e-4,8.912656198025403e-5,1.1141714669009153e-4,1.3724132592332467e-4,1.0417244897071522e-4,2.857142857142857e-5,9.722222222222223e-5,5e-4,2,535,-3.7848904493723063,31.70967021064797,52.6670641879462,17.50878343308151,37.752123249812186,59.852661085465066
Arthritica_outliers_removed,35,0.8802129784425394,5.552043690180756e-17,0.8998494559231373,0.05681643483133491,0.784255550112253,1.0154433617340215,-8.880064173042792,0.24951804953357717,-9.387712461808576,-8.372415884277007,1.3913523654377215e-4,8.374681131718547e-5,2.3115643143440973e-4,1.087545901832874,1.0104015170569261e-4,4.9705214463208707e-5,9.30585227433955e-5,1.0902178066798972e-4,9.139513806422164e-5,2.857142857142857e-5,9.09090909090909e-5,2.7272727272727274e-4,5,372,-0.7450230309692413,19.783087848239404,40.15726437116621,11.711228952161171,21.80804167224224,41.030310921254525
Capitella,77,0.8394387629664575,9.889626754312154e-32,0.8034153576162272,0.040254400168256536,0.7232244803329752,0.8836062348994792,-9.03525272250852,0.19012285429040063,-9.413996870065482,-8.656508574951559,1.191350633285065e-4,8.157425321850644e-5,1.739907232281877e-4,1.0701364313223123,5.317289412933817e-5,2.6193698897162526e-5,5.033709755470389e-5,5.600869070397245e-5,0,1.785714285714286e-5,4.545454545454546e-5,1.6666666666666666e-4,6,837,1.2994867200796305,15.110963054006968,34.24177044033824,27.7822731996298,20.405524824120622,41.37597912517244
Capitella_outliers_removed,62,0.7281052287930071,7.812297983393983e-19,0.8373278014315746,0.06531435973750474,0.7066796299023881,0.9679759729607611,-9.203200983086132,0.2838762801077365,-9.771038087907147,-8.635363878265117,1.0071649350854664e-4,5.7081066118716037e-5,1.777088753661367e-4,1.0732269919398152,5.4428265903824703e-5,2.315982286350571e-5,5.163403048110592e-5,5.7222501326543486e-5,5.020416444822647e-5,1.785714285714286e-5,5.1447477253928865e-5,1.6e-4,18,459,0.9379570794758217,15.818788450739108,35.3954539516835,12.436377484545257,17.60790423638405,37.895428657549026
Chironomidae,41,0.6502248383388431,1.1976759890527534e-10,0.7227698583263231,0.0832591468400835,0.5543623380028789,0.8911773786497673,-8.635125513302098,0.29548222157208826,-9.23279471990825,-8.037456306695946,1.7775123998456133e-4,9.777958745781243e-5,3.2312984885195164e-4,1.1068093786423499,7.878307230633557e-5,5.33648150920428e-5,7.08655975771921e-5,8.670054703547904e-5,6.832590288292554e-5,3.4482758620689657e-5,6.25e-5,3.333333333333333e-4,3,183,-3.0726297069840505,20.770981572096463,41.26265179238763,18.108955899248073,28.077851102609852,48.654990323360074
Chironomidae_outliers_removed,36,0.5911609266715789,2.616072491310419e-8,0.7172550462168318,0.09984217225417241,0.514351339854936,0.9201587525787276,-8.697112828612317,0.3418556208292783,-9.391847037022018,-8.002378620202617,1.6706746775294542e-4,8.340126865521721e-5,3.3466563796251603e-4,1.0743019703608547,7.052683748377735e-5,3.1797968353837634e-5,6.549215916108639e-5,7.556151580646831e-5,6.453716699024243e-5,3.4482758620689657e-5,5.9411764705882355e-5,1.4285714285714287e-4,7,101,-0.38832647527871555,14.71346996959235,33.47576146261661,10.81529339638516,18.36101198087634,39.79085068931891
Hydrobiidae,16,0.553830536833185,5.715770272168162e-4,0.57285469145081,0.1293303236192114,0.2954687350082239,0.8502406478933962,-7.580705217350189,0.33799131165892277,-8.305624483228124,-6.855785951472254,5.102012933108711e-4,2.4712297191408384e-4,0.0010533434333518169,1.180695267018368,2.728376253351489e-4,3.0093716927628476e-4,2.0136504763203127e-4,3.4431020303826655e-4,1.8876752989499353e-4,7.692307692307693e-5,1.4285714285714287e-4,0.001,1,49,-10.962930171708441,37.50347850789579,66.24516127983976,52.24339493701308,79.66547098892704,103.5235897221696
Hydrobiidae_outliers_removed,12,0.20858657311336415,0.07655250739637322,0.19645156360906216,0.09948753811275937,-0.02522048534844218,0.4181236125665665,-7.066564861779839,0.21034669554833343,-7.535246506518009,-6.5978832170416695,8.531587996146326e-4,5.339296301046003e-4,0.0013632506913266536,1.05378122326123,2.999317811817812e-4,3.453122024546328e-4,2.0523288698699992e-4,3.9463067537656244e-4,1.9101670164288042e-4,7.692307692307693e-5,1.4285714285714287e-4,0.001,1,21,-1.0053151516099277,10.347484756115621,29.5055097004887,106.20309956247456,104.95338380755048,134.95793172876506
