taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_count,sd_dm_count,lower_ci_mean_dm_count,upper_ci_mean_dm_count,geom_mean,min_dm_count,median_dm_count,max_dm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,37,0.6356799407696259,2.125098531681587e-9,0.5678356988907254,0.0710827110226203,0.4235301236821759,0.7121412740992749,-7.373303305569187,0.2692804747466292,-7.919971732275335,-6.826634878863039,6.277909647594034e-4,3.634125991971481e-4,0.0010845014628117918,1.2065562946773531,2.3974470219395545e-4,3.7129511544751895e-4,1.817561882715075e-4,2.977332161164034e-4,1.395558039027793e-4,3.2258064516129034e-5,1.0606060606060606e-4,0.002,1,563,-2.2596083871514843,48.17346521015433,73.7105347365446,152.49707997022966,132.82184447939716,153.18191628990297
Amphipoda_outliers_removed,33,0.5317893941252247,8.948890461307443e-7,0.5061056714161005,0.08281769848860182,0.3371978617489936,0.6750134810832075,-7.243319688854793,0.2882775983974382,-7.831265727081232,-6.655373650628355,7.14934456391418e-4,3.971225133275368e-4,0.0012870871325145043,1.1868018513115262,2.494183825958902e-4,3.877567744998557e-4,1.8529358172930706e-4,3.135431834624733e-4,1.4572615713645765e-4,3.2258064516129034e-5,1.2195121951219512e-4,0.002,1,123,-2.0590024554275907,44.155329251873816,70.75584066184908,97.9395885135989,130.4825563891075,149.47658711494807
Arthritica,49,0.9410273107799394,9.362304093743053e-31,0.8938201343017881,0.03227531921444386,0.8288905670445306,0.9587497015590456,-6.390056988143759,0.13754854558265864,-6.666768969896999,-6.113345006390519,0.001678160563408719,0.001272503613450335,0.002213135465245722,1.071552864781647,0.0012155358901386496,6.558347785831476e-4,0.0011265297416166511,0.0013045420386606481,0.0011061513646101859,4.7058823529411766e-4,0.001006896551724138,0.004666666666666667,2,535,-3.788768945259514,14.650533624491901,31.056914874142496,15.22663859390391,18.487357356998366,37.207592007096935
Arthritica_outliers_removed,43,0.9270494396172722,3.8522703971333304e-25,0.875669854178251,0.037867981480061756,0.7991939141113511,0.952145794245151,-6.336384118676441,0.15381917869860068,-6.6470282520979085,-6.025739985254973,0.0017706932920268008,0.0012978733325467522,0.0024157632765875224,1.0722774284852978,0.0012266114244851348,6.870864496999711e-4,0.0011270707082746917,0.001326152140695578,0.0011095142745837707,4.7058823529411766e-4,0.001006896551724138,0.004666666666666667,3,361,-1.5705098848896568,15.1122534988949,31.688090940983944,19.856348383016574,19.6956012071019,38.37391313894036
Capitella,79,0.7359651912326424,3.460576402626029e-24,0.7498687380137872,0.050739177953288195,0.6488341268959086,0.8509033491316658,-8.080081677876118,0.23731822861404422,-8.55264264370962,-7.607520712042617,3.0964574317908034e-4,1.9303430404076397e-4,4.9670179994887e-4,1.1246744280783305,1.187615313079669e-4,8.033686506965721e-5,1.101748579935881e-4,1.273482046223457e-4,9.953483799260647e-5,2.380952380952381e-5,1e-4,5e-4,4,837,-0.35975101675707916,29.339819278882814,51.2525523723039,37.7613752804883,39.842772541502804,62.91163646641756
Capitella_outliers_removed,62,0.5545272108511918,2.4000698242297254e-12,0.6610032767559971,0.07536102659177493,0.5102587793997111,0.8117477741122832,-7.737581294335528,0.3323646027071614,-8.402409485245297,-7.072753103425758,4.361251588026524e-4,2.243261619021656e-4,8.478955487304789e-4,1.099382507557103,1.1470168601950439e-4,6.035340129759924e-5,1.0742004087130025e-4,1.2198333116770852e-4,1.0017718358135829e-4,2.380952380952381e-5,1.0536540240518039e-4,3.1034482758620686e-4,18,459,-0.7220496287355495,23.776182208853466,45.533795619465934,25.645355079070214,32.46973721712395,56.36910121031879
Chironomidae,65,0.40138689747172884,8.898274359491003e-9,0.3911574436362403,0.05902705312012796,0.2732012902807631,0.5091135969917174,-6.890714525182069,0.18091135704190842,-7.25223702456136,-6.529192025802779,0.0010171867757070322,7.085874869229196e-4,0.0014601851652311492,1.181068793418223,3.377529987633363e-4,5.239542086540741e-4,2.760139036163948e-4,3.9949209391027776e-4,1.8590261187038758e-4,3.4482758620689657e-5,1.5789473684210527e-4,0.003,1,183,-2.9149101819906544,41.23724884137701,65.77161354979256,152.9366673574686,160.31575281487457,181.49434379559904
Chironomidae_outliers_removed,59,0.269196855595199,1.5242554941698372e-5,0.30676034232855265,0.06486602833821989,0.17686836109987572,0.4366523235572296,-6.727343988675728,0.1849698817148267,-7.097739787818812,-6.356948189532645,0.001197709868292285,8.269719446015953e-4,0.0017346524727580891,1.164276814795343,3.5929799228163193e-4,5.449981891634222e-4,2.918929075846103e-4,4.2670307697865355e-4,1.9696786241503607e-4,3.4482758620689657e-5,1.6666666666666666e-4,0.003,1,74,-0.6547996897825283,37.409324293103346,62.40603362192531,140.08476099639302,165.61339367010888,187.83927643937423
Hydrobiidae,33,0.583183139486996,1.4189615814772062e-7,0.7568035848668245,0.11186177033050879,0.528660000140045,0.9849471695936041,-6.126311930056217,0.2382251388883679,-6.612175304088695,-5.640448556023739,0.002184623164525885,0.0013439055641910076,0.003551275103065776,1.309479934021608,0.0020183185784402222,0.002041010726703863,0.0016807889335094305,0.0023558482233710138,0.001420394799026301,4e-4,0.0012222222222222222,0.009,1,49,-4.956036313585611,68.89249395853588,97.02906716049533,33.70449788584144,84.88556118518504,108.65494915485624
Hydrobiidae_outliers_removed,28,0.33035823818874566,8.187062125124165e-4,0.5111213992989309,0.13506771570165882,0.23348573346392498,0.7887570651339367,-5.887747752754401,0.23817830094320183,-6.377330261989094,-5.398165243519708,0.0027732156357381903,0.0016996545371885789,0.004524875375571383,1.2460472130211842,0.0020268659415980843,0.0021967076402504026,0.001632484154936856,0.0024212477282593127,0.0013582336228362434,4e-4,0.0011130952380952381,0.009,1,21,4.1657134033394145,57.18572550486338,83.83682009367556,68.75263948146947,97.36570699778507,122.42589419280714
