taxa_clean,n,mean_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,sd_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count,min_count,max_count
Amphipoda,54,8.36914326010455e-4,6.506593995384083e-4,0.0010231692524825015,6.82383810813209e-4,6.139190599141112e-4,6.451612903225807e-5,5.650406504065041e-4,0.003,1,563
Arthritica,51,0.0018928268172359569,0.0016186632338719925,0.002166990400599921,9.74788143655277e-4,0.0016941607630045791,3.333333333333333e-4,0.0015967741935483872,0.006333333333333333,2,535
Capitella,79,4.0031084501137735e-4,3.635270873648828e-4,4.3709460265787197e-4,1.6422215170782046e-4,3.7066707340275315e-4,1.3095238095238096e-4,3.828125e-4,0.00108,4,837
Ceratopogonidae,10,0.0018277777777777778,8.585550726581753e-4,0.00279700048289738,0.0013548799166263282,0.0014614425516219249,5e-4,0.0015555555555555557,0.005,1,9
Chironomidae,93,8.195975725390956e-4,6.589696532551111e-4,9.802254918230802e-4,7.799457369091924e-4,6.059416418791618e-4,1.25e-4,6.315789473684211e-4,0.005,1,183
Hydrobiidae,35,0.00341893085537396,0.0022517112827728884,0.004586150427975032,0.003397900244898042,0.002475709204137815,8.333333333333333e-4,0.002111111111111111,0.014,1,49
Salinator,20,0.025794911297852476,0.006187814102766426,0.045402008492938524,0.041894217199574486,0.00796899379958559,5.714285714285715e-4,0.010333333333333333,0.1455,1,17
Salinator (shell removed),15,0.07162537878787878,0.056929449561295836,0.08632130801446171,0.02653741254187597,0.06693455905327098,0.0365,0.07033333333333333,0.1095,2,16
Simplisetia,60,0.004110178504495318,0.0031873319610899197,0.005033025047900715,0.0035723913536761043,0.0030518040450760193,2.5e-4,0.0032626666666666668,0.017,1,231
Spisula,24,0.05081083514915037,0.030069684958653045,0.0715519853396477,0.04911903679880301,0.027086804492446027,5e-4,0.023996047430830038,0.138,1,23
