taxa_clean,n,mean_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,sd_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count,min_count,max_count
Amphipoda,48,8.151678920588741e-4,6.147395562791544e-4,0.001015596227838594,6.902521641885714e-4,5.917865460585539e-4,6.451612903225807e-5,5.650406504065041e-4,0.003,1,123
Arthritica,41,0.0019856482391477875,0.001667526038331287,0.002303770439964288,0.001007867387967616,0.0018033516428723625,7.058823529411765e-4,0.0016037037037037038,0.006333333333333333,3,304
Capitella,63,3.9412843969640216e-4,3.5423668450429164e-4,4.340201948885127e-4,1.583969496826479e-4,3.6496240780627647e-4,1.3095238095238096e-4,3.828125e-4,0.00108,18,459
Ceratopogonidae,7,0.0016666666666666668,9.115332752794421e-4,0.002421800058053891,8.164965809277261e-4,0.001485994289136949,6.666666666666666e-4,0.002,0.003,1,3
Chironomidae,84,8.506888108098781e-4,6.74951922461451e-4,0.0010264256991583053,8.097977659274211e-4,6.228395015519378e-4,1.25e-4,6.491228070175439e-4,0.005,1,56
Hydrobiidae,29,0.0033964263705643016,0.0020746202996278283,0.0047182324415007745,0.0034749652009245665,0.0024486252790468753,8.571428571428572e-4,0.002,0.014,1,21
Salinator,16,0.014407242063492063,0.0067248943530202115,0.022089589773963914,0.0144171326531762,0.007264911615364628,5.714285714285715e-4,0.010333333333333333,0.047,1,9
Salinator (shell removed),12,0.0719084595959596,0.054852704498768126,0.08896421469315106,0.026843828777616575,0.06707091677097851,0.0365,0.07041666666666666,0.1095,2,11
Simplisetia,51,0.0041563671513666165,0.0030941010318832353,0.005218633270849997,0.003776885339671275,0.0030102066156524753,2.5e-4,0.003192,0.017,1,154
Spisula,20,0.05799763986013986,0.03428478067868302,0.08171049904159669,0.05066694284658577,0.035376000629714445,0.006,0.03215909090909091,0.138,1,13
