taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Amphipoda,54,0.7737631840621769,1.25211824498922e-18,0.8163130206558379,0.060464679340737626,0.6949817650376673,0.9376442762740085,-6.901648712740722,0.19436057001368487,-7.291661729588651,-6.511635695892793,0.001006125249327519,6.81195149591994e-4,0.0014860470130192184,1.2676102715244004
Arthritica,51,0.9212678864223101,6.488047706609818e-29,0.9348647087362735,0.03861676756505442,0.8572614088995645,1.0124680085729825,-6.132098530670495,0.16153346785747177,-6.456712187644483,-5.807484873696508,0.002172018128108828,0.0015699489318351549,0.0030049784761589523,1.097698265646129
Capitella,79,0.8819098153980922,1.1167596193421027e-37,0.9448361324614343,0.03911393835393261,0.8669503307932156,1.022721934129653,-7.649911127861754,0.18294444133130966,-8.014200050774598,-7.285622204948911,4.760864379619301e-4,3.307327036146359e-4,6.853216931198225e-4,1.0766726682305394
Ceratopogonidae,10,0.10545318606438425,0.1890366215914765,0.40553399925029543,0.28248309007739575,-0.24587317459343017,1.056941173094021,-6.143480490849836,0.2632259346498228,-6.750480584645309,-5.536480397054363,0.0021474364634072453,0.0011703170492163755,0.003940371002420915,1.1450578284396995
Chironomidae,93,0.7308804007177956,6.812510025433426e-28,0.6807626448843141,0.04298173597137417,0.5953847064935236,0.7661405832751047,-6.695169287459882,0.1145398578258953,-6.922688644315596,-6.467649930604167,0.0012368724695388546,9.851775843957484e-4,0.0015528708023147618,1.1823169440242889
Hydrobiidae,35,0.6424220899493183,4.3880912145870955e-9,0.7760366585157356,0.09848992016671478,0.5756574092919903,0.9764159077394808,-5.627421416238332,0.20366698474696296,-6.041785012291409,-5.213057820185255,0.00359784071004737,0.0023773115935703535,0.005444998379633355,1.278099049737546
Salinator,20,0.09104343755194344,0.1056118243848208,0.7640474113060887,0.4484253203777248,-0.17805922767762217,1.7061540502897996,-4.624451148375053,0.5510256018498988,-5.782112980038589,-3.466789316711518,0.00980903726470608,0.0030821959044505924,0.031217098147933414,3.173074737748899
Salinator (shell removed),15,0.7470233992005926,1.981815128181985e-5,0.9025987352789144,0.1387119000091028,0.6029298942208479,1.202267576336981,-2.570783530676599,0.2153326158237982,-3.0359813646164766,-2.1055856967367217,0.07647560096345021,0.048027507244718375,0.12177433055020845,1.0680304761348542
Simplisetia,60,0.8118643989208123,6.389921205978023e-23,0.8899120214150049,0.05566261410657869,0.7784911935446371,1.0013328492853728,-5.473844552114363,0.18965980309562905,-5.8534898960104265,-5.094199208218299,0.004195072938883488,0.0028698661268069213,0.006132215296792671,1.282415675425323
Spisula,24,0.13804463508099696,0.04157932527384826,0.5368413874051612,0.24806184736585352,0.022392602978598464,1.0512901718317238,-3.1212897411128204,0.36924380411400587,-3.887054521955287,-2.355524960270354,0.044100253814598776,0.020505656133236357,0.09484370428702227,1.5397024577932221
