taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_wm_count,sd_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,54,0.7737631840621769,1.25211824498922e-18,0.8163130206558379,0.060464679340737626,0.6949817650376673,0.9376442762740085,-6.901648712740722,0.19436057001368487,-7.291661729588651,-6.511635695892793,0.001006125249327519,6.81195149591994e-4,0.0014860470130192184,1.2676102715244004,8.36914326010455e-4,6.82383810813209e-4,7.486966850122972e-4,9.251319670086128e-4,6.139190599141112e-4,6.451612903225807e-5,5.650406504065041e-4,0.003,1,563,-3.3017935968498344,85.20139342849842,111.16264054887549,57.57040815395352,104.86713729551475,131.51698498967656
Amphipoda_outliers_removed,48,0.7135491250805973,2.7134139528437224e-14,0.7490411362877661,0.06893233902271236,0.6102875344457265,0.8877947381298058,-6.830513024233685,0.19841055448901243,-7.229892756143782,-6.431133292323588,0.0010803037534091045,7.245985677277204e-4,0.001610624491419557,1.2399658639697118,8.151678920588741e-4,6.902521641885714e-4,7.205200397681631e-4,9.098157443495851e-4,5.917865460585539e-4,6.451612903225807e-5,5.650406504065041e-4,0.003,1,123,-5.3441488446389664,77.55752918314103,105.07335441763554,50.13890061441988,109.21224020721432,134.16796263838833
Arthritica,51,0.9212678864223101,6.488047706609818e-29,0.9348647087362735,0.03861676756505442,0.8572614088995645,1.0124680085729825,-6.132098530670495,0.16153346785747177,-6.456712187644483,-5.807484873696508,0.002172018128108828,0.0015699489318351549,0.0030049784761589523,1.097698265646129,0.0018928268172359569,9.74788143655277e-4,0.0017631540569837806,0.0020224995774881334,0.0016941607630045791,3.333333333333333e-4,0.0015967741935483872,0.006333333333333333,2,535,2.4076487291884474,25.74386179412872,43.919420428114435,15.534531432938287,26.665331446455284,46.281981478020704
Arthritica_outliers_removed,41,0.9250054735442326,9.288530130134786e-24,0.8545360961176239,0.038432918571409895,0.776798180692721,0.9322740115425269,-5.785508503237519,0.1521700334363837,-6.093301448170983,-5.477715558304055,0.003071747984868382,0.002257942117100872,0.004178865175985127,1.0623898733981192,0.0019856482391477875,0.001007867387967616,0.001836115919757229,0.002135180558538346,0.0018033516428723625,7.058823529411765e-4,0.0016037037037037038,0.006333333333333333,3,304,-3.210372561301704,14.152992631300751,31.069131860550186,21.437159655686074,19.813045571311072,39.05225252511008
Capitella,79,0.8819098153980922,1.1167596193421027e-37,0.9448361324614343,0.03911393835393261,0.8669503307932156,1.022721934129653,-7.649911127861754,0.18294444133130966,-8.014200050774598,-7.285622204948911,4.760864379619301e-4,3.307327036146359e-4,6.853216931198225e-4,1.0766726682305394,4.0031084501137735e-4,1.6422215170782046e-4,3.8275823119607923e-4,4.1786345882667547e-4,3.7066707340275315e-4,1.3095238095238096e-4,3.828125e-4,0.00108,4,837,0.12303744512710114,16.493702597262327,35.09789477332014,7.026796601197181,16.928384488782672,36.38470569504166
Capitella_outliers_removed,63,0.7621408027629408,6.693868822130459e-21,0.9215608198389393,0.06521991058024669,0.7911455484314172,1.0519760912464615,-7.581175657664024,0.28269525956706515,-8.146459766060593,-7.0158915492674545,5.099613305028422e-4,2.897593618821258e-4,8.975052847956704e-4,1.0764455331465406,3.9412843969640216e-4,1.583969496826479e-4,3.7517010681892965e-4,4.130867725738747e-4,3.6496240780627647e-4,1.3095238095238096e-4,3.828125e-4,0.00108,18,459,0.26358646248055034,16.816542920257408,36.39436330465085,5.8040092754260435,17.253100829239262,37.310217849844605
Ceratopogonidae,10,0.10545318606438425,0.1890366215914765,0.40553399925029543,0.28248309007739575,-0.24587317459343017,1.056941173094021,-6.143480490849836,0.2632259346498228,-6.750480584645309,-5.536480397054363,0.0021474364634072453,0.0011703170492163755,0.003940371002420915,1.1450578284396995,0.0018277777777777778,0.0013548799166263282,0.0014207496609847455,0.00223480589457081,0.0014614425516219249,5e-4,0.0015555555555555557,0.005,1,9,-2.1194652678014485,32.68941722263888,58.18719715151299,34.3954248366013,54.142592592592585,79.81296296296296
Ceratopogonidae_outliers_removed,7,-0.16103599524837198,0.6990346940194603,0.10122629599542918,0.2471151614709617,-0.5340034493921596,0.736456041383018,-6.051560805849778,0.1715831538180736,-6.49262934435571,-5.610492267343846,0.002354184712195282,0.0015145614644146575,0.0036592675763580888,1.0356756553500992,0.0016666666666666668,8.164965809277261e-4,0.0013734903017386922,0.0019598430315946416,0.001485994289136949,6.666666666666666e-4,0.002,0.003,1,3,-0.026484687208315462,6.903506670453916,24.763668693264204,20.37037037037037,26.984126984126984,53.96825396825397
Chironomidae,93,0.7308804007177956,6.812510025433426e-28,0.6807626448843141,0.04298173597137417,0.5953847064935236,0.7661405832751047,-6.695169287459882,0.1145398578258953,-6.922688644315596,-6.467649930604167,0.0012368724695388546,9.851775843957484e-4,0.0015528708023147618,1.1823169440242889,8.195975725390956e-4,7.799457369091924e-4,7.427647974389487e-4,8.964303476392425e-4,6.059416418791618e-4,1.25e-4,6.315789473684211e-4,0.005,1,183,-7.8469150723289305,42.273114191198545,67.12179884085928,65.78400187662844,76.61083296302813,99.77376896550923
Chironomidae_outliers_removed,84,0.6474779120514114,1.78962198791297e-20,0.6078207718881006,0.04906789335450055,0.5102091010783943,0.7054324426978068,-6.599575477694809,0.11686490189379395,-6.832056995710078,-6.36709395967954,0.0013609456667226611,0.0010786370822054915,0.0017171420659709256,1.1705137760162883,8.506888108098781e-4,8.097977659274211e-4,7.667504398105897e-4,9.346271818091664e-4,6.228395015519378e-4,1.25e-4,6.491228070175439e-4,0.005,1,56,-2.7235003406051237,39.49135385543037,65.92089279234446,70.6928608965987,81.42185009793755,104.560763201641
