taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_afdm_wm,lower_ci_mean_afdm_wm,upper_ci_mean_afdm_wm,sd_afdm_wm,geom_mean,min_afdm_wm,median_afdm_wm,max_afdm_wm,range_wm,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,32,0.822616709973158,5.223596616288799e-13,0.7229624009350254,0.060087927911499334,0.600246480805156,0.8456783210648948,-3.2355203702471407,0.22721344000012883,-3.699552120460858,-2.7714886200334234,0.03933972838869007,0.02473460211207241,0.06256879422129664,1.0667164666770008,0.1236331164810238,0.09158107249516008,0.15568516046688752,0.08890048827415727,0.1069839016166875,0.045454545454545456,0.10102040816326531,0.5,0.002-0.256,-1.3979650390249403,14.608583012648543,33.163321507717576,40.68907196636212,27.311293685260214,44.084893630985064
Amphipoda_outliers_removed,28,0.7634268809322786,7.770013478137019e-10,0.7800669463031671,0.08309424173835486,0.6092642862282713,0.9508696063780628,-3.065785868126786,0.31881612566183554,-3.7211217999387545,-2.4104499363148175,0.04661719249982818,0.02420679742478365,0.08977489249945501,1.0610617292934912,0.11608431587891825,0.09338084923333796,0.13878778252449855,0.05855037846526972,0.10623055732134729,0.045454545454545456,0.10274454609429978,0.3333333333333333,0.003-0.073,-0.6327734962710799,13.295568941239399,32.05165451398561,13.504664414942289,17.516121152577863,33.5200000737518
Arthritica,43,0.9148113886851613,9.313697951437815e-24,0.9583947123152404,0.04507791606251759,0.8673580139648688,1.049431410665612,-2.8720012607678305,0.11458870746797647,-3.1034178502493304,-2.6405846712863306,0.056585570707667406,0.044895493792047304,0.0713195588658301,1.0863080968385654,0.06732399888940152,0.058046366961886475,0.07660163081691657,0.030146203164527985,0.06183480538213031,0.030056864337936633,0.0574712643678161,0.16666666666666666,0.006-1.231,-1.1334952664314828,17.195030347774342,37.489057321152075,4.025138493235205,17.60529690683106,37.98576937016106
Arthritica_outliers_removed,37,0.926795632478479,1.1408689938292466e-21,0.9851813344063466,0.04609624161278103,0.8916009888456965,1.0787616799669968,-2.8794396933140294,0.11508491992663003,-3.1130745016791366,-2.645804884948922,0.056166224330285286,0.044464040208940216,0.0709482255929959,1.060671230725468,0.06154240786426837,0.05382894609014716,0.069255869638389575,0.0231346063031742,0.05800340618781425,0.031746031746031744,0.05555555555555556,0.1412213740458015,0.013-0.583,0.7281410499664633,11.947880082683952,29.8056897550478,2.2121362471377584,11.97968295125357,29.810633920350423
Capitella,77,0.9121785922695106,1.417150023018471e-41,0.8336547968823733,0.02965273861413992,0.7745835124170797,0.892726081347667,-2.591160476542431,0.10289979709412586,-2.796147383980033,-2.3861735691048294,0.07493303158402263,0.061044792318016336,0.0919809701885901,1.036445867151745,0.13734909653234847,0.12586240809668342,0.14883578496801353,0.050608358755314116,0.1296934945254773,0.0625,0.12820512820512822,0.3333333333333333,0.003-0.402,1.3755987733660393,8.051523501402405,22.82444767580151,23.518138559860233,11.5686242373867,28.098942828309564
Capitella_outliers_removed,67,0.8791036885843962,9.624972764809026e-32,0.8691963116410268,0.03963513927540479,0.7900394724897192,0.9483531507923345,-2.4873251550649216,0.14129683174516017,-2.7695144140788677,-2.2051358960509755,0.0831320347458903,0.06269243991829436,0.1102355437114711,1.036679586938734,0.13671040886040767,0.1263135564903577,0.14710726123045764,0.04262417158099721,0.130675385028173,0.0625,0.13043478260869565,0.25,0.008-0.184,1.7361548581786643,8.030486016509384,23.169440771972532,13.011533234738051,9.400118301904069,25.30749877042985
Chironomidae,41,0.841908064102938,2.0062908185034117e-17,0.9249663690839537,0.06322683879046186,0.7970780163598585,1.0528547218080488,-2.3346822006573755,0.2644714418109447,-2.869626184617404,-1.7997382166973472,0.09684125372344038,0.056720125472768425,0.16534216637497182,1.03981545676068,0.1374451005151651,0.1253840284390516,0.14950617259127857,0.03821160918113183,0.13188928613957654,0.058823529411764705,0.13333333333333333,0.25,0.004-0.116,-1.419687967866573,9.002937907000003,24.539472018022977,3.312900553899093,9.349736269518715,25.0596820108226
Chironomidae_outliers_removed,37,0.7689847050384601,6.734592817840724e-13,0.9289401798750255,0.08450715155828054,0.757381541502707,1.100498818247344,-2.344233721871723,0.3589152673851659,-3.0728704517604397,-1.615596991983006,0.09592067589222092,0.04628809623229278,0.19877196974028047,1.0387194848433332,0.1344767581629714,0.12275399251595702,0.14619952380998574,0.03515951410272597,0.12934728135319973,0.058823529411764705,0.13333333333333333,0.2,0.005-0.045,-0.9444863460996064,8.802414576096615,24.547815171313964,1.3266735925644866,8.992806739925415,24.937722860253988
Hydrobiidae,16,0.7534100954355837,8.02049531546475e-6,0.6695562718343196,0.0978421990467022,0.45970562580234875,0.8794069178662905,-3.6632231476134365,0.39450084615208675,-4.509343310812742,-2.8171029844141313,0.02564970655931532,0.011005685117691785,0.05977887242307052,1.0884701912598456,0.11008227134146009,0.07002966927075621,0.15013487341216397,0.07516500149701645,0.09181843297987886,0.037037037037037035,0.07495788882650196,0.25,0.004-0.146,-8.567569892078367,19.64605530888368,44.83413704257478,43.10695274389812,38.39023320100361,63.73746662326083
Hydrobiidae_outliers_removed,13,0.38716784589227227,0.013705813032113696,0.34446607874820817,0.11759043420537783,0.08565127809343931,0.603280879402977,-5.153634871043186,0.5139095632741962,-6.284742193438867,-4.022527548647505,0.0057783629038569055,0.0018645375978473052,0.01790764524524435,1.0528943640456394,0.11822316082159595,0.06886342312814267,0.16758289851504923,0.08168166754570641,0.09632267654743326,0.037037037037037035,0.07692307692307693,0.25,0.004-0.043,-1.3778672836495864,10.767815084322761,29.34428212415374,47.46783744588547,46.263269478000105,75.06300955817355
