taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_wm,sd_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,37,0.891724818131306,1.095822209232725e-18,0.7906440842766982,0.045840319842247214,0.6975832875314206,0.8837048810219758,-2.3317130735550946,0.18698599201298102,-2.7113148184124025,-1.9521113286977867,0.09712921499975577,0.06644938038391525,0.141974001141362,1.054972339956964,0.2414399939915897,0.11922403632261251,0.22281969869938978,0.2600602892837896,0.21872877103246777,0.09090909090909091,0.2096774193548387,0.6666666666666666,0.002-0.256,-0.12602114793974725,12.717988190415243,28.81747858852965,35.617358327190814,20.707697210370927,41.206409524507635
Amphipoda_outliers_removed,33,0.8415294343137413,3.733161228580867e-14,0.7704456761489333,0.05892947416691198,0.6502582211964466,0.8906331311014201,-2.4297922029940064,0.2517033465633569,-2.943144562812948,-1.9164398431750649,0.08805512827342941,0.052699750235364544,0.14712983611157474,1.0582793950509848,0.25055637638491324,0.12177067758885536,0.2304186999720485,0.270694052797778,0.2273655872197621,0.09090909090909091,0.2105263157894737,0.6666666666666666,0.002-0.073,-1.305627984824914,13.583907755305116,31.02444323548252,21.490708084312583,20.62672604714037,40.8460639437027
Arthritica,49,0.9968109371709934,1.532658715891712e-60,1.0235814865533222,0.008356270141173358,1.0067708393666535,1.0403921337399908,-0.4218517252677338,0.02362649980829051,-0.4693821121297003,-0.37432133840576726,0.6558312753912132,0.6253885689361361,0.687755873940811,1.0037187497514495,0.6223584051517026,0.058469746951062135,0.6144232252083441,0.6302935850950611,0.6197035529721105,0.5,0.6215139442231076,0.7936507936507937,0.006-1.231,-0.013121990847340666,0.731656101386369,6.731149760836149,-3.28151257746844,0.8559937681033606,7.284977973378715
Arthritica_outliers_removed,41,0.9964416856129665,1.3778314840275193e-49,1.02489515959649,0.00968336440880539,1.0053087063313921,1.0444816128615877,-0.40740107068910897,0.02881553422911292,-0.4656859901303441,-0.3491161512478738,0.665377273457255,0.6277043584678498,0.7053112027357167,1.0033212726302456,0.6250957474852593,0.05554482409634799,0.6168548355593201,0.6333366594111985,0.6227219115752883,0.5238095238095237,0.6262626262626262,0.7936507936507937,0.009-0.478,0.4119115050588029,0.6506916096543579,6.179850881020516,-2.589108826171206,0.7610952570497124,6.79908112661512
Capitella,79,0.906327366079249,1.476172442118813e-41,0.8264532190431526,0.03006403390427681,0.766588079388156,0.8863183586981492,-1.8984177181049857,0.10676730260938337,-2.111018578709682,-1.6858168575002894,0.14980546627087696,0.12111453889297127,0.18529301213346924,1.0448620268255002,0.28865185411849353,0.12942187232185912,0.27481881076536446,0.3024848974716226,0.2685289445371143,0.11111111111111112,0.25,1,0.002-0.402,0.3342456839436626,9.600349506527001,25.67280042126173,25.23648262091337,14.07682139142139,32.454454438335965
Capitella_outliers_removed,65,0.8686440177533643,1.1100814717951295e-29,0.8143126264472729,0.03953599944037215,0.7353062358764999,0.8933190170180458,-1.9516442160405967,0.14271358801162207,-2.236834564932823,-1.6664538671483702,0.14204033448565326,0.10679602578142555,0.18891579975165393,1.0346556346995721,0.28602594717910124,0.09299721458129244,0.2750678065923813,0.2969840877658212,0.27264620423438896,0.1639344262295082,0.25,0.6,0.007-0.163,0.7687067420726824,7.098574975210645,22.94788838478791,15.485042835030185,9.67459606888289,28.200320945251494
Chironomidae,65,0.7756056253347474,2.479173186906921e-22,0.711976511265852,0.04776191972393449,0.6165319306928927,0.8074210918388114,-2.4827895948855936,0.22710200711186446,-2.9366167429850663,-2.028962446786121,0.08350994145378218,0.05304488998933724,0.13147185945745163,1.0678768800375573,0.3563983651497735,0.18127895948456482,0.33503772190481146,0.3777590083947356,0.3193951814710253,0.125,0.2857142857142857,1,0.002-0.116,0.18921787417349897,14.067873622426092,32.860192417828884,33.117449072732576,22.812610171825536,46.00201177235563
Chironomidae_outliers_removed,59,0.7344898668051197,2.8591722467471134e-18,0.6801981133395572,0.05353279100876148,0.5730005484050681,0.7873956782740462,-2.674141058401808,0.25970466931337227,-3.194190688318429,-2.154091428485187,0.0689660407623126,0.04099969348348118,0.11600854480400656,1.061216183091598,0.35204784747239737,0.17480567293920138,0.3304279752888339,0.37366771965596085,0.3175489248158535,0.125,0.2857142857142857,1,0.002-0.045,0.6106720686888615,12.774213687164533,30.853715243839385,26.344075209637026,21.396364686789315,44.05191565669612
Salinator,17,0.9866182621891505,1.1161109278688303e-15,1.0899435394927282,0.03172062203725367,1.0223326340665504,1.157554444918906,-0.33840312789939486,0.12261426088425129,-0.59974923854028,-0.07705701725850977,0.7129078369236601,0.5489492741574443,0.9258370634103511,1.0186694951992872,0.5337371805392978,0.13442449284051683,0.5027645885675943,0.5647097725110012,0.5187166386897569,0.3333333333333333,0.5172413793103448,0.8297872340425532,0.003-0.291,0.39403975814508707,3.752409932402955,16.094799330596768,-13.049361133961678,5.827036528462388,17.387899419302364
Salinator (shell removed),15,0.9730087656841079,8.612760058581975e-12,0.9555383808376144,0.042492010372087885,0.8637399734796639,1.0473367881955649,-1.166739129569333,0.06524546362192726,-1.307693384154528,-1.025784874984138,0.3113806595506427,0.2704431459400296,0.358514965521417,1.0068570019579228,0.3329191201557708,0.04332929589231946,0.32229092286749383,0.34354731744404776,0.3304361466302427,0.28185328185328185,0.3191489361702128,0.4265402843601896,0.096-1.271,-0.3292528705701247,1.353007301665463,9.445358462610217,2.8601446405552444,1.4677218437786637,10.273415139088684
Salinator (shell removed)_outliers_removed,11,0.9508593088259413,2.1201547249692691e-7,0.9527214620670142,0.06831390544537823,0.7981846715450326,1.1072582525889958,-1.201833550218303,0.10780818995818249,-1.4457126193405152,-0.957954481096091,0.3006424631832773,0.23557813918707465,0.38367690219817907,1.0058635527071087,0.32457679929937955,0.038912869340648616,0.31343076132091563,0.33572283727784347,0.3225688615788444,0.28185328185328185,0.31596091205211724,0.39534883720930236,0.141-0.921,-0.5664809311215445,1.1543545259377854,9.60540834335521,1.3279671762348777,1.2165266403554775,9.31555612623898
Salinator_outliers_removed,14,0.984693401326706,1.8057512753297775e-12,1.0890084075153825,0.037634737862646615,1.007009357819085,1.17100745721168,-0.33800803193758555,0.15834359529633876,-0.6830090888648839,0.006993024989712826,0.7131895595812483,0.505094828127382,1.0070175332846985,1.015863028222535,0.5113385706720384,0.11517972623323262,0.4820946478296229,0.5405824935144539,0.5000298431266943,0.3333333333333333,0.5086206896551724,0.8297872340425532,0.003-0.178,7.532809254014204,3.087065848803818,14.209211137861516,-5.888606624778219,4.577985813027786,13.760369113929656
