taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_afdm_count,lower_ci_mean_afdm_count,upper_ci_mean_afdm_count,sd_afdm_count,geom_mean,min_afdm_count,median_afdm_count,max_afdm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Arthritica,14,0.7971107753488857,1.0627002757097683e-5,0.567465059233434,0.07863702918579582,0.39612969115650576,0.7388004273103623,-6.521205308573551,0.31292906784493346,-7.2030191763698985,-5.839391440777203,0.0014718939463706218,7.443351334478624e-4,0.0029106133675661505,1.1291221633870172,5.097009967801052e-4,2.2470977113873373e-4,7.946922224214766e-4,4.935914624556404e-4,3.2428211404831095e-4,6.666666666666666e-5,2.8424582833460574e-4,0.00165,1,206,-2.951858571043638,31.162367818447553,54.96082516086542,139.5980821985267,137.24485617033304,171.72283276009924
Arthritica_outliers_removed,10,0.7402643857924442,8.610956317156198e-4,0.45200466816501844,0.0875566756218812,0.2500986121162306,0.6539107242138062,-6.223774763858551,0.32968915999901166,-6.98403933014826,-5.4635101975688425,0.001981750440718375,9.265529807217003e-4,0.004238651098211823,1.0744014261368233,5.308312752894483e-4,1.378258641922022e-4,9.238366863866944e-4,5.493836822110198e-4,3.163538142428694e-4,6.666666666666666e-5,2.0524228130360206e-4,0.00165,2,171,-1.1700469696881592,20.541703102250732,37.75035010594326,201.0999994283028,162.90943860598122,199.65066636514135
Capitella,18,0.8202690200201541,1.4285529103352764e-7,0.6608695506418689,0.07454931896634573,0.502832054311777,0.8189070469719608,-7.4043173758480645,0.32298447260368784,-8.089013870886804,-6.719620880809325,6.086194418265516e-4,3.068922433391746e-4,0.0012069957224688827,1.1598784622325895,2.5045925402824237e-4,8.744239287936215e-5,4.1347611517712264e-4,3.2781157512685457e-4,1.6103538331125087e-4,5.617283950617284e-5,1.4105090311986864e-4,0.0014,1,472,4.054663799891672,35.031267495662135,57.507531756922404,131.2412884265036,102.00146043285662,123.40100314422628
Capitella_outliers_removed,13,0.775971705363034,4.283839367730041e-5,0.6875700426052163,0.10538828785294267,0.4556119849934235,0.919528100217009,-7.602922291094262,0.44979723107934516,-8.59291932175021,-6.612925260438313,4.989911034674361e-4,1.8541401363305013e-4,0.001342898071514841,1.1573812625837954,1.9264473885082488e-4,8.149741154663948e-5,3.0379206615501034e-4,1.8392923993715678e-4,1.4359849244368345e-4,5.617283950617284e-5,1.3448275862068965e-4,7.142857142857143e-4,3,343,6.650568651965866,33.08874379034989,50.96435870550045,80.5688415603533,65.39223193057056,89.1202546387053
Hydrobiidae,12,0.4204533513284724,0.01341857077040071,0.7545469308312406,0.25179062254449047,0.19352246217405022,1.315571399488431,-5.967289222829176,0.5403159563843383,-7.171188197597241,-4.7633902480611106,0.002561174791488602,7.684091666614469e-4,0.008536619026887248,1.3978268919496806,0.00236926424571805,0.0013057914540857201,0.0034327370373503792,0.0016737858491491263,0.0016615759872810297,1.2727272727272728e-4,0.0023954545454545452,0.00625,1,48,-5.507287429352649,163.3569341283514,193.6972241208252,32.749128424276634,190.41816493077692,217.0070899596211
Hydrobiidae_outliers_removed,8,-0.06319079054213428,0.4737366845498364,0.39430118116506613,0.5159866908532763,-0.8682727677168911,1.6568751300470232,-5.280576938786279,0.9207071010459463,-7.533466055768933,-3.0276878218036245,0.0050894936192245645,5.348811122967142e-4,0.048427481742444545,1.4441818899647538,0.002763626482213439,0.001243894863799613,0.004283358100627264,0.0018178152951618864,0.0019301968952002836,1.2727272727272728e-4,0.0025358695652173916,0.00625,2,23,-10.713111942919909,174.2303284379404,201.42735021496756,18.77443054792983,264.1814763628182,290.0152185916991
Salinator,22,0.546461865592395,5.117577977369491e-5,1.305890085296114,0.2546286046460389,0.7747441233761656,1.8370360472160623,-5.764695485517973,0.5449238508697802,-6.90138671997569,-4.628004251060256,0.003136350282462075,0.0010063888813968984,0.009774246592079107,2.1786848656508253,0.012865052021841794,0.00629715538488152,0.01943294865880207,0.014813406812515122,0.005241725212951855,2.2e-4,0.005136363636363637,0.04653636363636364,1,80,40.25642778771928,869.1169762891172,898.3350739978483,-5.958233003467668,749.7144082046391,782.7450441426158
Salinator_outliers_removed,20,0.7020939820784686,2.440472464741326e-6,1.6056835030089318,0.237317163999655,1.1070986426345595,2.104268363383304,-6.097896103174751,0.4502820093679312,-7.04390350097986,-5.151888705369642,0.0022475914491377723,8.727132675976325e-4,0.005788461697326136,1.8126831810575919,0.011812864042207792,0.005651645336754667,0.017974082747660918,0.013164591988916365,0.005485912448588643,2.2e-4,0.005136363636363637,0.0397625,1,35,49.78105636649875,371.12470983350397,397.31708425610174,-25.01729194327068,508.2800531251026,541.5413490123346
Simplisetia,17,0.853150225379669,7.519025826705122e-8,0.6950488953447885,0.07170603018513029,0.5422111098927971,0.84788668079678,-5.311045342091043,0.26328128390722,-5.872216115029481,-4.749874569152604,0.004936763412851093,0.0028166244486753063,0.008652780460642334,1.1992013151378484,0.0033720986401971774,0.0011534376905558761,0.005590759589838478,0.004315180232892808,0.002048045188314939,4.3488372093023256e-4,0.0019211267605633803,0.0173,1,285,16.941033634474266,49.43640695357422,71.68187206277597,207.76484449983948,136.73906855082254,160.53237424057144
Simplisetia_outliers_removed,13,0.8318309211011281,8.621649071748181e-6,0.6384750864290631,0.08218281428277033,0.45759193177811847,0.8193582410800078,-5.040479082334441,0.26374701167160636,-5.620982341042163,-4.459975823626719,0.006470647602640847,0.003621082223547105,0.011562642826858496,1.154223851763513,0.004131879274591384,0.0012870793522634122,0.006976679196919357,0.004707642551359516,0.0026471404133610035,4.3488372093023256e-4,0.0023,0.0173,1,129,7.494138800228368,35.8415574883198,61.60729171333642,178.86257461595844,134.28882284306084,157.68794815005475
