taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_count,sd_dm_count,lower_ci_mean_dm_count,upper_ci_mean_dm_count,geom_mean,min_dm_count,median_dm_count,max_dm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Arthritica,17,0.9249802119899071,4.722657942368873e-10,0.7881622837390464,0.055973106480452214,0.6688584313677176,0.9074661361103752,-5.878662285036836,0.2072236846734725,-6.320349113563331,-5.436975456510341,0.0027985264028415223,0.001799315231215382,0.0043526280951398395,1.0828961295878783,0.001734149923109772,0.0011295431367808267,0.001473893194959366,0.001994406651260178,0.0014415032705105443,5.786407766990292e-4,0.0012534090909090908,0.004266666666666667,1,206,8.197354537984321,20.632779524675477,39.94608455129489,71.78379082988958,41.446301998401466,70.51071548260015
Arthritica_outliers_removed,14,0.9605536898658343,5.341539391474072e-10,0.7566330511023351,0.042459133623729356,0.6641225460263984,0.8491435561782719,-5.679761290022016,0.1515846332797937,-6.010035833792433,-5.3494867462516,0.003414373391120506,0.0024540002427030283,0.004750588631218212,1.0415271033455258,0.0019325687121586534,0.0011456424794531804,0.0016416921719046816,0.002223445252412625,0.0016505582019823715,8.08843537414966e-4,0.0012864068583408206,0.004266666666666667,1,173,5.380784851247735,8.578907904124598,24.59002327231118,79.31658006803254,34.77289688623601,64.2962154015969
Capitella,17,0.7215514693231482,9.751672689754777e-6,0.6663218438666405,0.10225573506337152,0.44836890383493655,0.8842747838983445,-7.081414407508895,0.4558662397642683,-8.053070297090487,-6.109758517927301,8.405833797239051e-4,3.181236872818464e-4,0.00222108710076046,1.2263056643555361,3.1689643911409925e-4,3.5829232705315573e-4,2.3434271830091784e-4,3.9945015992728065e-4,2.1038735626985745e-4,7.058823529411764e-5,2.1896551724137931e-4,0.0014285714285714286,3,472,11.690757399356274,52.39585690460395,75.93075991038575,109.37511281273903,99.58980629260986,123.55955505409774
Capitella_outliers_removed,12,0.698662218979965,4.325802449506702e-4,0.618078379526498,0.1200573560432472,0.3505739200597899,0.8855828389932061,-6.85112157157477,0.5257931692233244,-8.022661760030253,-5.679581383119287,0.0010582681036253986,3.2794594662676244e-4,0.0034149877157210237,1.1925205744099372,3.2136466318107395e-4,3.7769794420905976e-4,2.1778425854437623e-4,4.2494506781777167e-4,2.1894244462372018e-4,8.83076923076923e-5,2.2466133004926108e-4,0.0014285714285714286,5,343,12.070161787047919,36.63016042174623,59.03158092351149,108.61795377063721,87.1456604470202,109.23364941308508
Hydrobiidae,13,0.5240175816449347,0.003101732438997538,0.7465718288678193,0.19804279444993161,0.310682577220441,1.1824610805151976,-4.773166491910859,0.42902398878645515,-5.717441924553169,-3.82889105926855,0.008453569574927803,0.0032881113902355793,0.021733703660515285,1.2249691710328736,0.006599809212526604,0.002996030526123493,0.005810407320176302,0.0073892111048769055,0.0053412014109955825,4.5454545454545455e-4,0.007075,0.011416666666666667,1,48,-9.24899993107171,97.36346543868481,123.8210092575654,24.127136753852653,118.47177154506501,139.85761384278754
Hydrobiidae_outliers_removed,9,0.8936305712413243,7.433396967298695e-5,0.9652053167287274,0.11686837883426393,0.6888555138928942,1.2415551195645607,-4.841306584537758,0.19845475108709806,-5.310577501802119,-4.372035667273397,0.007896729563407522,0.004939073570022671,0.012625513046834028,1.0305117505319985,0.007729396135265701,0.0020607651223177956,0.007076820513198399,0.008381971757333002,0.007495184792362085,0.00472,0.007258333333333333,0.011416666666666667,2,23,-0.5249411704793366,6.232003419807139,20.724357242933102,2.1195844750365995,6.3190609246010405,19.83984007888837
Salinator,22,0.7229055478443625,3.3119345454622256e-7,1.776770564266368,0.23788499871570515,1.28055115229252,2.272989976240216,-5.165467944508149,0.5103036359497541,-6.2299426761062024,-4.100993212910095,0.005710390068025436,0.001969564796526964,0.016556223378130997,2.061508285065034,0.056608228674734355,0.06290601773729204,0.04386720103229843,0.06934925631717029,0.021562640900623375,4e-4,0.030338636363636366,0.18826875,1,80,127.78003290405468,691.917009639417,717.4371636022044,-30.855461197688278,1251.1105658367792,1285.8505958068638
Salinator_outliers_removed,19,0.6829641342643422,7.883222952948283e-6,1.7074852741656572,0.2707365565836684,1.1362810695964825,2.278689478734832,-4.935846255940406,0.5270363186909899,-6.047795691198582,-3.8238968206822315,0.0071843785496017104,0.002363065195074016,0.021842518459318453,1.952348714534459,0.05177654348940533,0.059755499721010276,0.0387531342591725,0.06479995271963816,0.02152189983512385,4e-4,0.02552727272727273,0.18826875,1,35,60.84201975328145,688.0527439847696,714.3430244828772,-25.506767211010228,936.8269979441942,970.3650108422748
Simplisetia,17,0.9029807152541591,3.2814445988096904e-9,0.8067010086426033,0.0658853853095582,0.6662696340655148,0.9471323832196918,-5.277660034744005,0.24190976393808933,-5.793278491156318,-4.762041578331692,0.005104360856346359,0.0030479730253236883,0.008548139873722802,1.1634442823409374,0.003947257330876577,0.0038529470833259575,0.003059504248244519,0.004835010413508635,0.002922391110460457,8.403100775193798e-4,0.0028204225352112676,0.0158,1,285,16.48472077533556,41.069930662073126,60.35702401474612,105.9210017957664,69.776851331575,91.0746924374384
Simplisetia_outliers_removed,11,0.9200264819017913,1.920127300055209e-6,0.7836175112721713,0.0727440820909884,0.6190589649188613,0.9481760576254813,-5.038590247649939,0.21049479917670952,-5.514762565339302,-4.562417929960576,0.006482881136188017,0.004026883346641586,0.010436792975637972,1.1020727276415996,0.005160279612856921,0.004327659910598,0.003920682982263218,0.006399876243450624,0.004122203180407753,0.0020225806451612902,0.003222727272727273,0.0158,1,93,8.238883832281486,21.089562927018296,38.35029103486524,92.02011199063116,45.49043171705041,67.42509343304911
