taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,sd_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,12,0.7944609738609807,6.102629205246653e-5,0.9399593132205268,0.14248708579266242,0.6224783014595943,1.2574403249814594,-7.573186951595171,0.4218984751814592,-8.513235335740747,-6.6331385674495955,5.140515778174034e-4,2.007931396659097e-4,0.0013160261605363285,1.1313393645470184,4.970285892378414e-4,3.0311585309745554e-4,6.909413253782273e-4,3.051967067473205e-4,4.358035356796467e-4,1.5555555555555556e-4,4.6342105263157894e-4,0.001375,4,65,1.3846384727528482,28.054209674739308,47.32009619733239,7.961127990186865,28.793015325654352,44.907512326762316
Amphipoda_outliers_removed,9,0.8211050314980475,4.7141447082954573e-4,0.8951403082735744,0.14575087161385822,0.5504942625646589,1.2397863539824898,-7.346809897009301,0.3973633842018495,-8.286424991987975,-6.407194802030627,6.446455693990328e-4,2.51913447440334e-4,0.001649645599980251,1.0962960610250285,5.504247200370562e-4,3.007914032029629e-4,8.000580368711496e-4,3.2476088792268135e-4,4.952655156318209e-4,2.952380952380952e-4,4.8684210526315786e-4,0.001375,4,61,0.5699906987191636,18.024489377210127,34.69887441875781,12.465159012976896,19.786267828450402,35.6064746326491
Arthritica,19,0.9137740693831757,1.0931845772214917e-10,0.9355804761490659,0.0675630175713345,0.7930349691916383,1.0781259831064935,-6.037797603049563,0.23684486279000752,-6.537496584093715,-5.5380986220054105,0.002386809831886212,0.0014481091846555122,0.003933999752196794,1.1552882184699416,0.0023496636350713775,0.001666406177504303,0.003032921092638452,0.0014175919681501913,0.0019879472032712548,5e-4,0.0019952830188679246,0.0055000000000000005,1,206,20.232099965355648,39.53615074615548,62.569304689457674,39.93689220951363,41.12678988275212,65.1903038906916
Arthritica_outliers_removed,17,0.9038308891006729,3.0706496671074548e-9,0.9508239493353441,0.07728141408888926,0.7861025143953643,1.115545384275324,-6.055048259688607,0.2505357230881234,-6.589052512811277,-5.521044006565937,0.002345988901246284,0.001375342465838177,0.004001667992863611,1.1689197952174575,0.0024552268761567535,0.0017038993308344063,0.0032065544214791007,0.0014612930256545202,0.0020688315088768423,5e-4,0.0020829545454545454,0.0055000000000000005,1,173,21.91219784729989,43.199073530164206,67.25157363671414,37.38218531793026,43.904690861476034,69.36473303515491
Capitella,23,0.8194831980938188,1.795456318674585e-9,0.8805907627703787,0.08767749596126485,0.6982554282982771,1.0629260972424803,-6.332740720493903,0.33759812548009993,-7.034814456196432,-5.630666984791374,0.0017771563994362367,8.806815547739862e-4,0.0035861826002109194,1.4641230982185869,0.0018752165422883165,9.388049540025291e-4,0.0028116281305741045,0.0021654518221961593,0.0012074862013434272,4.2352941176470585e-4,8.556473829201102e-4,0.008714285714285714,1,472,39.991644909950715,97.65605441250999,123.58545574702566,93.54094139778512,108.98910955519582,135.39436298886497
Capitella_outliers_removed,17,0.754698477722231,3.703300488885946e-6,0.8369838657929373,0.11810096437482591,0.5852576189460434,1.088710112639831,-6.235298843966591,0.42262336785997395,-7.1360992293346746,-5.334498458598508,0.0019590436784550323,7.958504797017055e-4,0.004822328103054105,1.5204394756671067,0.0019696637137456715,7.10252705903879e-4,0.003229074721587464,0.002449488952787104,0.0011934940971334636,4.2352941176470585e-4,7.146443514644352e-4,0.008714285714285714,2,343,44.8140944813602,107.17122992884654,130.39842790565538,124.36678021913711,124.9807947018727,150.99873549817244
Chironomidae,13,0.461215383425151,0.0063928897798377765,0.7062418123878361,0.21035177333951977,0.24326068086859315,1.1692229439070791,-6.666856060533621,0.4919114715410968,-7.749545909474415,-5.5841662115928266,0.0012723927951262257,4.309381810982214e-4,0.0037568809079836984,1.416874645298262,0.0011934162205316052,-2.0447846969002578e-5,0.002407280288032213,0.0020087311205548436,6.96749975701952e-4,1.875e-4,6.346153846153846e-4,0.0078,1,51,8.3078948190552,84.57277973861275,108.53844022245988,69.93314775673792,122.98954035503175,137.159871777278
Chironomidae_outliers_removed,10,0.6585117851384911,0.002671901972046882,1.0309659255922117,0.2406381120864309,0.4760534440331784,1.5858784071512448,-7.550770450022556,0.565130683799547,-8.85396414379507,-6.247576756250043,5.257049416643732e-4,1.4281447555049864e-4,0.0019351377696487089,1.1539966282298062,6.497744200244201e-4,3.967288030917962e-4,9.028200369570438e-4,3.5373338094676996e-4,5.62812128198953e-4,1.875e-4,5.506410256410257e-4,0.001288888888888889,2,26,-0.10590066674329299,35.34854009309346,61.46143791279106,-1.7216189713064673,35.43951619833434,61.27468665832274
Hydrobiidae,14,0.5805106240367046,9.320311202522034e-4,0.9003402003681173,0.2066062707845941,0.45018380689294224,1.3504965938432925,-4.889563747750196,0.43298920686184766,-5.832966186768227,-3.9461613087321648,0.007524704428297416,0.0029293750073793186,0.01932875667697228,1.261125719435723,0.008057675159984942,0.005711061565345475,0.01040428875462441,0.004064224901625319,0.006331894580383538,7.5e-4,0.009014772727272727,0.014366666666666666,1,48,5.548091697609295,110.0054241853636,137.59863567612652,21.591712020383742,109.35170300540028,135.6062269959146
Hydrobiidae_outliers_removed,10,0.3934428570342352,0.030892934360767586,0.652644628458965,0.2495842567749043,0.07710230025417719,1.2281869566637527,-4.257872742395161,0.4443857322309822,-5.282628078545538,-3.2331174062447845,0.014152376161330877,0.005079065055384872,0.03943437400933809,1.1261669646894432,0.009291749011857708,0.006743816834248294,0.01183968118946712,0.0035617635845035063,0.008147389717290178,0.0013545454545454546,0.009536363636363638,0.014366666666666666,2,23,-7.146827460236069,40.00579683876062,62.257312597064505,14.508069622822262,54.561838080472214,72.06969984425827
