taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_afdm_dm,lower_ci_mean_afdm_dm,upper_ci_mean_afdm_dm,sd_afdm_dm,geom_mean,min_afdm_dm,median_afdm_dm,max_afdm_dm,range_dm,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Arthritica,14,0.8273195170809645,3.982745299126097e-6,0.7913246407545327,0.0994739280625543,0.5745895700744444,1.008059711434621,-2.167224400048532,0.3281543622075506,-2.88221133453761,-1.452237465559454,0.1144949685156038,0.05601076724271317,0.23404603187424755,1.1040194414791438,0.24522174649864706,0.1727296904060131,0.31771380259128107,0.1255528478206777,0.21386638524397297,0.05121951219512195,0.20243370039747183,0.5038167938931297,0.002-0.177,-6.1828651771281296,26.584811760249238,43.9502024474004,16.480329586857355,37.265813420605674,61.907586171327004
Arthritica_outliers_removed,11,0.7640017392132353,2.6708593727211275e-4,0.6940441851452548,0.12014016826235563,0.4222682429707854,0.9658201273197242,-2.5887916165987686,0.3780622261788902,-3.4440277895327798,-1.7335554436647571,0.07511074785036706,0.03193579526918946,0.1766552044527998,1.0672939911987258,0.2105969374501155,0.13256743621534592,0.2886264386848851,0.11614831721263769,0.1843711119846745,0.05121951219512195,0.18256029684601113,0.5038167938931297,0.007-0.155,-1.4384492604843058,18.916680526771618,36.4259789045307,29.10230438229809,34.29970514250402,53.815969049156
Capitella,17,0.965418308179575,1.3934685602379527e-12,1.0178026021100135,0.04810423557055016,0.915270851063664,1.120334353156363,-0.31771258355498755,0.2162584273327287,-0.7786565102168037,0.14323134310682867,0.7278119434772852,0.45902228898665554,1.1539967399787474,1.027440672808775,0.6924050663792622,0.6094574050663207,0.7753527276922036,0.1613288900767649,0.6739911914724248,0.44444444444444436,0.7020648967551623,1,0.001-0.053,-1.253548808344705,5.641919426859367,20.681771282530676,-2.795070666842454,5.692757705084904,20.93638850182654
Capitella_outliers_removed,12,0.9515232519116095,4.168080385941597e-8,1.061510327718895,0.07207448088225292,0.9009183766284053,1.2221022788093847,-0.1789614420917511,0.3157750877541827,-0.8825521836062209,0.5246292994227186,0.8361381385131232,0.4137256592592772,1.6898323104442887,1.0262412713924096,0.6608410491892436,0.562059915692081,0.7596221826864061,0.15547032769562694,0.6431913204022065,0.44444444444444436,0.6714458850700875,0.8521739130434781,0.002-0.039,-0.8735355774335772,5.315499580184141,21.50587719544121,-4.435850659232674,5.713686157376615,22.174472320641282
Hydrobiidae,12,0.8616147123358286,8.19782095756553e-6,1.0513684832472052,0.12612447308685268,0.7703456445760914,1.332391321918319,-0.9551707834739834,0.46664772064368315,-1.9949267000310114,0.08458513308304438,0.3847464306096883,0.13602362432888346,1.088265487684574,1.1152394493543922,0.3583082180954122,0.24081644908320765,0.4757999871076168,0.18491875101221678,0.3214007828123441,0.09523809523809523,0.3419099951869084,0.88339222614841,0.005-0.328,11.254012407020713,26.34905658267634,40.879589542404375,2.965417255655645,27.001677494090902,39.79419230127916
Hydrobiidae_outliers_removed,8,0.9644772779896287,8.923814776054747e-6,0.9424835395759859,0.0681855471709128,0.775639516126675,1.1093275630252966,-1.2934746985999974,0.24479817276520538,-1.892474248677812,-0.6944751485221828,0.2743159599071917,0.15069848165570052,0.49933645669851734,1.0119951502183453,0.33919741865908704,0.29316581039497097,0.3852290269232031,0.055060354439914735,0.3346998566627927,0.22502870264064295,0.3520337314642762,0.4090909090909091,0.007-0.175,-4.0925069876496805,2.617405327899171,12.69083029964472,1.0278705686470317,2.932885674634591,12.843879823664405
Salinator,21,0.8302342787101015,5.7955355096389275e-9,0.8016481135601575,0.0806463311780755,0.6328534025046667,0.9704428246156483,-1.88295029937784,0.25768731261881206,-2.4222960432048475,-1.3436045555508325,0.1521405827026624,0.08871768379370003,0.2609035303370864,1.2338079011866625,0.2810055696724206,0.22210985470211442,0.33990128464272673,0.12938581081740916,0.22242110689118577,0.002833072392455081,0.23803235391218222,0.55,0.002-6.706,-5.801582612335386,223.48566371325109,247.183512761003,68.82656593807478,474.5224256372044,496.7875630844411
Salinator_outliers_removed,18,0.9815925315394669,1.6061649502445642e-15,0.9276477291114678,0.03079290288598615,0.8623696911050602,0.9929257671178753,-1.4700924210089454,0.09471926041303926,-1.6708882830968652,-1.2692965589210257,0.22990423622334105,0.18807992319819802,0.2810292397755733,1.0400704591263925,0.28252823858996934,0.23069369356453456,0.33436278361540406,0.10423439471855117,0.2670439903558889,0.1764705882352941,0.234879382559717,0.5235602094240838,0.005-2.312,2.4359396661040496,8.165134811243611,21.758052810610817,23.995161393277524,11.053204960383242,31.345033336563986
Simplisetia,16,0.9915875064927198,3.866830077434873e-16,0.88657629506846,0.021078735375583073,0.8413669040367674,0.9317856861001527,-0.7095404852736582,0.07330809965135061,-0.8667707215224268,-0.5523102490248896,0.49187016712403664,0.42030664728562783,0.5756184511215097,1.0115586996120502,0.7060103741259715,0.6061170731235792,0.8059036751283637,0.18746547617885578,0.6815370307989301,0.4130781499202552,0.7107538112570554,0.9565217391304348,0.001-0.473,1.3820189690977107,2.40748487204612,13.88001046253777,24.184987907599194,7.519829732219823,24.956222685843105
Simplisetia_outliers_removed,12,0.9861849553302602,7.730076154559582e-11,0.8841670158196154,0.031532511627643166,0.8139082015613548,0.9544258300778761,-0.697278135899817,0.10991642657646362,-0.9421871964263322,-0.4523690753733018,0.4979387826596398,0.38977438922039903,0.6361193504080227,1.0128802159491028,0.7321438088397235,0.6203969119786685,0.8438907057007785,0.17587697224041968,0.7106491054278831,0.4130781499202552,0.7238199010707403,0.9502262443438914,0.003-0.250,0.028750888558249706,2.741979668801822,14.35611215815387,18.2328316313233,6.543476582078919,22.190868810859595
