taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_afdm_wm,sd_afdm_wm,lower_ci_mean_afdm_wm,upper_ci_mean_afdm_wm,geom_mean,min_afdm_wm,median_afdm_wm,max_afdm_wm,range_wm,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Arthritica,14,0.7734333201314569,2.0843474533980795e-5,0.6864427987512722,0.10190147565705716,0.46441855622765327,0.9084670412748912,-2.7617543091801062,0.3071044734137947,-3.4308774759022804,-2.092631142457932,0.06318083236584979,0.0323585344775727,0.12336212510514938,1.1477241127924576,0.18167496752156173,0.12964807320100497,0.14875755771907093,0.21459237732405254,0.1421293056172123,0.02843601895734597,0.13100371048799964,0.4761904761904762,0.002-0.303,-4.647133047450897,35.907052404157604,55.2240104455332,43.426881556226874,69.21943612463797,98.95018861906124
Arthritica_outliers_removed,10,0.7067111377255213,0.0014212604290352302,0.5983060217497381,0.12561453851390106,0.30863837649491926,0.887973667004557,-3.159752918842431,0.36275877794650263,-3.996276160868676,-2.323229676816186,0.042436224976861565,0.01838397053060143,0.0979567056686255,1.084140945490576,0.14949702228548498,0.10583032523873034,0.11770385932475985,0.1812901852462101,0.12011289102883178,0.02843601895734597,0.10848684122323667,0.3928571428571429,0.008-0.254,-1.5545480857780627,23.464817837921892,43.58193030179951,56.57408545324899,59.72130129736098,85.55093609432856
Capitella,18,0.9017773998365888,1.093438274939097e-9,0.8263513991666283,0.06593401076874533,0.6865775403390538,0.9661252579942027,-2.562425032355371,0.2063563742644276,-2.9998810036866157,-2.1249690610241263,0.07711750106903108,0.04979299319796341,0.11943666345760576,1.0793601333065734,0.1420786114683437,0.09321392687217163,0.12120641486743618,0.1629508080692512,0.12375945832442953,0.05454545454545454,0.12402717162322227,0.42424242424242425,0.003-0.337,-1.8189944296586151,18.017993069272862,38.17675407419725,26.9073336127661,27.21719303878205,43.31503791074979
Capitella_outliers_removed,13,0.878814256909897,1.3931892066939771e-6,0.8773755748316461,0.0935171012233304,0.6715458228243082,1.0832053268389839,-2.4645058559198314,0.28016249349559263,-3.081139346517901,-1.8478723653217617,0.0850508593682896,0.04590692294878663,0.15757206570682974,1.0775298785941008,0.13110748444602363,0.0706580811714535,0.1124903099879395,0.14972465890410777,0.11846195258796531,0.05454545454545454,0.12816041848299914,0.33999999999999997,0.005-0.256,-2.601430593264024,17.522526157367007,35.53303034740706,11.144556126796786,20.706874143080277,36.61678459072933
Hydrobiidae,12,0.8014117983719791,5.12213175130845e-5,1.1138398021736486,0.16532473505792805,0.7454733367967419,1.4822062675505554,-1.1258506360127842,0.5514928726489413,-2.354653332155409,0.10295206012984015,0.3243764237009585,0.09492640876474225,1.1084382694155472,1.1620460241018025,0.26280976970942516,0.1429468040532286,0.22360784120445926,0.30201169821439106,0.226565735860957,0.060606060606060594,0.25996732026143793,0.6265664160401003,0.008-0.397,12.029830456323172,38.484810748852446,58.243019207066546,-4.003733839718693,40.983382139566956,59.18373405339887
Hydrobiidae_outliers_removed,8,0.8871606798092505,2.9363569568738437e-4,1.1885772177048555,0.15878054007465436,0.800055232464985,1.577099202944726,-0.9388035780093986,0.5117731555449605,-2.19106737741022,0.3134602213914228,0.3910954707797537,0.11179735493842276,1.3681510385347149,1.0509070319096603,0.23011961378793003,0.07011537997379062,0.2065695599815841,0.25366966759427595,0.21754618132705603,0.09395973154362416,0.25006141667804016,0.310515873015873,0.015-0.202,3.7792423677103817,11.332241393630557,30.510131509960832,-10.198066631406888,14.379546065838706,32.54073004739407
Salinator,21,0.8166439615158279,1.2128913770857676e-8,0.7855086656676935,0.08276430238863172,0.6122809899219642,0.9587363414134228,-2.3685658004952472,0.24122620899436725,-2.873458058474184,-1.8636735425163105,0.09361489247694087,0.05650319699353487,0.15510180945109978,1.272662196500879,0.16706118762942737,0.10370750430537892,0.14556189647782547,0.18856047878102927,0.12467286233401406,0.0015006713529736987,0.1283725176900251,0.4545454545454546,0.004-12.661,-3.939864082811747,234.70937229821735,260.64341115221833,87.14589537200985,542.4815625928406,566.694362295824
Salinator_outliers_removed,18,0.9605853414660841,7.161642118447092e-13,0.8976718248365203,0.04404844240963022,0.8042932983499029,0.9910503513231377,-2.037981170578848,0.12212683787808828,-2.2968785013737425,-1.779083839783954,0.13029148182114947,0.1005722905231206,0.16879271762482465,1.0891729632000566,0.17269614211204062,0.10250963436579931,0.14974247720632072,0.19564980701776052,0.15200359543393224,0.08955223880597014,0.12672963150288902,0.4545454545454546,0.010-4.596,4.911660678314862,18.291294991743268,36.13552223309221,40.804792131656804,25.029146563154878,47.99662064154842
Simplisetia,17,0.9854465737497756,2.095635929100725e-15,0.9250565518169038,0.028091442159034186,0.8651810601929117,0.9849320434408959,-2.2628320757855787,0.060257451056861186,-2.391267792457316,-2.1343963591138415,0.10405537435842957,0.09151359006240006,0.1183159891934083,1.0203547345557684,0.11670268025944426,0.030786086786362923,0.1096092935983486,0.12379606692053992,0.11322921143093168,0.08205004812319537,0.10542191388281427,0.18218623481781376,0.011-2.419,0.5290415005601709,4.021264667554605,15.526238859990405,13.446124789197228,5.954845706719308,22.061075097793857
Simplisetia_outliers_removed,14,0.9921089052669597,3.380049589525208e-14,0.8734772612050344,0.021599120353796044,0.8264168206686571,0.9205377017414118,-2.3206072615035085,0.043585441768235325,-2.4155717812148536,-2.2256427417921634,0.09821392595534971,0.08931625496195233,0.10799798150596425,1.007783828000994,0.11719273086356183,0.03139928609684887,0.10922050927602485,0.12516495245109882,0.11364252392192004,0.08205004812319537,0.10612991629337386,0.18218623481781376,0.016-2.181,-0.27406323431182755,1.5446708089356904,11.275991328841318,20.98119726118658,6.075134998419366,21.961436679018956
