taxa_clean,n,mean_dm_count,lower_ci_mean_dm_count,upper_ci_mean_dm_count,sd_dm_count,geom_mean,min_dm_count,median_dm_count,max_dm_count,min_count,max_count
Amphipoda,173,1.3396887805125452e-4,3.56517982124593e-5,2.3228595789004974e-4,6.551449521106055e-4,0,7.0631970260223045e-6,4.764397905759162e-5,0.0082,1,4675
Arthritica,234,0.0010041770548936536,9.003051943166589e-4,0.0011080489154706482,8.064845540439683e-4,0,1.3333333333333334e-4,8.897730446927374e-4,0.010994117647058824,1,2251
Capitella,88,7.307411902782507e-5,2.820554468375745e-5,1.179426933718927e-4,2.1176433019887578e-4,0,6.7864271457085825e-6,3.934119677790564e-5,0.002,1,1018
Chironomidae,157,3.026078789659058e-4,1.4548305773031336e-4,4.5973270020149826e-4,9.96699649770164e-4,0,1.1016949152542372e-5,1.1090909090909092e-4,0.011114285714285714,1,526
Hiatula alba,37,0.07393153796653797,0.04406058120376914,0.10380249472930678,0.08959049060491739,0.02720142234200126,0.0011,0.0417,0.3296,1,7
Hydrobiidae,161,0.0024254905236959705,0.0021166900548359817,0.0027342909925559588,0.001984017215346955,0,2e-4,0.0019153846153846152,0.01045,1,1038
Mysidacea,52,0.001416329431438127,0.0011992630480082288,0.0016333958148680252,7.796874902140674e-4,0.001203209363039612,3.2e-4,0.0013,0.0034,1,25
Nephtys,45,0.008245529234140346,0.005229345206423464,0.011261713261857228,0.01003944779723693,0.005477420398903706,6.285714285714286e-4,0.0058,0.0638,1,27
Phyllodoce,25,0.003813696372766961,8.936365276424066e-4,0.006733756217891515,0.007074136053520915,0.0018626227423644195,3.5555555555555557e-4,0.0018000000000000002,0.0354,1,37
Salinator,80,0.02433354172029327,0.01802878468596385,0.03063829875462269,0.02833100820693348,0.008104302148982882,1.0526315789473685e-4,0.010060714285714286,0.0999,1,67
Simplisetia,206,7.736314274265389e-4,6.076498979973115e-4,9.396129568557662e-4,0.0012082972636219365,0,8.620689655172414e-6,4.6411862990810356e-4,0.01001,1,738
Spisula,43,0.023495220896674385,0.01416172632840791,0.03282871546494085,0.030327720013930578,0.010671301326282238,0.0013,0.0075,0.1258,1,19
