taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Amphipoda,173,0.7070483263920749,1.12999433106646e-47,0.708572961502709,0.03473532273891588,0.6400077285416333,0.7771381944637846,-8.309755243538834,0.18796470822924127,-8.680785163285616,-7.938725323792052,2.461042716017675e-4,1.698176806325244e-4,3.566608157350869e-4,1.4482575203282828
Arthritica,234,0.9395045967819888,1.5675259564221068e-143,0.9486784488622381,0.01576858799741212,0.917610515515052,0.9797463822094241,-6.828614363387714,0.07481547643540157,-6.976018952537642,-6.681209774237785,0.001082356832280928,9.340141662701661e-4,0.0012542596833015768,1.140411263964536
Capitella,88,0.5380955797922442,2.6403334409892364e-16,0.5575458230605423,0.0551106145368612,0.4479895472958626,0.6671020988252221,-8.013057009749655,0.27552056912131817,-8.560773773628366,-7.465340245870944,3.3111096080371596e-4,1.914710810332503e-4,5.725902197487522e-4,1.2578288221513463
Chironomidae,157,0.507471765374611,7.877195779950507e-26,0.5384231233059534,0.0423374047683336,0.45479035876431595,0.6220558878475909,-7.325461547811271,0.16481397025294645,-7.651032943667041,-6.9998901519555,6.585556383369059e-4,4.755526561295688e-4,9.119821395071026e-4,1.5689931888298503
Hiatula alba,37,0.210173714609878,0.0025341640094216243,1.379689376514104,0.42417573090280064,0.5185668622369447,2.2408118907912633,-3.768342081890492,0.32906100346664097,-4.4363714339061335,-3.1003127298748505,0.02309031341944295,0.011838818611885524,0.045035116364806956,2.8768471420852926
Hydrobiidae,161,0.6411761867754672,1.9562394089547925e-37,0.8793308233574582,0.05191418601080886,0.7768005025972046,0.9818611441177117,-6.04232382886846,0.18325643397115887,-6.404254591926771,-5.680393065810149,0.002376031003707428,0.0016545030420919685,0.0034122169539444764,1.4835661402283602
Mysidacea,52,0.5416096796333058,3.0843976729086007e-10,0.6450639243242067,0.08241726131754118,0.4795239831104698,0.8106038655379435,-6.382799324074087,0.10686342698436112,-6.59744083409384,-6.168157814054334,0.0016903843936033726,0.001363853903601688,0.0020950919967248505,1.1315241231517306
Nephtys,45,0.3542571210270693,9.67390898427352e-6,0.5910438915715175,0.11788251691433731,0.35331113928503144,0.8287766438580035,-4.7755504918296,0.17326545669337692,-5.12497358673878,-4.42612739692042,0.00843344026941313,0.00594637441753864,0.011960719218753572,1.3276493944643741
Phyllodoce,25,0.20031698420451483,0.014373678260841296,0.5071694711480883,0.19152942556212496,0.11096066733980997,0.9033782749563666,-5.4985973020463685,0.36381891565504393,-6.2512140707305806,-4.7459805333621565,0.004092507966765434,0.0019281118505021626,0.008686540385961785,1.6067898898775954
Salinator,80,0.0198412483732342,0.11095763222736044,0.33590488844561134,0.2083518851556677,-0.0788918513979397,0.7507016282891623,-3.8771606764728093,0.3513441447601686,-4.576633137212741,-3.177688215732877,0.020709542875324054,0.010289481313965268,0.041681903394176587,2.73754021981651
Simplisetia,206,0.44911174823157674,1.942941001313818e-28,0.5969907777607365,0.04604153672095575,0.5062124805158372,0.6877690750056358,-6.273244554734265,0.19160628976150956,-6.651027182438042,-5.895461927030488,0.001886099093112195,0.0012926935911147914,0.0027519048701795177,1.5329818547977792
Spisula,43,0.4550300129284732,4.246544272038763e-7,1.3641450438780052,0.22714162247512046,0.9054232311969719,1.8228668565590385,-4.874900487708697,0.2861575384554659,-5.452807360620163,-4.2969936147972305,0.0076358540423852594,0.004284260328495856,0.013609412707439704,2.3169179658241523
