taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_count,sd_dm_count,lower_ci_mean_dm_count,upper_ci_mean_dm_count,geom_mean,min_dm_count,median_dm_count,max_dm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,173,0.7070483263920749,1.12999433106646e-47,0.708572961502709,0.03473532273891588,0.6400077285416333,0.7771381944637846,-8.309755243538834,0.18796470822924127,-8.680785163285616,-7.938725323792052,2.461042716017675e-4,1.698176806325244e-4,3.566608157350869e-4,1.4482575203282828,1.3396887805125452e-4,6.551449521106055e-4,8.664961712059669e-5,1.8128813898191234e-4,0,7.0631970260223045e-6,4.764397905759162e-5,0.0082,1,4675,12.919627542803966,74.5091203042909,86.3842101945488,201.3128797789145,202.43824759167373,210.31656389277208
Amphipoda_outliers_removed,149,0.7875168772698262,1.622465436545572e-51,0.8202512317501104,0.03499071403380421,0.7511014171744755,0.8894010463257452,-8.978107787771044,0.184756193545118,-9.343229131479617,-8.612986444062471,1.2614130794710838e-4,8.755624846972425e-5,1.8173037160345274e-4,1.1550600220230245,6.091788548851881e-5,7.525840211372631e-5,5.5060747385130704e-5,6.677502359190692e-5,0,7.0631970260223045e-6,4.764397905759162e-5,8.736842105263158e-4,16,1481,4.316498920729592,29.970187453687654,45.08775898823559,31.333613588414945,38.6425259690969,52.57091306821225
Arthritica,234,0.9395045967819888,1.5675259564221068e-143,0.9486784488622381,0.01576858799741212,0.917610515515052,0.9797463822094241,-6.828614363387714,0.07481547643540157,-6.976018952537642,-6.681209774237785,0.001082356832280928,9.340141662701661e-4,0.0012542596833015768,1.140411263964536,0.0010041770548936536,8.064845540439683e-4,9.540915875275343e-4,0.0010542625222597728,0,1.3333333333333334e-4,8.897730446927374e-4,0.010994117647058824,1,2251,6.08027384820474,30.473907859466888,49.098011163531375,21.16349955534034,31.942019783603094,50.29313030204764
Arthritica_outliers_removed,196,0.9279611339025088,5.506226198286934e-113,0.9298055267593519,0.01854842025282016,0.8932230797140258,0.966387973804678,-6.73537104408169,0.08119796694909566,-6.895515158007068,-6.575226930156312,0.0011881342681714186,0.0010123153378303296,0.0013944894307625674,1.1330545160720769,0.0010337592290136787,8.501462484660187e-4,9.76070733582056e-4,0.0010914477244453014,0,2.125e-4,9e-4,0.010994117647058824,2,1113,2.0430442958254345,27.115206719517573,45.27295255265298,19.846439114927772,29.48520657449627,47.255312714341464
Capitella,88,0.5380955797922442,2.6403334409892364e-16,0.5575458230605423,0.0551106145368612,0.4479895472958626,0.6671020988252221,-8.013057009749655,0.27552056912131817,-8.560773773628366,-7.465340245870944,3.3111096080371596e-4,1.914710810332503e-4,5.725902197487522e-4,1.2578288221513463,7.307411902782507e-5,2.1176433019887578e-4,5.162867325176606e-5,9.451956480388408e-5,0,6.7864271457085825e-6,3.934119677790564e-5,0.002,1,1018,-3.7323536039939675,59.24280929433408,85.03266419184223,117.08714169060543,170.12890845275706,184.11951915400067
Capitella_outliers_removed,75,0.5269356908500922,1.0453853027303038e-13,0.609220639981023,0.06669932885352395,0.4762890692771675,0.7421522106848786,-8.343150626207802,0.324733539637203,-8.990343637384786,-7.695957615030817,2.3802124437233136e-4,1.2460726616443478e-4,4.546613894713887e-4,1.1968508873369088,4.827236367984945e-5,3.4376674296942194e-5,4.4501361069604553e-5,5.204336629009434e-5,0,6.808510638297873e-6,3.5885167464114834e-5,1.888888888888889e-4,10,641,-1.3679882695798695,46.69115725003594,71.9381483449766,42.65518745169974,75.03702172351144,104.07305389043236
Chironomidae,157,0.507471765374611,7.877195779950507e-26,0.5384231233059534,0.0423374047683336,0.45479035876431595,0.6220558878475909,-7.325461547811271,0.16481397025294645,-7.651032943667041,-6.9998901519555,6.585556383369059e-4,4.755526561295688e-4,9.119821395071026e-4,1.5689931888298503,3.026078789659058e-4,9.96699649770164e-4,2.2703985173357696e-4,3.7817590619823463e-4,0,1.1016949152542372e-5,1.1090909090909092e-4,0.011114285714285714,1,526,5.242290075087019,105.1070379218909,121.89236849479799,182.91264944964038,266.6234997925826,280.9896733671337
Chironomidae_outliers_removed,135,0.5327124051787091,6.064741772147904e-24,0.5216778808736734,0.042070618459794276,0.43846382720062105,0.6048919345467257,-7.384457718917994,0.1584239549623823,-7.697814165149837,-7.071101272686151,6.208272352034522e-4,4.5381807088848734e-4,8.492972860595276e-4,1.2161687017240195,1.8052536707216426e-4,2.543430848319178e-4,1.5972951806798234e-4,2.0132121607634618e-4,0,1.1016949152542372e-5,1.1090909090909092e-4,0.0023,2,254,-5.675408593809659,49.42614176567657,73.7521259974792,90.20524312821807,126.27065347884331,150.06886919843646
Hiatula alba,37,0.210173714609878,0.0025341640094216243,1.379689376514104,0.42417573090280064,0.5185668622369447,2.2408118907912633,-3.768342081890492,0.32906100346664097,-4.4363714339061335,-3.1003127298748505,0.02309031341944295,0.011838818611885524,0.045035116364806956,2.8768471420852926,0.07393153796653797,0.08959049060491739,0.059939381335281344,0.08792369459779459,0.02720142234200126,0.0011,0.0417,0.3296,1,7,52.17371979391859,778.1669994450198,810.7429627659325,13.406225500257857,807.7077773964626,841.9737030020556
Hiatula alba_outliers_removed,29,0.20321150245686737,0.008206842542814216,2.0796778053110225,0.7288788103311739,0.5841420194576743,3.5752135911643705,-3.800438858097914,0.3382621952559167,-4.494495552895616,-3.106382163300211,0.02236095641573023,0.011170314026684544,0.04476260655087381,2.805930416334529,0.07460689655172414,0.08564400021115015,0.059498389548781366,0.08971540355466692,0.028207021200951154,0.0015,0.0417,0.2915,1,4,60.709989882384185,653.5145745831229,686.4215230092129,-3.085900624526167,735.299704000689,772.0158564045618
