taxa_clean,n,mean_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,sd_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count,min_count,max_count
Amphipoda,228,4.7251221071012656e-4,3.688674078208542e-4,5.761570135993989e-4,7.942280729198798e-4,0,4.795539033457249e-5,3.1613742236024847e-4,0.0101,1,4675
Arthritica,238,0.0019317963622424684,0.0017160235452811047,0.002147569179203832,0.001689715899521281,0,2.2500000000000002e-4,0.0016213010519801983,0.02391764705882353,1,2251
Boccardiella,21,0.0013057213410752205,1.6708125863644063e-4,0.0024443614235140007,0.0025014361464126954,6.409090261015825e-4,1.3088235294117647e-4,7.666666666666667e-4,0.0119,1,92
Capitella,191,8.374288685396384e-4,7.133583155181845e-4,9.614994215610923e-4,8.69284998296291e-4,0,3.548387096774194e-5,6.2e-4,0.00685,1,1018
Chironomidae,283,7.776182646301864e-4,5.733204215185453e-4,9.819161077418272e-4,0.001745987046418714,0,2.6136363636363637e-5,4.333333333333333e-4,0.025666666666666667,1,526
Dolichopodidae,18,0.0038143518518518518,0.0020926192007488737,0.00553608450295483,0.0034622424228248566,0.0026530907281609247,3.6666666666666667e-4,0.0029499999999999995,0.012633333333333335,1,4
Hiatula alba,38,0.4756404072681704,0.29273532002987224,0.6585454945064686,0.5564637622333459,0.18000878912235035,0.0074,0.1998,2.1026,1,7
Hydrobiidae,171,0.00396607190737132,0.003493460241750534,0.004438683572992107,0.003130773638362585,0,4.6708860759493676e-4,0.0032214285714285717,0.01825,1,1038
Mysidacea,81,0.006641521321643705,0.00548282550342386,0.0078002171398635495,0.005240165842254965,0.004470161449721302,2.75e-4,0.0056,0.0212,1,25
Nephtys,48,0.10656313424422799,0.07471290863706877,0.13841335985138722,0.10968851819135057,0.07096349375398604,0.0113,0.08083125,0.5936,1,27
Ostracoda,11,3.8156971381109314e-4,4.726267890020436e-5,7.158767487219818e-4,4.97622039392764e-4,2.181748251842196e-4,7.857142857142858e-5,1.3571428571428572e-4,0.0017,1,29
Phyllodoce,31,0.052138333843405,0.01701756322466841,0.08725910446214159,0.09574832899635713,0.023368393170837914,0.0013,0.022914285714285717,0.5191,1,37
Salinator,94,0.05492229942262472,0.04048481270009042,0.06935978614515902,0.07048871953982103,0.01333852169279573,1.0454545454545455e-4,0.014624999999999999,0.264,1,67
Simplisetia,240,0.008344501245013193,0.006534728995221692,0.010154273494804694,0.014232352046601542,0,3.5e-4,0.0047,0.12297,1,738
Spisula,45,0.1282841699745998,0.07499272317022938,0.18157561677897022,0.17738198111097667,0.05218645544179675,0.0031,0.047,0.8555,1,19
