taxa_clean,n,mean_wm_count,sd_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count
Amphipoda,199,3.950624534711962e-4,3.597379631137109e-4,3.708363627971635e-4,4.192885441452289e-4,0,4.795539033457249e-5,3.15e-4,0.004042857142857142
Arthritica,193,0.001888114135915246,8.784724804680638e-4,0.0018280419947514282,0.0019481862770790639,0,4.169642857142857e-4,0.00163,0.004633333333333333
Boccardiella,18,0.001395961627105518,0.002682547317743278,7.952932840160001e-4,0.0019966299701950356,6.869434052243461e-4,1.333333333333333e-4,7.693798449612403e-4,0.0119
Capitella,173,8.539062814889758e-4,8.819680304277161e-4,7.902042332172802e-4,9.176083297606713e-4,0,3.548387096774194e-5,6.399999999999999e-4,0.00685
Chironomidae,254,6.634056380447961e-4,6.913233723538702e-4,6.221970260397393e-4,7.046142500498529e-4,0,2.6136363636363637e-5,4.333333333333333e-4,0.006
Dolichopodidae,15,0.003598888888888889,0.0027883293247535205,0.002914942529783119,0.004282835247994658,0.0028130810323903294,8.333333333333334e-4,0.0029999999999999996,0.0118
Hiatula alba,29,0.47439827586206895,0.5330926680838691,0.38035509374650506,0.5684414579776329,0.17918456449300293,0.0088,0.1647,1.6231
Hydrobiidae,152,0.004027291183159767,0.0030816583812296634,0.0037898334571895317,0.004264748909130003,0,5e-4,0.0033357142857142856,0.01825
Mysidacea,71,0.006398114241001565,0.00489056098162381,0.005846731574230947,0.006949496907772183,0.004421976263222456,4.25e-4,0.0056,0.0212
Nephtys,40,0.1052677509920635,0.08661416773982707,0.09225759372642123,0.11827790825770576,0.07757022272977197,0.015014285714285714,0.08634285714285714,0.373
Ostracoda,7,1.7737048665620095e-4,1.6664109138968025e-4,1.1753529498185713e-4,2.3720567833054477e-4,1.4053635482971988e-4,7.857142857142858e-5,1.25e-4,5.5e-4
Phyllodoce,26,0.03600019786585963,0.04140624213444678,0.028285787296756272,0.04371460843496299,0.021724185309062408,0.002,0.02021875,0.189
Salinator,82,0.05433254311317694,0.06948642968806251,0.04704272526482894,0.06162236096152494,0.01422772482184631,1.5e-4,0.014624999999999999,0.264
Simplisetia,200,0.008271000511956643,0.012252486455828122,0.0074479379673219655,0.00909406305659132,0,3.5e-4,0.004870563690757361,0.0896
Spisula,37,0.12903245495495497,0.1872205275382774,0.09979253308139079,0.15827237682851913,0.052363421864136686,0.0042,0.03843333333333333,0.8555
