taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Amphipoda,228,0.879479101707826,4.957705442715902e-106,0.868265811689818,0.021326870949304213,0.8262408660786065,0.9102907573010295,-7.378093289923523,0.10414073227040284,-7.58330429438727,-7.172882285459776,6.247910463772987e-4,5.088769626094057e-4,7.67108516038027e-4,1.2423983570621675
Arthritica,238,0.9418596285435099,5.242693505363589e-148,0.9275659421039752,0.014967865779112808,0.8980782458708635,0.957053638337087,-6.094117848169134,0.07043759497345596,-6.232884619238572,-5.955351077099696,0.0022560994854252396,0.001963778963868438,0.0025919337062809225,1.1356276957399578
Boccardiella,21,0.46411080016935735,4.0409734439830113e-4,0.5896565965615629,0.13775990130554167,0.30132180939614955,0.8779913837269762,-6.401714204331928,0.37753064555162114,-7.191894926747769,-5.611533481916088,0.001658711464344291,7.52661529865918e-4,0.0036554594765024237,1.5784489577579321
Capitella,191,0.7314804939844151,4.481582604810148e-56,0.873055172533929,0.03833825119784999,0.7974293268797632,0.9486810181880947,-7.081423683502772,0.14731366839204338,-7.372013900857037,-6.790833466148507,8.405755825137852e-4,6.286009634834723e-4,0.0011240315414135808,1.4737003749425206
Chironomidae,283,0.753913386451927,9.308768881114523e-88,0.8088523750934239,0.027502791600016098,0.7547147224650114,0.8629900277218364,-7.066693161497813,0.08775415644397275,-7.239432136775522,-6.893954186220104,8.530493466028002e-4,7.177192107555348e-4,0.0010138967674746093,1.4305585957195992
Dolichopodidae,18,0.0706019999934564,0.149594052827771,0.6481012726871299,0.42814557430365346,-0.25952679911731236,1.555729344491572,-5.764812965592978,0.29716681961813657,-6.394778481254193,-5.134847449931764,0.0031359818454380775,0.0016702558156611073,0.005887949643824258,1.4479050797117203
Hiatula alba,38,0.2154154547347059,0.0019574859477941315,1.398178560641253,0.41855787745458134,0.5493038403125058,2.24705328097,-1.8820627523599762,0.32040197508598806,-2.5318680759341565,-1.232257428785796,0.15227567456445762,0.07951035009400188,0.29163349220128587,2.7857717994981086
Hydrobiidae,171,0.7193232043807104,1.0336170432440797e-48,0.9520812060577075,0.045560964705773976,0.8621392852481102,1.0420231268673048,-5.738425034410254,0.15683406284877877,-6.048031228047426,-5.428818840773081,0.0032198354139565664,0.0023625086716878097,0.00438827599543255,1.4233611851032721
Mysidacea,81,0.3176646567114605,2.580392006382284e-8,0.8666691816880859,0.14014235470493008,0.5877228023035126,1.1456155610726593,-5.303331024650365,0.1592470361728361,-5.620304321279112,-4.986357728021619,0.004974994446516148,0.003623538221371748,0.006830497770628396,1.4774252092032074
Nephtys,48,0.4031190408258327,7.540863017649799e-7,0.7145883306524918,0.1248817220321006,0.4632144619885971,0.9659621993163865,-2.363220014214587,0.1777244196042214,-2.720960716256434,-2.00547931217274,0.0941166777081348,0.0658114978696035,0.134595766842562,1.3810691954869352
Ostracoda,11,0.0890406566760692,0.19323502694938516,0.3079940580062785,0.21902357597945948,-0.18747169321733265,0.8034598092298897,-6.815155012486353,0.5580631311197894,-8.077581521842578,-5.552728503130128,0.0010970231307112087,3.1042087442291277e-4,0.003876864761600556,1.320149408958904
Phyllodoce,31,0.39393417213249915,9.406455238897573e-5,0.9677816690240578,0.21374943669655305,0.5306149851030997,1.404948352945016,-3.7134295846789236,0.36655975284454345,-4.463128456809422,-2.9637307125484256,0.024393719321376343,0.011526247456174213,0.05162595585359743,2.1902556391171712
Salinator,94,0.05527554526097689,0.012830348878416682,0.5732888233960031,0.22588285433940583,0.12466597715864397,1.021911669633362,-3.7630287234832824,0.3639200507772794,-4.485805356796197,-3.0402520901703673,0.023213327048718254,0.01126780925884642,0.04782283230856912,3.8870663342294565
Simplisetia,240,0.6143410492947926,2.2846202396544014e-51,0.8122151346957235,0.041571859758092466,0.7303193388240722,0.8941109305673748,-4.81266628808032,0.162554802159627,-5.132896245871179,-4.49243633028946,0.008126164092707415,0.005899449450664203,0.011193339889398097,1.759957201546473
Spisula,45,0.41777011575235823,9.735506658612567e-7,1.423474864713136,0.2494197039759149,0.9204720933711953,1.9264776360550764,-3.313079837535719,0.29962949954833507,-3.9173403119333834,-2.708819363138055,0.03640388287873897,0.019893936106911467,0.06661540891289652,2.6851576883212274
