taxa_clean,n,r2,pval,Slope,Slope_lowCI,Slope_highCI,Int,Int_lowCI,Int_highCI,a,a_low_ci,a_high_ci,sf
Amphipoda,199,0.8862134497432895,6.383569168364123e-95,0.942814976417309,0.8991881768090284,0.9885584604895864,-3.368291585106563,-3.4595240279317654,-3.2770591422813604,4.282608896950344e-4,3.471170706332805e-4,5.283732929290222e-4,1.1639100102236886
Arthritica,193,0.9424025534400691,2.4666514989994948e-120,0.9356275211890209,0.9041285409130353,0.9682238960428007,-2.658630530234002,-2.718095323592811,-2.599165736875193,0.002194671226266558,0.0019138358097864777,0.0025167163069959135,1.0851086780725219
Boccardiella,18,0.3688460731094525,0.0075145351205111195,0.7744194575246045,0.5142009254143496,1.1663251980914588,-2.9701591882711025,-3.3148583945741454,-2.6254599819680595,0.0010711266176598858,4.8433026186065994e-4,0.0023688634004653316,1.6370284188453743
Capitella,173,0.6767161635628116,8.666502135912976e-44,1.043940637207866,0.9581797703164064,1.1373774397826113,-3.3117285517521617,-3.448391989897332,-3.1750651136069914,4.878333065967285e-4,3.5612954931529546e-4,6.68243720529923e-4,1.5659000262543372
Chironomidae,254,0.6996601355550696,9.054615067501756e-68,0.8813478498597026,0.823459732071752,0.9433054249028379,-3.181182375032682,-3.255880363589632,-3.106484386475732,6.588971438057146e-4,5.547785184212316e-4,7.825563386102326e-4,1.2799481971321693
Dolichopodidae,15,0.1531854165021563,0.14912061285713857,1.7806855979203295,1.0515969464529602,3.015262843179737,-2.6631512584010895,-2.9216326412158056,-2.4046698755863734,0.0021719445906578858,0.001197753252294166,0.0039384934216229375,1.400027522026318
Hiatula alba,29,0.19857662513144955,0.015407363072596863,5.043336789240724,3.566353911671162,7.132002768000725,-1.040498011171803,-1.3828901059858867,-0.6981059163577192,0.09109656239743893,0.04141044466845852,0.20039832334742697,3.997664103580039
Hydrobiidae,152,0.664971298747433,1.912019117055986e-37,1.1186151622085718,1.019023689684122,1.2279399328888898,-2.695179509482779,-2.8463389820126515,-2.5440200369529067,0.0020175322728783482,0.0014244952912320537,0.0028574587063640846,1.4371686375053723
Mysidacea,71,0.15078939698158683,8.190305462798347e-4,1.6127189268929454,1.294821511716744,2.008664756975168,-2.5258030601528874,-2.6795581166197326,-2.372048003686042,0.0029798674058177234,0.0020914230173639608,0.0042457263224762384,1.647683310283811
Nephtys,40,0.3439153660684647,6.989298917660093e-5,1.0483129154350987,0.8059143384185518,1.3636188317787337,-1.1278883386281315,-1.282564945721234,-0.9732117315350292,0.07449234764200775,0.05217170792420585,0.10636243431553719,1.3803231916641414
Ostracoda,7,0.874937963543004,0.0019685620179533602,0.29364307758099306,0.19760284938362313,0.4363614051123261,-3.0834003744307266,-3.220325611567816,-2.9464751372936373,8.252767792477963e-4,6.02107987337503e-4,0.0011311621448128128,1.0037111555007414
Phyllodoce,26,0.3991781183475783,5.361005910768737e-4,1.4333022590940443,1.0397376598856645,1.9758401038873594,-1.8972652888426504,-2.224164946905007,-1.570365630780294,0.01266877757001503,0.005968085730800377,0.02689269765181333,2.0751539940140544
Salinator,82,0.03300599422574803,0.10236165872142435,2.5681595844210823,2.067014687112243,3.1908063799334387,-2.6095450676900955,-2.9783993648006177,-2.2406907705795733,0.0024572816204851446,0.0010509949643709884,0.005745253942284995,10.020655966764416
Simplisetia,200,0.5502854497241345,3.3247962622794765e-36,1.0552955777350588,0.9607666493715094,1.1591251185869855,-2.416932544929604,-2.571662015215335,-2.2622030746438733,0.003828842086719072,0.002681254168902144,0.0054676023985573505,1.900218407047906
Spisula,37,0.17003130780538644,0.011209539288285952,2.4271468805637344,1.7842129432755145,3.301759468808306,-1.6786173827948971,-2.0002524937209607,-1.3569822718688336,0.020959582000252285,0.009994187806954581,0.04395595581259782,4.119816319722051
