taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_wm_count,lower_ci_mean_wm_count,upper_ci_mean_wm_count,sd_wm_count,geom_mean,min_wm_count,median_wm_count,max_wm_count,min_count,max_count,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Amphipoda,228,0.879479101707826,4.957705442715902e-106,0.868265811689818,0.021326870949304213,0.8262408660786065,0.9102907573010295,-7.378093289923523,0.10414073227040284,-7.58330429438727,-7.172882285459776,6.247910463772987e-4,5.088769626094057e-4,7.67108516038027e-4,1.2423983570621675,4.7251221071012656e-4,3.688674078208542e-4,5.761570135993989e-4,7.942280729198798e-4,0,4.795539033457249e-5,3.1613742236024847e-4,0.0101,1,4675,5.489674404088396,46.89107335956826,62.85255177060219,56.85151777385593,62.3450175311168,76.97081611895423
Amphipoda_outliers_removed,199,0.8856358530414787,6.38356916836376e-95,0.8875557481974498,0.022658900112467763,0.8428706063571707,0.9322408900377288,-7.511109910894038,0.10634586969810415,-7.72083237085461,-7.301387450933466,5.469736596568149e-4,4.4349130099248757e-4,6.746021482018585e-4,1.1505197681178225,3.950624534711962e-4,3.4477374375662794e-4,4.453511631857644e-4,3.597379631137109e-4,0,4.795539033457249e-5,3.15e-4,0.004042857142857142,3,1278,4.179467390496656,29.825745142750346,46.77450750436531,28.593717051171524,35.019518398769875,51.705223839780864
Arthritica,238,0.9418596285435099,5.242693505363589e-148,0.9275659421039752,0.014967865779112808,0.8980782458708635,0.957053638337087,-6.094117848169134,0.07043759497345596,-6.232884619238572,-5.955351077099696,0.0022560994854252396,0.001963778963868438,0.0025919337062809225,1.1356276957399578,0.0019317963622424684,0.0017160235452811047,0.002147569179203832,0.001689715899521281,0,2.2500000000000002e-4,0.0016213010519801983,0.02391764705882353,1,2251,5.82973979075555,29.43445882220771,47.87016682532133,28.720721124973025,32.35356385992163,51.0789059426549
Arthritica_outliers_removed,193,0.9421009961282371,2.466651498998653e-120,0.9082830612978705,0.016247551400807914,0.8762353837329879,0.9403307388627531,-6.01613988290114,0.06932417653469315,-6.152879186087734,-5.879400579714545,0.002439066529137704,0.0021273479135015083,0.002796461028214239,1.0821376451362439,0.001888114135915246,0.0017633919459601635,0.0020128363258703286,8.784724804680638e-4,0,4.169642857142857e-4,0.00163,0.004633333333333333,2,1071,0.6678432828578931,18.126402875010125,38.20061268525859,24.2964950592322,21.365714805039012,42.0051281636827
Boccardiella,21,0.46411080016935735,4.0409734439830113e-4,0.5896565965615629,0.13775990130554167,0.30132180939614955,0.8779913837269762,-6.401714204331928,0.37753064555162114,-7.191894926747769,-5.611533481916088,0.001658711464344291,7.52661529865918e-4,0.0036554594765024237,1.5784489577579321,0.0013057213410752205,1.6708125863644063e-4,0.0024443614235140007,0.0025014361464126954,6.409090261015825e-4,1.3088235294117647e-4,7.666666666666667e-4,0.0119,1,92,-10.754761591327737,113.28789614233044,137.34674809025486,100.0578896852092,220.8647288664247,237.30768807043626
Boccardiella_outliers_removed,18,0.32939895267879304,0.0075145351205111195,0.4703258383443296,0.15380976520900883,0.14426370200577493,0.7963879746828844,-6.240221533574734,0.36147927126272905,-7.00652335628323,-5.473919710866237,0.001949423612224049,9.059527946778989e-4,0.004194757654285725,1.4118671324062724,0.001395961627105518,6.196222988279004e-5,0.0027299610243282464,0.002682547317743278,6.869434052243461e-4,1.333333333333333e-4,7.693798449612403e-4,0.0119,1,63,5.835230495098104,83.16364449444121,112.57232464065675,172.09421545277044,211.9068029802956,226.61747457907597
Capitella,191,0.7314804939844151,4.481582604810148e-56,0.873055172533929,0.03833825119784999,0.7974293268797632,0.9486810181880947,-7.081423683502772,0.14731366839204338,-7.372013900857037,-6.790833466148507,8.405755825137852e-4,6.286009634834723e-4,0.0011240315414135808,1.4737003749425206,8.374288685396384e-4,7.133583155181845e-4,9.614994215610923e-4,8.69284998296291e-4,0,3.548387096774194e-5,6.2e-4,0.00685,1,1018,1.9183938800934983,144.2040684651319,170.38686726395088,41.54702166500377,158.70564803591174,183.51800870400376
Capitella_outliers_removed,173,0.6748256148117169,8.666502135913103e-44,0.8587743779345292,0.04539099930210853,0.7691755432014269,0.9483732126676314,-7.053008761116851,0.15781920288614332,-7.364533444303295,-6.741484077930406,8.648030532011829e-4,6.333208170008987e-4,0.0011808933178096158,1.4666780100726702,8.539062814889758e-4,7.215500434023127e-4,9.862625195756387e-4,8.819680304277161e-4,0,3.548387096774194e-5,6.399999999999999e-4,0.00685,1,423,-0.10477153195949467,143.67459713956643,170.55729746829243,35.429550269823466,158.95267692228376,183.6151122443833
Chironomidae,283,0.753913386451927,9.308768881114523e-88,0.8088523750934239,0.027502791600016098,0.7547147224650114,0.8629900277218364,-7.066693161497813,0.08775415644397275,-7.239432136775522,-6.893954186220104,8.530493466028002e-4,7.177192107555348e-4,0.0010138967674746093,1.4305585957195992,7.776182646301864e-4,5.733204215185453e-4,9.819161077418272e-4,0.001745987046418714,0,2.6136363636363637e-5,4.333333333333333e-4,0.025666666666666667,1,526,3.0469063623459602,82.40836732720797,100.72081032094562,61.466874221845536,105.15492414384443,123.40638091071472
Chironomidae_outliers_removed,254,0.6984683106961613,9.054615067500467e-68,0.7372094850456343,0.03042661009102456,0.6772866386300915,0.7971323314611771,-6.964459063730734,0.08647032192241096,-7.134755649665151,-6.794162477796317,9.448739139813297e-4,7.969204868851968e-4,0.0011202958488517446,1.2427228319588328,6.634056380447961e-4,5.779786756387102e-4,7.48832600450882e-4,6.913233723538702e-4,0,2.6136363636363637e-5,4.333333333333333e-4,0.006,1,185,-2.8278354915076416,54.098977220930664,77.56704501361217,53.18293774713545,78.5653690493663,102.10528908872539
