taxa_clean,n,mean_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,sd_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm
Amphipoda,244,0.16729590752571155,0.1547318335572562,0.1798599814941669,0.09963430824161607,0.15423250044146594,0.07322068612391193,0.1467976925186547,0.8260869565217391,0.002-1.787
Arthritica,293,0.5269746970620502,0.5167698859413521,0.5371795081827484,0.088753787616359,0.518163273875566,0.1320754716981132,0.5289569511647628,0.8378378378378377,0.001-3.129
Capitella,118,0.08932576242578363,0.06756887977746878,0.11108264507409848,0.11933678050283458,0.06518188635505472,0.020719738276990186,0.05789664880573972,0.7692307692307693,0.002-0.796
Chironomidae,154,0.24647542425111735,0.22410934391171475,0.26884150459052,0.14049256854716957,0.22065371098864753,0.05629139072847682,0.20602620280617892,0.9761606022584692,0.002-0.267
Hiatula alba,39,0.14951695214425573,0.1301776815539218,0.16885622273458964,0.05965918509354693,0.13963419477024755,0.06832298136645963,0.13863787691429658,0.3372093023255814,0.007-3.962
Hydrobiidae,161,0.5566354034570602,0.5442718730603519,0.5689989338537685,0.07943464995403413,0.5507241593765324,0.3181818181818182,0.5695883506020722,0.85,0.002-1.772
Mysidacea,51,0.1701758393678502,0.1547111572551474,0.185640521480553,0.0549846503459508,0.1609710993444004,0.06914893617021275,0.16455696202531644,0.3263888888888889,0.006-0.166
Nephtys,45,0.07167754872486344,0.06717242108456396,0.0761826763651629,0.014995435739016237,0.07012005941787881,0.04186489058039962,0.07187024835276229,0.1074797843665768,0.017-1.569
Phyllodoce,25,0.06317133912656597,0.050167584973256796,0.07617509327987514,0.03150289068240753,0.05797903019394146,0.029490616621983917,0.05586034912718204,0.18627450980392155,0.010-1.014
Salinator,78,0.3967828383073551,0.38120630208962414,0.41235937452508614,0.06908622189073062,0.39029981380765527,0.17650273224043717,0.4054532829738977,0.5882352941176471,0.003-2.060
Simplisetia,205,0.09590340463440229,0.0827913805980788,0.10901542867072579,0.09521698935645115,0.08160809430487671,0.022123893805309734,0.07848518111964874,0.923076923076923,0.005-2.884
Spisula,43,0.20670734551359718,0.15756945118581434,0.25584523984137997,0.15966584545019885,0.16993491904249505,0.056396148555708396,0.17030053034767237,0.9245283018867925,0.003-6.256
