taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf
Amphipoda,244,0.9280277969388168,1.6820433803710278e-140,0.9041589672581998,0.016150064871007484,0.8723463250580201,0.9359716094583794,-2.1369614059253506,0.049634393748363405,-2.234731985904514,-2.039190825946187,0.11801289203795803,0.10702080909507004,0.13013396931797533,1.0668019650882643
Arthritica,293,0.9899244360270595,8.525393503532682e-293,1.0239632450463076,0.006045316365194671,1.0120651583368627,1.0358613317557526,-0.6105366486949803,0.01627464720335769,-0.6425675883338089,-0.5785057090561516,0.543059358766004,0.5259402907702077,0.560735643035563,1.0165218306591541
Capitella,118,0.7336634409092568,2.470654249917222e-35,0.6705408549365529,0.03729293409131654,0.5966774999672984,0.7444042099058075,-3.5840650133302687,0.10721716082407208,-3.796422109968264,-3.3717079166922734,0.02776261317215526,0.022450955376162728,0.034330952836202466,1.1388448498273276
Chironomidae,154,0.8627772697827814,1.173894816138935e-67,0.8629083364940334,0.02780718437867514,0.8079698511674455,0.9178468218206214,-2.039639907269234,0.11230833791056336,-2.261526808522159,-1.8177530060163092,0.13007554170321786,0.1041912831114897,0.1623902311605159,1.098160192259696
Hiatula alba,39,0.9590848740086064,1.6937895918501604e-27,1.0162910326339514,0.03403267433080286,0.9473342844081544,1.0852477808597483,-1.9498015844272412,0.07160378008004849,-2.094884623949829,-1.804718544904653,0.1423023037786768,0.12308444383173855,0.1645207552662083,1.0721190467248942
Mysidacea,51,0.817746307537971,5.849613965527287e-20,0.846666496440397,0.0564014760177881,0.7333234868975114,0.9600095059832827,-2.428204747883771,0.22602416530351618,-2.882417313470523,-1.9739921822970188,0.08819502284558822,0.05599923139275669,0.13890122884329326,1.048605130235258
Nephtys,45,0.9536646003188077,1.5658634773648707e-30,1.0033825548693232,0.03332415781139538,0.9361779857652451,1.070587123973401,-2.6524918985062853,0.0593573202857859,-2.7721973432936973,-2.5327864537188733,0.07047537658245435,0.06252446597155102,0.07943736307477889,1.022218590513299
Phyllodoce,25,0.8619851318795091,1.3840113895032141e-11,0.9904247485967089,0.08062784549044191,0.8236333424112151,1.1572161547822026,-2.8653004662328057,0.16947569567172485,-3.215887653865182,-2.5147132786004294,0.05696601219724905,0.04011970560145175,0.08088610065821872,1.0885180546260194
Salinator,78,0.9880551137424742,4.784089399865783e-75,0.9783018313783831,0.012257272403262921,0.953889357663851,1.0027143050929153,-0.9928257226568163,0.03615741146628194,-1.064839448709862,-0.9208119966037707,0.37052820041696655,0.34478320571226345,0.3981955763205332,1.0157040676939983
Simplisetia,205,0.8799880473947439,1.2579391614997529e-95,0.9455493303546875,0.024439811509382608,0.8973608933487438,0.9937377673606311,-2.5852453503562316,0.048724841669363576,-2.6813170390641132,-2.48917366164835,0.07537758341525484,0.0684729132403466,0.08297850657500289,1.152520688099306
Spisula,43,0.8815724964125312,8.11901440412344e-21,0.896356315036705,0.050612742790287435,0.7941418073453081,0.9985708227281018,-1.971243824817034,0.13104932985451367,-2.2359033156071106,-1.7065843340269575,0.13928350414853571,0.10689552583090953,0.18148462601308954,1.1763920248805508
Truncatelloidea,161,0.9916130969885723,3.2524826482739024e-167,1.0133272443202792,0.007367292839222914,0.998776868864465,1.0278776197760935,-0.5615498446552164,0.02258326722344049,-0.6061517118934272,-0.5169479774170056,0.5703244642072796,0.5454458682564136,0.5963378098601919,1.0106536088410136
